param-n open-constr-True-1000-real open-constr-True-1000-sys open-constr-True-1000-user
328 0.285 0. 0.284
330 0.333 0. 0.332
332 0.277 0. 0.277
334 0.343 0. 0.342
336 0.27 0. 0.27
338 0.344 0. 0.344
340 0.31 0. 0.31
342 0.313 0. 0.313
344 0.335 0. 0.335
346 0.298 0. 0.297
348 0.354 0. 0.354
350 0.284 0. 0.284
352 0.355 0. 0.354
354 0.321 0. 0.321
356 0.323 0. 0.323
358 0.35 0. 0.35
360 0.32 0.019 0.3
362 0.365 0. 0.365
364 0.289 0. 0.288
366 0.363 0. 0.363
368 0.335 0. 0.335
370 0.331 0. 0.331
372 0.366 0. 0.365
374 0.306 0. 0.306
376 0.372 0. 0.371
378 0.316 0. 0.316
380 0.362 0. 0.362
382 0.345 0. 0.345
384 0.346 0. 0.346
386 0.374 0. 0.374
388 0.321 0. 0.321
390 0.384 0. 0.384
392 0.31 0. 0.31
394 0.385 0. 0.384
396 0.368 0. 0.367
398 0.342 0. 0.341
400 0.389 0. 0.389
410 0.326 0. 0.325
420 0.405 0. 0.404
430 0.398 0. 0.397
440 0.361 0. 0.36
450 0.43 0. 0.43
460 0.419 0. 0.419
470 0.388 0. 0.388
480 0.453 0. 0.452
490 0.467 0. 0.467
500 0.412 0. 0.412
510 0.486 0.003 0.481
520 0.496 0.003 0.492
530 0.441 0. 0.441
540 0.471 0. 0.471
550 0.519 0. 0.518
560 0.491 0. 0.491
570 0.474 0. 0.473
580 0.534 0. 0.534
590 0.539 0. 0.539
600 0.507 0. 0.506
610 0.558 0.011 0.546
620 0.573 0. 0.572
630 0.556 0. 0.555
640 0.519 0. 0.518
650 0.597 0. 0.596
660 0.608 0. 0.607
670 0.575 0. 0.575
680 0.575 0. 0.574
690 0.643 0. 0.641
700 0.651 0. 0.649
800 0.779 0. 0.776
900 0.897 0.015 0.878
1000 1.055 0.007 1.045
1100 1.141 0. 1.14
1200 1.33 0.043 1.285
1300 1.436 0.027 1.407
1400 1.458 0. 1.456
1500 1.647 0.035 1.609
1600 1.847 0.035 1.809
1700 1.984 0. 1.982
1800 2.28 0.023 2.254
1900 2.483 0.047 2.432
2000 2.658 0.015 2.639
2100 2.466 0.007 2.456
2200 2.476 0.059 2.414
2300 3.195 0.071 3.12
2400 3.138 0. 3.134
2500 2.554 0. 2.551
2600 3.497 0.091 3.4
2700 3.801 0. 3.791
2800 2.966 0. 2.963
2900 4.358 0.139 4.214
3000 3.996 0.043 3.948
