param-a-n param-fact-n abstract-unify-beta-iota-fast-real abstract-unify-beta-iota-fast-sys abstract-unify-beta-iota-fast-user abstract-unify-beta-iota-slow-real abstract-unify-beta-iota-slow-sys abstract-unify-beta-iota-slow-user beta-iota-fast-real beta-iota-fast-sys beta-iota-fast-user beta-iota-slow-real beta-iota-slow-sys beta-iota-slow-user unify-beta-iota-fast-real unify-beta-iota-fast-sys unify-beta-iota-fast-user unify-beta-iota-slow-real unify-beta-iota-slow-sys unify-beta-iota-slow-user
1000 9 0.03 0. 0.03 1.753 0. 1.753 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001
1100 9 0.034 0. 0.034 1.712 0.015 1.696 0.001 0. 0.001 0.001 0. 0. 0.001 0. 0.001 0.001 0. 0.001
1200 9 0.037 0. 0.037 1.696 0. 1.696 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1300 9 0.043 0. 0.043 1.7 0. 1.7 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1400 9 0.044 0. 0.044 1.699 0. 1.699 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1500 9 0.048 0. 0.048 1.704 0. 1.704 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1600 9 0.051 0. 0.051 1.709 0. 1.709 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1700 9 0.054 0. 0.054 1.71 0. 1.71 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1800 9 0.057 0. 0.057 1.713 0. 1.713 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1900 9 0.06 0. 0.06 1.723 0. 1.723 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
2000 9 0.063 0. 0.063 1.725 0. 1.725 0.001 0. 0.001 0.001 0. 0.001 0.002 0. 0.002 0.001 0. 0.001
2100 9 0.067 0. 0.067 1.733 0. 1.733 0.001 0. 0.001 0.001 0. 0.001 0.002 0. 0.002 0.002 0. 0.002
2200 9 0.07 0. 0.07 1.729 0. 1.729 0.002 0. 0.002 0.001 0. 0.001 0.002 0. 0.002 0.002 0. 0.002
2300 9 0.073 0. 0.073 1.712 0. 1.712 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2400 9 0.077 0. 0.077 1.706 0. 1.706 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2500 9 0.079 0. 0.079 1.679 0. 1.679 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2600 9 0.082 0. 0.082 1.679 0. 1.679 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2700 9 0.086 0. 0.086 1.698 0. 1.697 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2800 9 0.092 0. 0.092 1.698 0. 1.698 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2900 9 0.092 0. 0.092 1.695 0. 1.695 0.002 0. 0.002 0.002 0. 0.002 0.003 0. 0.003 0.002 0. 0.002
3000 9 0.096 0. 0.096 1.702 0. 1.702 0.002 0. 0.002 0.002 0. 0.002 0.003 0. 0.003 0.002 0. 0.002
3100 9 0.104 0. 0.104 1.71 0. 1.709 0.003 0. 0.003 0.002 0. 0.002 0.003 0. 0.003 0.003 0.003 0.
3200 9 0.105 0. 0.105 1.708 0. 1.708 0.003 0. 0.003 0.002 0. 0.002 0.003 0. 0.003 0.003 0. 0.003
3300 9 0.106 0. 0.106 1.712 0. 1.711 0.003 0. 0.003 0.002 0. 0.002 0.003 0. 0.003 0.003 0. 0.003
3400 9 0.11 0. 0.11 1.729 0. 1.729 0.003 0. 0.003 0.002 0. 0.002 0.003 0. 0.003 0.003 0. 0.003
3500 9 0.118 0. 0.118 1.73 0. 1.73 0.003 0. 0.003 0.002 0. 0.002 0.003 0. 0.003 0.003 0. 0.003
3600 9 0.117 0. 0.117 1.735 0. 1.735 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
3700 9 0.123 0. 0.123 1.742 0. 1.742 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
3800 9 0.128 0. 0.128 1.738 0. 1.738 0.003 0. 0.003 0.003 0. 0.003 0.004 0. 0.004 0.003 0. 0.003
3900 9 0.132 0. 0.132 1.737 0. 1.737 0.003 0. 0.003 0.003 0. 0.003 0.004 0. 0.004 0.003 0. 0.003
4000 9 0.137 0. 0.137 1.742 0. 1.742 0.003 0. 0.003 0.003 0. 0.003 0.004 0. 0.004 0.003 0. 0.003
4100 9 0.138 0. 0.138 1.734 0. 1.734 0.003 0. 0.003 0.003 0. 0.003 0.004 0. 0.004 0.004 0. 0.004
4200 9 0.14 0. 0.14 1.756 0. 1.756 0.003 0. 0.003 0.003 0. 0.003 0.004 0. 0.004 0.004 0. 0.004
4300 9 0.145 0. 0.145 1.756 0. 1.756 0.004 0. 0.004 0.003 0. 0.003 0.004 0. 0.004 0.004 0. 0.004
4400 9 0.145 0. 0.145 1.759 0. 1.759 0.003 0. 0.003 0.003 0. 0.003 0.004 0. 0.004 0.004 0. 0.004
4500 9 0.149 0. 0.149 1.764 0. 1.763 0.004 0. 0.004 0.003 0. 0.003 0.004 0. 0.004 0.004 0. 0.004
4600 9 0.155 0. 0.155 1.779 0. 1.779 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004
4700 9 0.158 0. 0.158 1.776 0. 1.776 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004
4800 9 0.162 0. 0.162 1.772 0. 1.772 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004
4900 9 0.167 0. 0.167 1.773 0. 1.773 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004
5000 9 0.167 0. 0.167 1.788 0. 1.788 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005
5100 9 0.173 0. 0.173 1.792 0. 1.792 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005
5200 9 0.176 0. 0.176 1.791 0. 1.791 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005
5300 9 0.18 0. 0.18 1.795 0. 1.795 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005
5400 9 0.184 0. 0.184 1.804 0. 1.804 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005
5500 9 0.187 0. 0.187 1.813 0. 1.813 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005
5600 9 0.192 0. 0.192 1.778 0. 1.778 0.005 0. 0.005 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005
5700 9 0.194 0. 0.194 1.769 0. 1.769 0.005 0. 0.005 0.004 0. 0.004 0.006 0. 0.006 0.005 0. 0.005
5800 9 0.198 0. 0.198 1.776 0. 1.776 0.005 0. 0.005 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005
5900 9 0.204 0. 0.204 1.779 0. 1.779 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.005 0. 0.005
6000 9 0.207 0. 0.207 1.786 0. 1.786 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.005 0. 0.005
6100 9 0.209 0. 0.209 1.789 0. 1.789 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.005 0. 0.005
6200 9 0.217 0. 0.217 1.789 0. 1.789 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.005 0. 0.005
6300 9 0.216 0. 0.216 1.793 0. 1.793 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006
6400 9 0.223 0. 0.223 1.8 0. 1.8 0.006 0. 0.006 0.005 0. 0.005 0.006 0. 0.006 0.005 0. 0.005
6500 9 0.225 0. 0.225 1.809 0. 1.809 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006
6600 9 0.229 0. 0.229 1.808 0. 1.808 0.006 0. 0.006 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006
6700 9 0.231 0. 0.231 1.801 0. 1.801 0.006 0. 0.006 0.005 0. 0.005 0.007 0. 0.007 0.006 0. 0.006
6800 9 0.238 0. 0.238 1.826 0. 1.826 0.006 0. 0.006 0.005 0. 0.005 0.007 0. 0.007 0.006 0. 0.006
6900 9 0.242 0. 0.242 1.823 0. 1.823 0.006 0. 0.006 0.005 0. 0.005 0.007 0. 0.007 0.006 0. 0.006
7000 9 0.242 0. 0.242 1.825 0. 1.825 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007 0.006 0. 0.006
7100 9 0.25 0. 0.25 1.825 0. 1.825 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007 0.006 0. 0.006
7200 9 0.25 0. 0.25 1.821 0. 1.821 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007 0.006 0. 0.006
7300 9 0.257 0. 0.257 1.816 0. 1.816 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007 0.007 0. 0.007
7400 9 0.26 0. 0.26 1.774 0. 1.774 0.007 0.003 0.003 0.006 0. 0.006 0.007 0. 0.007 0.006 0. 0.006
7500 9 0.268 0. 0.268 1.795 0. 1.795 0.007 0. 0.007 0.006 0. 0.006 0.008 0. 0.008 0.006 0. 0.006
7600 9 0.274 0. 0.274 1.806 0. 1.806 0.007 0. 0.007 0.006 0. 0.006 0.008 0. 0.008 0.007 0. 0.007
7700 9 0.27 0. 0.27 1.793 0. 1.793 0.007 0. 0.007 0.006 0. 0.006 0.007 0. 0.007 0.007 0. 0.007
7800 9 0.272 0. 0.272 1.787 0. 1.787 0.007 0. 0.007 0.006 0. 0.006 0.008 0. 0.008 0.007 0. 0.007
7900 9 0.271 0. 0.271 1.788 0. 1.788 0.007 0. 0.007 0.006 0. 0.006 0.008 0. 0.008 0.007 0. 0.007
8000 9 0.275 0. 0.275 1.801 0. 1.801 0.007 0. 0.007 0.006 0. 0.006 0.008 0. 0.008 0.007 0. 0.007
8100 9 0.275 0. 0.275 1.807 0. 1.807 0.007 0. 0.007 0.006 0. 0.006 0.008 0. 0.008 0.007 0. 0.007
8200 9 0.281 0. 0.281 1.805 0. 1.805 0.007 0. 0.007 0.006 0. 0.006 0.008 0. 0.008 0.007 0. 0.007
8300 9 0.285 0.004 0.281 1.805 0. 1.805 0.008 0. 0.008 0.006 0. 0.006 0.008 0. 0.008 0.007 0. 0.007
8400 9 0.29 0. 0.29 1.812 0. 1.812 0.008 0. 0.008 0.007 0. 0.007 0.009 0. 0.009 0.007 0. 0.007
8500 9 0.325 0. 0.325 1.838 0. 1.838 0.008 0. 0.008 0.007 0. 0.007 0.009 0. 0.009 0.007 0. 0.007
8600 9 0.333 0. 0.333 1.84 0. 1.84 0.008 0. 0.008 0.007 0. 0.007 0.008 0. 0.008 0.008 0. 0.008
8700 9 0.34 0. 0.34 1.829 0. 1.829 0.008 0. 0.008 0.007 0. 0.007 0.009 0. 0.009 0.008 0. 0.008
8800 9 0.34 0. 0.34 1.839 0. 1.839 0.008 0. 0.008 0.007 0. 0.007 0.009 0. 0.009 0.008 0. 0.008
8900 9 0.348 0. 0.348 1.842 0. 1.842 0.008 0. 0.008 0.007 0. 0.007 0.009 0. 0.009 0.008 0. 0.008
9000 9 0.345 0. 0.345 1.853 0. 1.853 0.008 0. 0.008 0.007 0. 0.007 0.009 0. 0.009 0.008 0. 0.008
9100 9 0.352 0. 0.352 1.845 0. 1.845 0.008 0. 0.008 0.007 0. 0.007 0.009 0. 0.009 0.008 0. 0.008
9200 9 0.357 0. 0.357 1.853 0. 1.853 0.008 0. 0.008 0.007 0. 0.007 0.009 0. 0.009 0.008 0. 0.008
9300 9 0.363 0. 0.363 1.855 0. 1.855 0.008 0. 0.008 0.007 0. 0.007 0.01 0. 0.01 0.008 0. 0.008
9400 9 0.363 0. 0.363 1.853 0. 1.853 0.008 0. 0.008 0.007 0. 0.007 0.01 0. 0.01 0.008 0. 0.008
9500 9 0.376 0. 0.376 1.874 0. 1.874 0.009 0. 0.009 0.008 0. 0.008 0.009 0. 0.009 0.008 0. 0.008
9600 9 0.372 0. 0.372 1.872 0. 1.872 0.009 0. 0.009 0.008 0. 0.008 0.01 0. 0.01 0.009 0. 0.009
9700 9 0.372 0. 0.372 1.871 0. 1.871 0.009 0. 0.009 0.008 0. 0.008 0.01 0. 0.01 0.009 0. 0.009
9800 9 0.377 0. 0.377 1.864 0. 1.864 0.009 0. 0.009 0.008 0. 0.008 0.01 0. 0.01 0.009 0. 0.009
9900 9 0.379 0. 0.379 1.857 0. 1.857 0.009 0. 0.009 0.008 0. 0.008 0.01 0. 0.01 0.009 0. 0.009
10000 9 0.387 0. 0.387 1.878 0. 1.878 0.009 0. 0.009 0.008 0. 0.008 0.011 0. 0.011 0.009 0. 0.009
