param-n abstract+repeat-rewrite-strat-bottomup-regression-cubic-real abstract+repeat-rewrite-strat-bottomup-regression-cubic-sys abstract+repeat-rewrite-strat-bottomup-regression-cubic-user abstract+repeat-rewrite-strat-topdown-regression-cubic-real abstract+repeat-rewrite-strat-topdown-regression-cubic-sys abstract+repeat-rewrite-strat-topdown-regression-cubic-user close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-real close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-sys close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-user close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-real close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-sys close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-user noop-repeat-rewrite-strat-bottomup-regression-cubic-real noop-repeat-rewrite-strat-bottomup-regression-cubic-sys noop-repeat-rewrite-strat-bottomup-regression-cubic-user noop-repeat-rewrite-strat-topdown-regression-cubic-real noop-repeat-rewrite-strat-topdown-regression-cubic-sys noop-repeat-rewrite-strat-topdown-regression-cubic-user repeat-rewrite-strat-bottomup-regression-cubic-real repeat-rewrite-strat-bottomup-regression-cubic-sys repeat-rewrite-strat-bottomup-regression-cubic-user repeat-rewrite-strat-topdown-regression-cubic-real repeat-rewrite-strat-topdown-regression-cubic-sys repeat-rewrite-strat-topdown-regression-cubic-user
10 0.149 0.016 0.132 0.146 0.023 0.122 0.003 0. 0.003 0.003 0. 0.003 0.004 0. 0.004 0.004 0. 0.004 0.141 0.016 0.124 0.138 0.023 0.114
11 0.101 0. 0.101 0.105 0. 0.105 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.092 0. 0.092 0.096 0. 0.096
12 0.122 0. 0.122 0.123 0. 0.123 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005 0.005 0. 0.005 0.112 0. 0.112 0.112 0. 0.112
13 0.145 0. 0.145 0.147 0. 0.147 0.005 0. 0.005 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.133 0. 0.133 0.135 0. 0.135
14 0.173 0. 0.173 0.175 0. 0.175 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007 0.007 0. 0.007 0.158 0. 0.158 0.161 0. 0.161
15 0.203 0. 0.203 0.206 0. 0.206 0.007 0. 0.007 0.007 0. 0.007 0.008 0. 0.008 0.007 0. 0.007 0.188 0. 0.188 0.19 0. 0.19
16 0.237 0. 0.237 0.24 0. 0.24 0.007 0. 0.007 0.007 0. 0.007 0.008 0. 0.008 0.008 0. 0.008 0.221 0. 0.221 0.223 0. 0.223
17 0.275 0. 0.275 0.279 0. 0.279 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009 0.009 0. 0.009 0.257 0. 0.257 0.26 0. 0.26
18 0.319 0. 0.319 0.324 0. 0.324 0.009 0. 0.009 0.008 0. 0.008 0.01 0. 0.01 0.01 0. 0.01 0.298 0. 0.298 0.304 0. 0.304
19 0.366 0. 0.366 0.372 0. 0.372 0.009 0. 0.009 0.01 0. 0.01 0.011 0. 0.011 0.011 0. 0.011 0.345 0. 0.345 0.35 0. 0.35
20 0.43 0. 0.43 0.425 0. 0.424 0.011 0. 0.011 0.011 0. 0.011 0.012 0. 0.012 0.012 0. 0.012 0.406 0. 0.406 0.401 0. 0.4
21 0.48 0. 0.48 0.488 0. 0.486 0.012 0. 0.012 0.012 0. 0.012 0.013 0. 0.013 0.014 0. 0.014 0.453 0. 0.453 0.459 0. 0.459
22 0.546 0. 0.546 0.553 0. 0.553 0.013 0. 0.013 0.013 0. 0.013 0.014 0. 0.014 0.015 0. 0.015 0.517 0. 0.517 0.524 0. 0.524
23 0.619 0. 0.619 0.628 0. 0.628 0.014 0. 0.014 0.013 0. 0.013 0.016 0. 0.016 0.017 0. 0.017 0.588 0. 0.588 0.597 0. 0.597
24 0.706 0. 0.706 0.71 0. 0.71 0.015 0. 0.015 0.014 0. 0.014 0.017 0. 0.017 0.018 0. 0.017 0.673 0. 0.673 0.677 0. 0.677
25 0.788 0. 0.788 0.802 0. 0.802 0.016 0. 0.016 0.016 0. 0.016 0.019 0. 0.019 0.019 0. 0.019 0.752 0. 0.752 0.766 0. 0.766
30 1.405 0. 1.405 1.37 0. 1.37 0.022 0. 0.022 0.022 0. 0.022 0.028 0. 0.028 0.028 0. 0.028 1.353 0. 1.353 1.318 0. 1.318
35 2.24 0. 2.239 2.256 0.007 2.249 0.027 0. 0.027 0.028 0. 0.028 0.042 0. 0.042 0.04 0. 0.04 2.17 0. 2.17 2.187 0.007 2.179
40 3.525 0. 3.525 3.478 0. 3.478 0.033 0. 0.033 0.034 0. 0.034 0.055 0. 0.055 0.056 0. 0.056 3.436 0. 3.435 3.387 0. 3.386
45 5.225 0. 5.225 5.266 0.003 5.262 0.042 0. 0.042 0.041 0. 0.041 0.073 0. 0.073 0.074 0. 0.074 5.108 0. 5.108 5.15 0.003 5.145
50 7.546 0.003 7.541 7.61 0.015 7.594 0.05 0. 0.05 0.05 0. 0.05 0.095 0. 0.095 0.099 0. 0.099 7.4 0.003 7.395 7.46 0.015 7.444
