param-n abstract-regression-quadratic-real abstract-regression-quadratic-sys abstract-regression-quadratic-user close-abstract-regression-quadratic-real close-abstract-regression-quadratic-sys close-abstract-regression-quadratic-user ssr-rewrite!-regression-quadratic-real ssr-rewrite!-regression-quadratic-sys ssr-rewrite!-regression-quadratic-user ssr-rewrite?-noop-regression-linear-real ssr-rewrite?-noop-regression-linear-sys ssr-rewrite?-noop-regression-linear-user
21 0.012 0. 0.012 0.006 0. 0.006 0.005 0. 0.005 0. 0. 0.
22 0.013 0. 0.013 0.007 0. 0.007 0.006 0. 0.006 0. 0. 0.
23 0.017 0. 0.017 0.009 0. 0.009 0.006 0. 0.006 0. 0. 0.
24 0.016 0. 0.016 0.008 0. 0.008 0.007 0. 0.007 0. 0. 0.
25 0.017 0. 0.017 0.009 0. 0.009 0.007 0. 0.007 0. 0. 0.
26 0.02 0. 0.02 0.011 0. 0.011 0.008 0. 0.008 0. 0. 0.
27 0.02 0. 0.02 0.01 0. 0.01 0.009 0. 0.009 0. 0. 0.
28 0.021 0. 0.021 0.011 0. 0.011 0.009 0. 0.009 0. 0. 0.
29 0.025 0. 0.025 0.012 0. 0.012 0.012 0. 0.012 0. 0. 0.
30 0.024 0. 0.024 0.012 0. 0.012 0.01 0. 0.01 0. 0. 0.
31 0.026 0. 0.026 0.014 0. 0.014 0.011 0. 0.011 0. 0. 0.
32 0.026 0. 0.026 0.014 0. 0.014 0.011 0. 0.011 0. 0. 0.
33 0.031 0. 0.031 0.018 0. 0.018 0.012 0. 0.012 0. 0. 0.
34 0.03 0. 0.03 0.016 0. 0.016 0.013 0. 0.013 0. 0. 0.
35 0.032 0. 0.032 0.017 0. 0.017 0.013 0. 0.013 0. 0. 0.
36 0.033 0. 0.033 0.018 0. 0.018 0.014 0. 0.014 0. 0. 0.
37 0.038 0. 0.038 0.019 0. 0.019 0.018 0. 0.018 0. 0. 0.
38 0.037 0. 0.037 0.021 0. 0.021 0.016 0. 0.016 0. 0. 0.
39 0.038 0. 0.038 0.021 0. 0.021 0.016 0. 0.016 0. 0. 0.
40 0.043 0. 0.043 0.022 0. 0.022 0.02 0. 0.02 0. 0. 0.
41 0.043 0. 0.043 0.021 0. 0.021 0.02 0. 0.02 0. 0. 0.
42 0.046 0. 0.046 0.026 0. 0.026 0.019 0. 0.019 0. 0. 0.
43 0.047 0. 0.047 0.027 0. 0.027 0.019 0. 0.019 0. 0. 0.
44 0.048 0. 0.048 0.026 0. 0.026 0.02 0. 0.02 0. 0. 0.
45 0.052 0. 0.052 0.028 0. 0.028 0.023 0. 0.023 0. 0. 0.
46 0.053 0. 0.053 0.029 0. 0.029 0.023 0. 0.023 0. 0. 0.
47 0.056 0. 0.056 0.03 0. 0.03 0.024 0. 0.024 0. 0. 0.
48 0.059 0. 0.059 0.031 0. 0.031 0.027 0. 0.027 0. 0. 0.
49 0.065 0. 0.065 0.036 0. 0.036 0.028 0. 0.028 0. 0. 0.
50 0.123 0.012 0.111 0.03 0. 0.03 0.091 0.011 0.079 0. 0. 0.
51 0.067 0. 0.067 0.039 0. 0.039 0.027 0. 0.027 0. 0. 0.
52 0.067 0. 0.067 0.038 0. 0.038 0.028 0. 0.028 0. 0. 0.
53 0.071 0. 0.071 0.038 0. 0.038 0.032 0. 0.032 0. 0. 0.
54 0.074 0. 0.074 0.041 0. 0.041 0.032 0. 0.032 0. 0. 0.
55 0.076 0. 0.076 0.044 0. 0.044 0.031 0. 0.031 0. 0. 0.
56 0.08 0. 0.08 0.043 0. 0.043 0.036 0. 0.036 0. 0. 0.
57 0.081 0. 0.081 0.045 0. 0.045 0.034 0. 0.034 0. 0. 0.
58 0.083 0. 0.083 0.042 0. 0.042 0.039 0. 0.039 0. 0. 0.
59 0.093 0. 0.093 0.049 0. 0.049 0.042 0. 0.042 0. 0. 0.
60 0.09 0. 0.09 0.049 0. 0.049 0.04 0. 0.04 0. 0. 0.
61 0.09 0. 0.09 0.051 0. 0.051 0.038 0. 0.038 0. 0. 0.
62 0.102 0. 0.102 0.056 0. 0.056 0.045 0. 0.045 0. 0. 0.
63 0.102 0. 0.102 0.056 0. 0.056 0.045 0. 0.045 0. 0. 0.
64 0.099 0. 0.099 0.056 0. 0.056 0.041 0. 0.041 0. 0. 0.
65 0.106 0. 0.106 0.058 0. 0.058 0.047 0. 0.047 0. 0. 0.
66 0.109 0. 0.109 0.06 0. 0.06 0.048 0. 0.048 0. 0. 0.
67 0.111 0. 0.111 0.061 0. 0.061 0.049 0. 0.049 0. 0. 0.
68 0.115 0. 0.115 0.063 0. 0.063 0.05 0. 0.05 0. 0. 0.
69 0.118 0. 0.118 0.064 0. 0.064 0.053 0. 0.053 0. 0. 0.
70 0.12 0. 0.12 0.065 0. 0.065 0.054 0. 0.054 0. 0. 0.
71 0.127 0. 0.127 0.071 0. 0.071 0.055 0. 0.055 0. 0. 0.
72 0.128 0. 0.128 0.071 0. 0.071 0.055 0. 0.055 0. 0. 0.
73 0.13 0. 0.13 0.073 0. 0.073 0.056 0. 0.056 0. 0. 0.
74 0.134 0.003 0.13 0.075 0.003 0.071 0.058 0. 0.058 0. 0. 0.
75 0.129 0. 0.129 0.071 0. 0.071 0.056 0. 0.056 0. 0. 0.
76 0.132 0. 0.132 0.067 0. 0.067 0.064 0. 0.064 0. 0. 0.
77 0.137 0. 0.137 0.074 0. 0.074 0.061 0. 0.061 0. 0. 0.
78 0.149 0. 0.149 0.083 0. 0.083 0.064 0. 0.064 0. 0. 0.
79 0.147 0. 0.147 0.082 0. 0.082 0.064 0. 0.064 0. 0. 0.
80 0.152 0. 0.152 0.084 0. 0.084 0.067 0. 0.067 0. 0. 0.
81 0.151 0. 0.151 0.085 0. 0.085 0.065 0. 0.065 0. 0. 0.
82 0.161 0. 0.161 0.085 0. 0.085 0.074 0. 0.074 0. 0. 0.
83 0.168 0.003 0.164 0.095 0. 0.094 0.072 0.003 0.068 0. 0. 0.
84 0.168 0. 0.168 0.088 0. 0.088 0.079 0. 0.079 0. 0. 0.
85 0.174 0. 0.174 0.096 0. 0.096 0.074 0. 0.074 0. 0. 0.
86 0.178 0. 0.178 0.099 0. 0.099 0.078 0. 0.078 0. 0. 0.
87 0.181 0. 0.181 0.093 0. 0.093 0.087 0. 0.087 0. 0. 0.
88 0.192 0. 0.192 0.107 0. 0.107 0.084 0. 0.084 0. 0. 0.
89 0.202 0. 0.202 0.118 0. 0.118 0.082 0. 0.082 0. 0. 0.
90 0.217 0. 0.217 0.126 0. 0.126 0.089 0. 0.089 0. 0. 0.
91 0.21 0. 0.21 0.12 0. 0.12 0.089 0. 0.089 0. 0. 0.
92 0.22 0. 0.22 0.121 0. 0.121 0.098 0. 0.098 0. 0. 0.
93 0.22 0. 0.22 0.119 0. 0.119 0.099 0. 0.099 0. 0. 0.
94 0.218 0. 0.218 0.128 0. 0.128 0.088 0. 0.088 0. 0. 0.
95 0.238 0. 0.238 0.144 0. 0.144 0.093 0. 0.093 0. 0. 0.
96 0.248 0. 0.248 0.148 0. 0.148 0.099 0. 0.099 0. 0. 0.
97 0.235 0. 0.235 0.134 0. 0.134 0.099 0. 0.099 0. 0. 0.
98 0.235 0.003 0.231 0.132 0.003 0.128 0.101 0. 0.101 0. 0. 0.
99 0.231 0.004 0.227 0.122 0. 0.122 0.107 0.003 0.103 0. 0. 0.
100 0.248 0.003 0.244 0.147 0.003 0.143 0.1 0. 0.1 0. 0. 0.
110 0.29 0. 0.29 0.163 0. 0.163 0.125 0. 0.125 0. 0. 0.
120 0.347 0.007 0.339 0.192 0. 0.192 0.153 0.007 0.145 0. 0. 0.
130 0.405 0. 0.405 0.221 0. 0.221 0.182 0. 0.182 0. 0. 0.
140 0.477 0.007 0.469 0.263 0.007 0.255 0.208 0. 0.208 0. 0. 0.
150 0.548 0. 0.547 0.311 0. 0.311 0.236 0. 0.236 0. 0. 0.
160 0.651 0. 0.651 0.377 0. 0.377 0.272 0. 0.272 0. 0. 0.
170 0.733 0. 0.733 0.408 0. 0.408 0.323 0. 0.323 0. 0. 0.
180 0.783 0. 0.783 0.427 0. 0.427 0.354 0. 0.354 0. 0. 0.
190 0.862 0. 0.862 0.479 0. 0.479 0.381 0. 0.381 0. 0. 0.
200 0.922 0.007 0.914 0.504 0.003 0.5 0.417 0.003 0.414 0. 0. 0.
210 1.032 0. 1.032 0.57 0. 0.57 0.46 0. 0.46 0. 0. 0.
220 1.205 0. 1.205 0.691 0. 0.691 0.512 0. 0.512 0. 0. 0.
230 1.296 0. 1.296 0.71 0. 0.71 0.584 0. 0.584 0. 0. 0.
240 1.377 0.011 1.365 0.767 0.007 0.759 0.608 0.003 0.604 0. 0. 0.
250 1.471 0.003 1.466 0.838 0.003 0.833 0.632 0. 0.632 0. 0. 0.
260 1.671 0. 1.671 0.968 0. 0.968 0.701 0. 0.701 0. 0. 0.
270 1.768 0. 1.768 0.952 0. 0.952 0.814 0. 0.814 0. 0. 0.
280 1.851 0. 1.851 1.017 0. 1.017 0.832 0. 0.832 0. 0. 0.
290 2.089 0.003 2.085 1.204 0. 1.204 0.883 0.003 0.879 0. 0. 0.
300 2.147 0.012 2.134 1.168 0.003 1.164 0.977 0.008 0.969 0. 0. 0.
310 2.302 0. 2.302 1.262 0. 1.262 1.038 0. 1.038 0. 0. 0.
320 2.602 0. 2.602 1.514 0. 1.514 1.085 0. 1.085 0. 0. 0.
330 2.632 0. 2.632 1.433 0. 1.433 1.196 0. 1.196 0. 0. 0.
340 2.849 0. 2.849 1.62 0. 1.62 1.227 0. 1.227 0. 0. 0.
350 2.938 0.003 2.933 1.662 0. 1.662 1.274 0.003 1.27 0. 0. 0.
360 3.215 0.019 3.195 1.83 0.006 1.823 1.383 0.011 1.371 0. 0. 0.
370 3.303 0. 3.303 1.794 0. 1.794 1.506 0. 1.506 0. 0. 0.
380 3.559 0. 3.559 2.049 0. 2.049 1.507 0. 1.507 0. 0. 0.
390 3.711 0. 3.711 2.084 0. 2.084 1.625 0. 1.625 0. 0. 0.
400 3.736 0.015 3.719 1.99 0.007 1.982 1.744 0.007 1.736 0. 0. 0.
