param-a-n param-fact-n beta-iota-fast-real beta-iota-fast-sys beta-iota-fast-user beta-iota-slow-real beta-iota-slow-sys beta-iota-slow-user unify-beta-iota-fast-real unify-beta-iota-fast-sys unify-beta-iota-fast-user unify-beta-iota-slow-real unify-beta-iota-slow-sys unify-beta-iota-slow-user
18700 8 0.022 0. 0.022 0.019 0. 0.019 0.027 0. 0.027 0.023 0. 0.023
18800 8 0.022 0. 0.022 0.019 0. 0.019 0.028 0. 0.028 0.022 0. 0.022
18900 8 0.023 0. 0.023 0.019 0. 0.019 0.03 0. 0.03 0.024 0. 0.024
19000 8 0.023 0. 0.023 0.018 0. 0.018 0.029 0. 0.029 0.023 0. 0.023
19100 8 0.023 0. 0.023 0.019 0. 0.019 0.03 0. 0.03 0.024 0. 0.024
19200 8 0.024 0. 0.024 0.018 0. 0.018 0.03 0. 0.03 0.022 0. 0.022
19300 8 0.023 0. 0.023 0.02 0. 0.02 0.029 0. 0.029 0.023 0. 0.023
19400 8 0.023 0. 0.023 0.02 0. 0.02 0.029 0. 0.029 0.024 0. 0.024
19500 8 0.023 0. 0.023 0.019 0. 0.019 0.029 0. 0.029 0.024 0. 0.024
19600 8 0.024 0. 0.024 0.019 0. 0.019 0.031 0. 0.031 0.024 0. 0.024
19700 8 0.024 0. 0.024 0.02 0. 0.02 0.03 0. 0.03 0.024 0. 0.024
19800 8 0.024 0. 0.024 0.019 0. 0.019 0.033 0. 0.033 0.023 0. 0.023
19900 8 0.024 0. 0.024 0.02 0. 0.02 0.031 0. 0.031 0.023 0. 0.023
20000 8 0.024 0. 0.024 0.02 0. 0.02 0.03 0. 0.03 0.024 0. 0.024
