param-n build-real build-sys build-user build-and-refine-real build-and-refine-sys build-and-refine-user refine-real refine-sys refine-user to-constr-real to-constr-sys to-constr-user type-of-real type-of-sys type-of-user
2700 0.072 0. 0.072 0.339 0.007 0.331 0.041 0. 0.041 0.085 0.007 0.077 0.14 0. 0.14
2800 0.057 0. 0.057 0.422 0. 0.422 0.045 0. 0.045 0.07 0. 0.07 0.248 0. 0.248
2900 0.046 0. 0.046 0.357 0. 0.357 0.048 0. 0.048 0.091 0. 0.091 0.171 0. 0.171
3000 0.065 0. 0.064 0.393 0.007 0.385 0.052 0. 0.052 0.163 0.007 0.155 0.112 0. 0.112
3100 0.05 0. 0.05 0.38 0.003 0.376 0.056 0. 0.056 0.146 0.003 0.142 0.127 0. 0.127
3200 0.051 0. 0.051 0.393 0. 0.393 0.06 0. 0.06 0.11 0. 0.11 0.17 0. 0.17
3300 0.052 0. 0.052 0.453 0. 0.453 0.064 0. 0.064 0.103 0. 0.103 0.233 0. 0.233
3400 0.059 0. 0.059 0.588 0.003 0.584 0.068 0. 0.068 0.103 0.003 0.099 0.356 0. 0.356
3500 0.061 0. 0.061 0.496 0. 0.496 0.073 0. 0.073 0.109 0. 0.109 0.251 0. 0.251
3600 0.063 0. 0.063 0.548 0.011 0.536 0.077 0. 0.077 0.131 0.011 0.119 0.275 0. 0.275
3700 0.066 0.003 0.062 0.585 0.004 0.581 0.082 0. 0.082 0.129 0. 0.129 0.307 0. 0.307
3800 0.068 0. 0.068 0.594 0. 0.594 0.086 0. 0.086 0.129 0. 0.129 0.309 0. 0.309
3900 0.069 0. 0.069 0.729 0. 0.729 0.091 0. 0.091 0.136 0. 0.136 0.431 0. 0.431
4000 0.073 0. 0.073 0.646 0. 0.646 0.097 0. 0.097 0.143 0. 0.143 0.332 0. 0.332
4100 0.075 0. 0.075 0.706 0.023 0.682 0.102 0. 0.102 0.17 0.023 0.146 0.358 0. 0.358
4200 0.079 0. 0.079 0.907 0.011 0.895 0.107 0. 0.107 0.481 0.011 0.469 0.238 0. 0.238
4300 0.08 0. 0.08 0.848 0.003 0.844 0.113 0. 0.113 0.165 0.003 0.161 0.489 0. 0.489
4400 0.082 0. 0.082 0.78 0. 0.78 0.118 0. 0.118 0.173 0. 0.173 0.405 0. 0.405
4500 0.084 0. 0.084 0.818 0.003 0.814 0.124 0. 0.124 0.18 0.003 0.177 0.428 0. 0.428
4600 0.086 0. 0.086 0.901 0. 0.901 0.13 0. 0.13 0.358 0. 0.358 0.326 0. 0.326
4700 0.088 0. 0.088 0.96 0. 0.96 0.135 0. 0.135 0.261 0. 0.261 0.475 0. 0.475
4800 0.091 0. 0.091 0.956 0.003 0.952 0.142 0. 0.142 0.224 0.003 0.22 0.497 0. 0.497
4900 0.102 0.003 0.098 0.986 0.012 0.974 0.148 0. 0.148 0.226 0.008 0.218 0.508 0. 0.508
5000 0.275 0. 0.275 1.297 0. 1.297 0.154 0. 0.154 0.222 0. 0.222 0.644 0. 0.644
5100 0.098 0. 0.098 1.052 0. 1.052 0.161 0. 0.161 0.231 0. 0.231 0.561 0. 0.561
5200 0.106 0. 0.106 1.08 0. 1.08 0.167 0. 0.167 0.24 0. 0.24 0.566 0. 0.566
5300 0.141 0. 0.141 1.277 0. 1.277 0.174 0. 0.174 0.248 0. 0.248 0.712 0. 0.712
5400 0.103 0. 0.103 1.156 0.003 1.152 0.181 0. 0.181 0.258 0.003 0.254 0.612 0. 0.612
5500 0.118 0. 0.118 1.216 0. 1.216 0.189 0. 0.189 0.268 0. 0.268 0.64 0. 0.64
5600 0.148 0. 0.148 1.398 0. 1.398 0.195 0. 0.195 0.277 0. 0.277 0.777 0. 0.776
5700 0.109 0. 0.109 1.34 0.011 1.328 0.203 0. 0.203 0.309 0.011 0.297 0.717 0. 0.717
5800 0.123 0. 0.123 1.562 0.011 1.55 0.211 0. 0.211 0.593 0.011 0.581 0.633 0. 0.633
5900 0.144 0. 0.144 1.412 0. 1.412 0.218 0. 0.218 0.308 0. 0.308 0.74 0. 0.74
6000 0.199 0. 0.199 1.521 0.003 1.517 0.226 0. 0.226 0.318 0.003 0.314 0.777 0. 0.777
6100 0.121 0. 0.121 1.505 0. 1.505 0.235 0. 0.235 0.628 0. 0.628 0.52 0. 0.52
6200 0.146 0. 0.146 1.489 0. 1.489 0.241 0. 0.241 0.501 0. 0.501 0.599 0. 0.599
6300 0.12 0. 0.12 1.422 0.023 1.398 0.249 0. 0.249 0.446 0.023 0.422 0.605 0. 0.605
6400 0.123 0.003 0.119 1.994 0.027 1.966 0.258 0. 0.258 0.371 0.004 0.367 1.241 0.019 1.221
6500 0.151 0. 0.151 1.722 0. 1.722 0.266 0. 0.266 0.37 0. 0.37 0.933 0. 0.933
6600 0.121 0. 0.121 1.82 0.028 1.792 0.274 0. 0.274 0.433 0.027 0.406 0.989 0. 0.989
6700 0.128 0.003 0.124 1.866 0.06 1.806 0.284 0. 0.284 0.444 0.056 0.388 1.008 0. 1.008
6800 0.132 0.003 0.128 1.956 0.031 1.924 0.294 0. 0.294 0.455 0.027 0.427 1.073 0. 1.073
6900 0.172 0. 0.172 2.115 0.047 2.067 0.303 0. 0.303 0.471 0.047 0.423 1.168 0. 1.168
7000 0.147 0.007 0.139 1.821 0.072 1.749 0.325 0. 0.325 0.572 0.064 0.508 0.775 0. 0.775
7100 0.206 0. 0.206 1.988 0.055 1.932 0.335 0. 0.335 0.623 0.055 0.567 0.823 0. 0.823
7200 0.136 0.003 0.132 1.964 0.088 1.876 0.343 0. 0.343 0.795 0.084 0.711 0.689 0. 0.689
7300 0.176 0.003 0.172 2.196 0.035 2.16 0.354 0. 0.354 0.485 0.031 0.453 1.179 0. 1.179
7400 0.171 0. 0.171 2.35 0.048 2.302 0.361 0. 0.361 0.538 0.047 0.49 1.279 0. 1.279
7500 0.141 0. 0.141 2.341 0.04 2.301 0.374 0. 0.374 0.553 0.039 0.513 1.271 0. 1.27
7600 0.142 0.003 0.138 3.022 0.079 2.942 0.384 0. 0.384 0.549 0.036 0.513 1.946 0.039 1.906
7700 0.172 0. 0.172 2.523 0. 2.523 0.396 0. 0.396 0.622 0. 0.622 1.331 0. 1.331
7800 0.154 0. 0.154 2.516 0.031 2.484 0.405 0. 0.405 0.611 0.031 0.579 1.344 0. 1.344
7900 0.15 0.007 0.142 2.379 0.075 2.303 0.416 0. 0.416 0.719 0.067 0.651 1.092 0. 1.092
8000 0.149 0.003 0.145 2.655 0.067 2.587 0.424 0. 0.424 0.655 0.059 0.595 1.425 0.003 1.421
8100 0.167 0. 0.167 2.676 0.048 2.628 0.439 0. 0.439 0.614 0.047 0.566 1.454 0. 1.454
8200 0.804 0.036 0.768 3.393 0.043 3.349 0.446 0. 0.446 1.253 0.007 1.245 0.889 0. 0.889
8300 0.163 0. 0.163 2.815 0.052 2.763 0.461 0. 0.461 1.274 0.052 1.222 0.915 0. 0.915
8400 0.157 0.003 0.153 2.861 0.043 2.817 0.47 0. 0.47 1.252 0.04 1.212 0.98 0. 0.98
8500 0.194 0. 0.194 2.991 0.051 2.939 0.484 0. 0.484 1.353 0.051 1.301 0.959 0. 0.959
8600 0.168 0.004 0.164 3.034 0.095 2.938 0.492 0. 0.492 1.393 0.091 1.301 0.979 0. 0.979
8700 0.165 0. 0.165 3.703 0.084 3.619 0.504 0. 0.504 1.93 0.084 1.846 1.102 0. 1.102
8800 0.182 0. 0.182 3.07 0.023 3.046 0.519 0. 0.519 1.337 0.023 1.314 1.03 0. 1.03
8900 0.184 0. 0.184 3.162 0.067 3.094 0.531 0. 0.531 1.393 0.067 1.325 1.053 0. 1.053
9000 0.176 0.011 0.164 3.297 0.06 3.237 0.539 0. 0.539 1.376 0.048 1.328 1.205 0. 1.204
9100 0.184 0.004 0.18 3.316 0.083 3.232 0.556 0. 0.556 1.47 0.079 1.39 1.104 0. 1.104
9200 0.182 0. 0.182 3.972 0.055 3.916 0.566 0. 0.566 1.974 0.055 1.918 1.248 0. 1.248
9300 0.195 0. 0.195 3.202 0.024 3.178 0.579 0. 0.579 1.241 0.024 1.217 1.185 0. 1.185
9400 0.226 0.003 0.222 3.252 0.063 3.188 0.596 0. 0.596 1.134 0.059 1.074 1.295 0. 1.295
9500 0.235 0. 0.235 3.839 0.091 3.747 0.608 0. 0.608 1.79 0.091 1.698 1.205 0. 1.205
9600 0.224 0. 0.224 3.387 0.076 3.311 0.622 0. 0.622 0.969 0.076 0.893 1.57 0. 1.57
9700 0.878 0.075 0.801 4.398 0.103 4.294 0.631 0. 0.631 1.63 0.027 1.602 1.258 0. 1.258
9800 0.209 0.004 0.205 3.909 0.068 3.841 0.648 0. 0.647 0.969 0.063 0.905 2.082 0. 2.082
9900 0.25 0.003 0.246 3.884 0.104 3.78 0.661 0. 0.661 1.65 0.1 1.55 1.321 0. 1.321
10000 0.216 0. 0.216 4.127 0.068 4.059 0.673 0. 0.673 0.981 0.068 0.913 2.255 0. 2.255
10100 0.205 0. 0.205 3.907 0.003 3.903 0.683 0. 0.683 1.5 0.003 1.496 1.518 0. 1.518
10200 0.211 0. 0.211 4.238 0.008 4.23 0.705 0. 0.705 0.968 0.007 0.96 2.353 0. 2.353
10300 0.216 0.004 0.212 4.62 0.104 4.516 0.71 0. 0.71 2.255 0.099 2.155 1.437 0. 1.437
10400 0.34 0. 0.34 4.581 0.068 4.513 0.735 0. 0.735 1.07 0.067 1.002 2.434 0. 2.434
10500 0.219 0.003 0.215 4.244 0.091 4.152 0.743 0. 0.743 1.634 0.088 1.546 1.646 0. 1.646
10600 0.225 0. 0.225 4.593 0.072 4.52 0.753 0. 0.753 1.089 0.071 1.017 2.524 0. 2.524
10700 0.882 0.055 0.826 4.948 0.103 4.844 0.773 0. 0.773 1.728 0.048 1.68 1.563 0. 1.563
10800 0.239 0.003 0.235 4.823 0.096 4.727 0.793 0. 0.793 1.164 0.092 1.072 2.624 0. 2.624
10900 0.248 0. 0.248 4.4 0.123 4.276 0.798 0. 0.798 1.68 0.123 1.556 1.672 0. 1.672
11000 0.238 0. 0.238 4.769 0.079 4.689 0.819 0. 0.819 2.09 0.079 2.01 1.62 0. 1.62
11100 0.239 0. 0.239 4.478 0.036 4.442 0.841 0. 0.841 1.387 0.035 1.351 2.008 0. 2.008
11200 0.245 0. 0.245 4.738 0.139 4.598 0.843 0. 0.843 1.937 0.139 1.797 1.711 0. 1.711
11300 0.272 0.003 0.268 5.056 0.108 4.948 0.893 0. 0.893 1.355 0.103 1.251 2.533 0. 2.533
11400 0.246 0.003 0.242 4.792 0.119 4.672 0.877 0. 0.877 1.854 0.115 1.738 1.813 0. 1.813
11500 0.254 0. 0.254 5.491 0.051 5.439 0.904 0. 0.904 1.312 0.051 1.26 3.02 0. 3.02
11600 0.245 0.004 0.241 4.939 0.12 4.819 0.912 0. 0.912 1.982 0.115 1.866 1.798 0. 1.798
11700 0.291 0. 0.291 5.073 0.111 4.961 0.916 0. 0.916 2.047 0.111 1.935 1.817 0. 1.817
11800 0.232 0. 0.232 6.178 0.152 6.026 0.925 0. 0.925 3.127 0.151 2.975 1.892 0. 1.892
11900 0.266 0. 0.266 5.108 0.055 5.052 0.955 0. 0.955 1.988 0.055 1.932 1.897 0. 1.897
12000 0.231 0.003 0.227 5.842 0.144 5.697 0.964 0. 0.964 2.641 0.14 2.501 2.004 0. 2.004
12100 0.265 0.003 0.261 5.276 0.087 5.188 0.979 0. 0.979 2.09 0.083 2.006 1.941 0. 1.941
12200 0.237 0.003 0.233 6.062 0.12 5.942 1.01 0. 1.01 2.686 0.115 2.57 2.127 0. 2.127
12300 0.242 0. 0.242 5.374 0.051 5.322 1.022 0. 1.022 2.091 0.051 2.039 2.018 0. 2.018
12400 0.309 0.007 0.301 6.08 0.12 5.96 1.03 0. 1.03 2.703 0.111 2.591 2.037 0. 2.037
12500 0.235 0. 0.235 5.602 0.079 5.513 1.062 0. 1.058 2.063 0.079 1.983 2.241 0. 2.235
12600 0.257 0.003 0.253 6.231 0.091 6.139 1.081 0. 1.081 2.62 0.088 2.532 2.27 0. 2.27
12700 0.244 0. 0.244 5.608 0.072 5.536 1.089 0. 1.089 2.11 0.071 2.038 2.164 0. 2.164
