param-n build-real build-sys build-user build-and-typecheck-real build-and-typecheck-sys build-and-typecheck-user typecheck-real typecheck-sys typecheck-user
4000 0.024 0.003 0.02 0.026 0.003 0.022 0.002 0. 0.002
4100 0.022 0. 0.022 0.024 0. 0.024 0.001 0. 0.001
4200 0.029 0. 0.029 0.031 0. 0.031 0.002 0. 0.002
4300 0.023 0. 0.023 0.026 0. 0.025 0.002 0. 0.002
4400 0.027 0. 0.026 0.029 0. 0.029 0.002 0. 0.002
4500 0.024 0. 0.024 0.026 0. 0.026 0.002 0. 0.002
4600 0.026 0. 0.026 0.029 0. 0.029 0.002 0. 0.002
4700 0.028 0. 0.028 0.03 0. 0.03 0.002 0. 0.002
4800 0.029 0. 0.029 0.031 0. 0.031 0.002 0. 0.002
4900 0.029 0. 0.029 0.032 0. 0.032 0.002 0. 0.002
5000 0.027 0. 0.027 0.03 0. 0.03 0.002 0. 0.002
5100 0.027 0. 0.027 0.03 0. 0.03 0.002 0. 0.002
5200 0.028 0. 0.028 0.035 0. 0.035 0.006 0. 0.006
5300 0.033 0. 0.033 0.036 0. 0.036 0.002 0. 0.002
5400 0.033 0. 0.033 0.035 0. 0.035 0.002 0. 0.002
5500 0.036 0. 0.036 0.039 0. 0.039 0.002 0. 0.002
5600 0.042 0. 0.042 0.045 0. 0.045 0.002 0. 0.002
5700 0.031 0. 0.03 0.033 0. 0.033 0.002 0. 0.002
5800 0.034 0. 0.034 0.037 0. 0.037 0.002 0. 0.002
5900 0.04 0. 0.04 0.043 0. 0.043 0.002 0. 0.002
6000 0.041 0. 0.041 0.044 0. 0.044 0.002 0. 0.002
6100 0.034 0. 0.034 0.037 0. 0.037 0.002 0. 0.002
6200 0.038 0. 0.038 0.041 0. 0.041 0.003 0. 0.003
6300 0.036 0. 0.036 0.038 0. 0.038 0.002 0. 0.002
6400 0.038 0. 0.038 0.041 0. 0.041 0.003 0. 0.003
6500 0.037 0. 0.037 0.04 0. 0.04 0.003 0. 0.003
6600 0.038 0. 0.038 0.041 0. 0.041 0.003 0. 0.003
6700 0.04 0. 0.039 0.043 0. 0.043 0.003 0. 0.003
6800 0.04 0. 0.04 0.043 0. 0.043 0.003 0. 0.003
6900 0.04 0. 0.04 0.044 0. 0.044 0.003 0. 0.003
7000 0.044 0. 0.044 0.048 0. 0.047 0.003 0. 0.003
7500 0.045 0. 0.045 0.049 0. 0.049 0.003 0. 0.003
8000 0.054 0. 0.054 0.058 0. 0.058 0.003 0. 0.003
8500 0.052 0.003 0.048 0.056 0.003 0.052 0.003 0. 0.003
9000 0.058 0. 0.058 0.062 0. 0.062 0.004 0. 0.004
9500 0.055 0. 0.055 0.059 0. 0.059 0.004 0. 0.004
10000 0.063 0. 0.063 0.068 0. 0.068 0.004 0. 0.004
10500 0.068 0. 0.068 0.073 0. 0.073 0.005 0. 0.005
11000 0.065 0. 0.065 0.07 0. 0.07 0.005 0. 0.005
11500 0.086 0. 0.086 0.092 0. 0.092 0.005 0. 0.005
12000 0.084 0. 0.084 0.089 0. 0.089 0.005 0. 0.004
12500 0.081 0. 0.081 0.087 0. 0.087 0.006 0. 0.006
13000 0.09 0. 0.09 0.097 0. 0.097 0.006 0. 0.006
13500 0.097 0. 0.097 0.104 0. 0.104 0.006 0. 0.006
14000 0.097 0.007 0.089 0.104 0.008 0.096 0.006 0. 0.006
14500 0.094 0. 0.094 0.101 0. 0.101 0.007 0. 0.007
