param-n abstract+rewrite-strat-bottomup-real abstract+rewrite-strat-bottomup-sys abstract+rewrite-strat-bottomup-user abstract+rewrite-strat-topdown-real abstract+rewrite-strat-topdown-sys abstract+rewrite-strat-topdown-user close-abstract+rewrite-strat-bottomup-real close-abstract+rewrite-strat-bottomup-sys close-abstract+rewrite-strat-bottomup-user close-abstract+rewrite-strat-topdown-real close-abstract+rewrite-strat-topdown-sys close-abstract+rewrite-strat-topdown-user rewrite-strat-bottomup-real rewrite-strat-bottomup-sys rewrite-strat-bottomup-user rewrite-strat-bottomup-noop-real rewrite-strat-bottomup-noop-sys rewrite-strat-bottomup-noop-user rewrite-strat-topdown-real rewrite-strat-topdown-sys rewrite-strat-topdown-user rewrite-strat-topdown-noop-real rewrite-strat-topdown-noop-sys rewrite-strat-topdown-noop-user
22 0.019 0. 0.019 0.011 0. 0.011 0.005 0. 0.005 0.003 0. 0.003 0.013 0. 0.013 0. 0. 0. 0.006 0. 0.006 0. 0. 0.
23 0.024 0. 0.023 0.012 0. 0.012 0.006 0. 0.006 0.004 0. 0.004 0.018 0. 0.016 0. 0. 0. 0.007 0. 0.007 0. 0. 0.
24 0.022 0. 0.022 0.014 0. 0.014 0.006 0. 0.006 0.004 0. 0.004 0.015 0. 0.015 0. 0. 0. 0.009 0. 0.009 0. 0. 0.
25 0.027 0. 0.027 0.013 0. 0.013 0.01 0. 0.01 0.004 0. 0.004 0.016 0. 0.016 0. 0. 0. 0.008 0. 0.008 0. 0. 0.
26 0.026 0. 0.025 0.014 0. 0.014 0.007 0. 0.007 0.005 0. 0.005 0.017 0. 0.017 0. 0. 0. 0.008 0. 0.008 0. 0. 0.
27 0.027 0. 0.027 0.016 0. 0.016 0.008 0. 0.008 0.006 0. 0.006 0.018 0. 0.018 0. 0. 0. 0.009 0. 0.009 0. 0. 0.
28 0.029 0. 0.029 0.016 0. 0.016 0.008 0. 0.008 0.006 0. 0.006 0.02 0. 0.02 0. 0. 0. 0.01 0. 0.01 0. 0. 0.
29 0.031 0. 0.031 0.017 0. 0.017 0.009 0. 0.009 0.006 0. 0.006 0.02 0. 0.02 0. 0. 0. 0.01 0. 0.01 0. 0. 0.
30 0.032 0. 0.032 0.02 0. 0.02 0.01 0. 0.01 0.008 0. 0.008 0.021 0. 0.021 0. 0. 0. 0.011 0. 0.011 0. 0. 0.
31 0.034 0. 0.034 0.02 0. 0.02 0.01 0. 0.01 0.007 0. 0.007 0.023 0. 0.023 0. 0. 0. 0.011 0. 0.011 0. 0. 0.
32 0.036 0. 0.036 0.021 0. 0.021 0.011 0. 0.011 0.008 0. 0.008 0.024 0. 0.024 0. 0. 0. 0.012 0. 0.012 0. 0. 0.
33 0.04 0. 0.04 0.023 0. 0.023 0.012 0. 0.012 0.008 0. 0.008 0.027 0. 0.027 0. 0. 0. 0.014 0. 0.014 0. 0. 0.
34 0.04 0. 0.04 0.023 0. 0.023 0.013 0. 0.013 0.008 0. 0.008 0.026 0. 0.026 0. 0. 0. 0.013 0. 0.013 0. 0. 0.
35 0.042 0. 0.042 0.029 0. 0.029 0.013 0. 0.013 0.01 0. 0.01 0.027 0. 0.027 0. 0. 0. 0.018 0. 0.018 0. 0. 0.
36 0.046 0. 0.046 0.026 0. 0.026 0.014 0. 0.014 0.01 0. 0.01 0.031 0. 0.031 0. 0. 0. 0.015 0. 0.015 0. 0. 0.
37 0.047 0. 0.047 0.028 0. 0.028 0.014 0. 0.014 0.009 0. 0.009 0.031 0. 0.031 0. 0. 0. 0.017 0. 0.017 0. 0. 0.
38 0.05 0. 0.05 0.028 0. 0.028 0.015 0. 0.015 0.011 0. 0.011 0.033 0. 0.033 0. 0. 0. 0.016 0. 0.016 0. 0. 0.
39 0.053 0. 0.053 0.033 0. 0.033 0.018 0. 0.018 0.011 0. 0.011 0.034 0. 0.034 0. 0. 0. 0.02 0. 0.02 0. 0. 0.
40 0.056 0. 0.056 0.031 0. 0.031 0.02 0. 0.02 0.012 0. 0.012 0.034 0. 0.034 0. 0. 0. 0.018 0. 0.018 0. 0. 0.
41 0.057 0. 0.057 0.032 0. 0.032 0.019 0. 0.019 0.012 0. 0.012 0.036 0. 0.036 0. 0. 0. 0.019 0. 0.019 0. 0. 0.
42 0.059 0. 0.059 0.035 0. 0.035 0.02 0. 0.02 0.014 0. 0.014 0.038 0. 0.038 0. 0. 0. 0.019 0. 0.019 0. 0. 0.
43 0.062 0. 0.062 0.035 0.003 0.032 0.021 0. 0.021 0.014 0.002 0.011 0.039 0. 0.039 0. 0. 0. 0.02 0. 0.02 0. 0. 0.
44 0.064 0. 0.064 0.037 0. 0.037 0.022 0. 0.022 0.014 0. 0.014 0.04 0. 0.04 0. 0. 0. 0.022 0. 0.022 0. 0. 0.
45 0.067 0. 0.067 0.041 0. 0.041 0.022 0. 0.022 0.018 0. 0.018 0.043 0. 0.043 0. 0. 0. 0.022 0. 0.022 0. 0. 0.
46 0.077 0. 0.072 0.04 0. 0.04 0.023 0. 0.023 0.016 0. 0.016 0.052 0. 0.047 0. 0. 0. 0.023 0. 0.023 0. 0. 0.
47 0.07 0. 0.07 0.041 0. 0.041 0.021 0. 0.021 0.016 0. 0.016 0.047 0. 0.047 0. 0. 0. 0.024 0. 0.024 0. 0. 0.
48 0.077 0. 0.076 0.044 0. 0.044 0.025 0. 0.025 0.017 0. 0.017 0.05 0. 0.05 0. 0. 0. 0.025 0. 0.025 0. 0. 0.
49 0.081 0. 0.08 0.045 0. 0.045 0.029 0. 0.029 0.017 0. 0.017 0.05 0. 0.05 0. 0. 0. 0.027 0. 0.027 0. 0. 0.
50 0.146 0.028 0.118 0.102 0.016 0.086 0.025 0. 0.025 0.016 0. 0.016 0.12 0.028 0.092 0. 0. 0. 0.085 0.016 0.069 0. 0. 0.
51 0.082 0. 0.082 0.05 0. 0.05 0.025 0. 0.025 0.02 0. 0.02 0.055 0. 0.055 0. 0. 0. 0.029 0. 0.029 0. 0. 0.
52 0.092 0. 0.092 0.051 0. 0.051 0.032 0. 0.032 0.021 0. 0.021 0.058 0. 0.058 0. 0. 0. 0.029 0. 0.029 0. 0. 0.
53 0.091 0. 0.091 0.055 0. 0.055 0.031 0. 0.031 0.024 0. 0.024 0.059 0. 0.058 0. 0. 0. 0.029 0. 0.029 0. 0. 0.
54 0.093 0.003 0.089 0.054 0. 0.054 0.033 0. 0.033 0.022 0. 0.022 0.058 0.003 0.055 0. 0. 0. 0.03 0. 0.03 0. 0. 0.
55 0.093 0. 0.093 0.058 0. 0.058 0.029 0. 0.029 0.025 0. 0.025 0.062 0. 0.062 0. 0. 0. 0.031 0. 0.031 0. 0. 0.
56 0.104 0. 0.104 0.057 0. 0.057 0.036 0. 0.036 0.022 0. 0.022 0.066 0. 0.066 0. 0. 0. 0.033 0. 0.033 0. 0. 0.
57 0.108 0. 0.107 0.062 0. 0.062 0.037 0. 0.037 0.024 0. 0.024 0.069 0. 0.069 0. 0. 0. 0.036 0. 0.036 0. 0. 0.
58 0.108 0. 0.107 0.061 0. 0.061 0.037 0. 0.037 0.023 0. 0.023 0.069 0. 0.068 0. 0. 0. 0.036 0. 0.036 0. 0. 0.
59 0.109 0. 0.108 0.067 0. 0.067 0.039 0. 0.039 0.026 0. 0.026 0.068 0. 0.068 0. 0. 0. 0.039 0. 0.039 0. 0. 0.
60 0.11 0. 0.11 0.067 0. 0.067 0.04 0. 0.04 0.028 0. 0.028 0.068 0. 0.068 0. 0. 0. 0.037 0. 0.037 0. 0. 0.
61 0.113 0. 0.113 0.068 0. 0.068 0.042 0. 0.042 0.027 0. 0.027 0.069 0. 0.069 0. 0. 0. 0.038 0. 0.038 0. 0. 0.
62 0.119 0. 0.119 0.073 0. 0.073 0.044 0. 0.044 0.029 0. 0.029 0.074 0. 0.074 0. 0. 0. 0.042 0. 0.042 0. 0. 0.
63 0.122 0. 0.122 0.075 0. 0.075 0.045 0. 0.045 0.03 0. 0.03 0.075 0. 0.075 0. 0. 0. 0.043 0. 0.043 0. 0. 0.
64 0.123 0. 0.123 0.079 0. 0.079 0.045 0. 0.045 0.032 0. 0.032 0.075 0. 0.075 0. 0. 0. 0.046 0. 0.046 0. 0. 0.
65 0.129 0. 0.129 0.08 0. 0.08 0.047 0. 0.047 0.032 0. 0.032 0.08 0. 0.08 0. 0. 0. 0.045 0. 0.045 0. 0. 0.
66 0.134 0. 0.134 0.079 0. 0.079 0.049 0. 0.049 0.034 0. 0.034 0.083 0. 0.083 0. 0. 0. 0.044 0. 0.044 0. 0. 0.
67 0.139 0. 0.139 0.08 0.007 0.073 0.05 0. 0.05 0.03 0. 0.03 0.087 0. 0.087 0. 0. 0. 0.049 0.007 0.041 0. 0. 0.
68 0.145 0. 0.145 0.09 0. 0.09 0.05 0. 0.05 0.036 0. 0.036 0.093 0. 0.093 0. 0. 0. 0.052 0. 0.052 0. 0. 0.
69 0.151 0. 0.151 0.089 0.003 0.085 0.05 0. 0.05 0.036 0. 0.036 0.1 0. 0.1 0. 0. 0. 0.05 0.003 0.046 0. 0. 0.
70 0.159 0. 0.158 0.09 0. 0.09 0.059 0. 0.059 0.039 0. 0.039 0.097 0. 0.097 0. 0. 0. 0.049 0. 0.049 0. 0. 0.
71 0.152 0. 0.152 0.092 0. 0.092 0.057 0. 0.056 0.038 0. 0.038 0.093 0. 0.093 0. 0. 0. 0.052 0. 0.052 0. 0. 0.
72 0.158 0. 0.157 0.095 0.003 0.091 0.049 0. 0.049 0.035 0. 0.035 0.102 0. 0.102 0.004 0. 0.004 0.058 0.003 0.054 0. 0. 0.
73 0.172 0. 0.172 0.103 0. 0.103 0.061 0. 0.061 0.04 0. 0.04 0.109 0. 0.109 0. 0. 0. 0.061 0. 0.061 0. 0. 0.
74 0.176 0. 0.176 0.105 0. 0.105 0.061 0. 0.061 0.044 0. 0.044 0.113 0. 0.113 0. 0. 0. 0.059 0. 0.059 0. 0. 0.
75 0.18 0. 0.18 0.106 0. 0.106 0.061 0. 0.061 0.044 0. 0.044 0.117 0. 0.117 0. 0. 0. 0.06 0. 0.06 0. 0. 0.
76 0.172 0. 0.172 0.107 0. 0.107 0.06 0. 0.06 0.045 0. 0.045 0.11 0. 0.109 0. 0. 0. 0.06 0. 0.06 0. 0. 0.
77 0.176 0.003 0.172 0.11 0. 0.11 0.054 0. 0.054 0.046 0. 0.046 0.12 0.003 0.116 0. 0. 0. 0.061 0. 0.061 0. 0. 0.
78 0.181 0. 0.181 0.113 0. 0.113 0.063 0. 0.063 0.048 0. 0.048 0.116 0. 0.116 0. 0. 0. 0.063 0. 0.063 0. 0. 0.
79 0.186 0. 0.186 0.116 0. 0.116 0.058 0. 0.058 0.049 0. 0.049 0.125 0. 0.125 0. 0. 0. 0.064 0. 0.064 0. 0. 0.
80 0.187 0. 0.187 0.118 0. 0.118 0.067 0. 0.067 0.051 0. 0.051 0.118 0. 0.118 0. 0. 0. 0.065 0. 0.065 0. 0. 0.
81 0.19 0. 0.19 0.121 0. 0.121 0.06 0. 0.06 0.052 0. 0.052 0.128 0. 0.128 0. 0. 0. 0.067 0. 0.067 0. 0. 0.
82 0.197 0. 0.197 0.126 0. 0.126 0.068 0. 0.068 0.054 0. 0.054 0.127 0. 0.127 0. 0. 0. 0.069 0. 0.069 0. 0. 0.
83 0.202 0. 0.202 0.128 0. 0.128 0.072 0. 0.072 0.053 0. 0.053 0.128 0. 0.127 0. 0. 0. 0.073 0. 0.073 0. 0. 0.
84 0.202 0. 0.202 0.127 0. 0.127 0.064 0. 0.064 0.047 0. 0.047 0.136 0. 0.136 0. 0. 0. 0.075 0. 0.075 0.004 0. 0.004
85 0.215 0. 0.215 0.136 0. 0.136 0.067 0. 0.067 0.055 0. 0.055 0.145 0. 0.145 0. 0. 0. 0.079 0. 0.079 0.001 0. 0.001
86 0.209 0. 0.208 0.144 0. 0.144 0.067 0. 0.067 0.063 0. 0.063 0.134 0. 0.134 0.005 0. 0.005 0.078 0. 0.078 0.001 0. 0.001
87 0.213 0. 0.212 0.149 0. 0.149 0.075 0. 0.075 0.06 0. 0.06 0.135 0. 0.135 0. 0. 0. 0.087 0. 0.087 0.001 0. 0.001
88 0.224 0. 0.224 0.142 0. 0.142 0.078 0. 0.078 0.061 0. 0.061 0.144 0. 0.144 0.001 0. 0.001 0.079 0. 0.079 0.001 0. 0.001
89 0.232 0. 0.232 0.147 0. 0.147 0.08 0. 0.08 0.056 0. 0.056 0.15 0. 0.15 0.001 0. 0.001 0.088 0. 0.088 0.001 0. 0.001
90 0.243 0. 0.243 0.136 0. 0.136 0.086 0. 0.085 0.052 0. 0.052 0.155 0. 0.155 0.001 0. 0.001 0.082 0. 0.082 0.001 0. 0.001
91 0.25 0. 0.25 0.152 0. 0.152 0.088 0. 0.088 0.063 0. 0.063 0.159 0. 0.159 0.001 0. 0.001 0.086 0. 0.086 0.001 0. 0.001
92 0.253 0. 0.253 0.148 0. 0.148 0.088 0. 0.088 0.056 0. 0.056 0.162 0. 0.162 0.001 0. 0.001 0.086 0. 0.086 0.005 0. 0.005
93 0.268 0.003 0.264 0.155 0. 0.155 0.093 0. 0.093 0.062 0. 0.062 0.172 0.003 0.168 0.001 0. 0.001 0.091 0. 0.091 0.001 0. 0.001
94 0.284 0. 0.283 0.156 0. 0.156 0.101 0. 0.101 0.065 0. 0.065 0.18 0. 0.18 0.001 0. 0.001 0.089 0. 0.089 0.001 0. 0.001
95 0.289 0. 0.288 0.158 0.003 0.154 0.096 0. 0.096 0.06 0. 0.06 0.19 0. 0.19 0.001 0. 0.001 0.095 0.003 0.091 0.001 0. 0.001
96 0.275 0. 0.275 0.165 0. 0.165 0.094 0. 0.094 0.07 0. 0.07 0.172 0. 0.172 0.007 0. 0.007 0.092 0. 0.092 0.001 0. 0.001
97 0.277 0. 0.277 0.164 0.007 0.156 0.102 0. 0.102 0.062 0. 0.062 0.173 0. 0.172 0.001 0. 0.001 0.099 0.007 0.091 0.001 0. 0.001
98 0.295 0.007 0.288 0.171 0. 0.171 0.11 0.003 0.106 0.073 0. 0.073 0.183 0.002 0.18 0.001 0. 0.001 0.095 0. 0.095 0.001 0. 0.001
99 0.278 0. 0.278 0.171 0. 0.171 0.088 0. 0.088 0.065 0. 0.065 0.181 0. 0.181 0.007 0. 0.007 0.103 0. 0.103 0.001 0. 0.001
100 0.299 0.003 0.295 0.167 0. 0.167 0.089 0. 0.089 0.074 0. 0.074 0.208 0.003 0.204 0.001 0. 0. 0.091 0. 0.091 0.001 0. 0.001
110 0.364 0. 0.364 0.216 0.007 0.208 0.139 0. 0.139 0.081 0. 0.081 0.222 0. 0.222 0.001 0. 0.001 0.133 0.007 0.125 0.001 0. 0.001
120 0.412 0. 0.411 0.245 0. 0.245 0.132 0. 0.131 0.096 0. 0.096 0.277 0. 0.277 0.001 0. 0.001 0.146 0. 0.146 0.001 0. 0.001
130 0.466 0. 0.466 0.298 0. 0.298 0.164 0. 0.164 0.119 0. 0.119 0.299 0. 0.299 0.001 0. 0.001 0.175 0. 0.175 0.001 0. 0.001
140 0.564 0. 0.563 0.374 0. 0.374 0.207 0. 0.206 0.147 0. 0.147 0.354 0. 0.354 0.001 0. 0.001 0.223 0. 0.223 0.002 0. 0.001
150 0.646 0.003 0.642 0.395 0.007 0.388 0.215 0. 0.215 0.177 0.003 0.173 0.428 0.003 0.424 0.002 0. 0.002 0.215 0.003 0.212 0.002 0. 0.002
160 0.735 0. 0.735 0.47 0.011 0.458 0.258 0. 0.258 0.193 0.008 0.185 0.474 0. 0.473 0.002 0. 0.002 0.273 0.003 0.269 0.002 0. 0.002
170 0.826 0. 0.825 0.532 0. 0.532 0.27 0. 0.27 0.21 0. 0.21 0.552 0. 0.552 0.002 0. 0.002 0.317 0. 0.317 0.002 0. 0.002
180 0.929 0.003 0.924 0.547 0.007 0.539 0.29 0. 0.29 0.216 0.004 0.212 0.634 0.003 0.63 0.002 0. 0.002 0.326 0.003 0.322 0.002 0. 0.002
190 1.038 0. 1.036 0.613 0.008 0.605 0.357 0. 0.356 0.237 0. 0.237 0.676 0. 0.676 0.002 0. 0.002 0.371 0.007 0.363 0.003 0. 0.003
200 1.097 0.011 1.085 0.701 0.003 0.696 0.339 0.003 0.335 0.254 0. 0.254 0.753 0.008 0.745 0.003 0. 0.003 0.442 0.003 0.438 0.003 0. 0.003
210 1.262 0. 1.261 0.746 0.003 0.742 0.414 0. 0.414 0.286 0.003 0.282 0.843 0. 0.842 0.003 0. 0.003 0.454 0. 0.454 0.003 0. 0.003
220 1.32 0.003 1.314 0.913 0.004 0.909 0.419 0.003 0.415 0.337 0. 0.337 0.895 0. 0.894 0.003 0. 0.003 0.571 0.003 0.567 0.003 0. 0.003
230 1.457 0.012 1.443 0.91 0. 0.91 0.459 0.004 0.455 0.339 0. 0.339 0.992 0.007 0.983 0.003 0. 0.003 0.565 0. 0.565 0.004 0. 0.004
240 1.66 0. 1.658 1.019 0. 1.019 0.546 0. 0.545 0.363 0. 0.363 1.108 0. 1.107 0.004 0. 0.004 0.646 0. 0.646 0.008 0. 0.008
250 1.691 0.007 1.683 1.028 0.003 1.023 0.537 0.003 0.533 0.396 0. 0.396 1.148 0.003 1.144 0.004 0. 0.004 0.626 0.003 0.622 0.004 0. 0.004
260 1.859 0. 1.857 1.192 0. 1.192 0.581 0. 0.581 0.466 0. 0.466 1.271 0. 1.27 0.004 0. 0.004 0.719 0. 0.719 0.005 0. 0.005
270 2.119 0. 2.117 1.282 0. 1.282 0.628 0. 0.627 0.455 0. 0.455 1.484 0. 1.483 0.005 0. 0.005 0.82 0. 0.82 0.005 0. 0.005
280 2.314 0. 2.311 1.436 0.007 1.428 0.729 0. 0.729 0.511 0.004 0.507 1.577 0. 1.575 0.005 0. 0.005 0.917 0.003 0.913 0.005 0. 0.005
290 2.376 0. 2.371 1.519 0.003 1.515 0.705 0. 0.703 0.54 0. 0.54 1.659 0. 1.656 0.009 0. 0.009 0.971 0.003 0.967 0.006 0. 0.006
300 2.543 0.007 2.535 1.564 0.015 1.546 0.741 0.003 0.737 0.618 0.007 0.609 1.794 0.003 1.79 0.005 0. 0.005 0.938 0.007 0.929 0.006 0. 0.006
310 2.857 0.003 2.844 1.674 0. 1.674 0.881 0.003 0.875 0.604 0. 0.604 1.967 0. 1.961 0.006 0. 0.006 1.061 0. 1.061 0.006 0. 0.006
320 2.868 0.015 2.847 1.875 0. 1.875 0.849 0.003 0.844 0.695 0. 0.695 2.01 0.011 1.994 0.007 0. 0.006 1.158 0. 1.158 0.019 0. 0.019
330 3.4 0.007 3.389 1.938 0.011 1.926 0.967 0. 0.966 0.681 0.007 0.673 2.424 0.007 2.414 0.007 0. 0.007 1.247 0.003 1.243 0.007 0. 0.007
340 3.249 0.003 3.242 2.186 0.003 2.182 0.978 0.003 0.973 0.786 0. 0.786 2.261 0. 2.258 0.007 0. 0.007 1.39 0.003 1.386 0.008 0. 0.008
350 3.579 0.007 3.571 2.108 0.023 2.082 1.08 0.003 1.075 0.77 0.007 0.761 2.49 0.003 2.486 0.007 0. 0.007 1.328 0.016 1.311 0.008 0. 0.008
360 3.685 0.011 3.669 2.339 0.011 2.326 1.051 0.011 1.038 0.817 0.003 0.813 2.623 0. 2.62 0.007 0. 0.007 1.511 0.007 1.502 0.008 0. 0.008
370 3.972 0.011 3.956 2.66 0.004 2.656 1.185 0. 1.184 0.933 0. 0.933 2.776 0.011 2.761 0.008 0. 0.008 1.716 0.003 1.712 0.009 0. 0.009
380 4.466 0.023 4.437 2.627 0. 2.627 1.246 0. 1.245 0.902 0. 0.902 3.209 0.023 3.182 0.008 0. 0.008 1.712 0. 1.712 0.009 0. 0.009
390 4.338 0. 4.333 2.712 0. 2.712 1.312 0. 1.311 0.94 0. 0.94 3.007 0. 3.004 0.015 0. 0.015 1.759 0. 1.759 0.01 0. 0.01
400 4.68 0.004 4.675 2.928 0.023 2.901 1.279 0. 1.279 1.003 0.003 0.998 3.381 0.004 3.376 0.018 0. 0.018 1.91 0.019 1.888 0.012 0. 0.012
