param-n abstract+autorewrite-regression-quadratic-real abstract+autorewrite-regression-quadratic-sys abstract+autorewrite-regression-quadratic-user abstract+rewrite!-regression-quadratic-real abstract+rewrite!-regression-quadratic-sys abstract+rewrite!-regression-quadratic-user autorewrite-noop-regression-linear-real autorewrite-noop-regression-linear-sys autorewrite-noop-regression-linear-user autorewrite-regression-quadratic-real autorewrite-regression-quadratic-sys autorewrite-regression-quadratic-user close-abstract+autorewrite-regression-quadratic-real close-abstract+autorewrite-regression-quadratic-sys close-abstract+autorewrite-regression-quadratic-user close-abstract+rewrite!-regression-quadratic-real close-abstract+rewrite!-regression-quadratic-sys close-abstract+rewrite!-regression-quadratic-user rewrite!-regression-quadratic-real rewrite!-regression-quadratic-sys rewrite!-regression-quadratic-user rewrite?-noop-regression-linear-real rewrite?-noop-regression-linear-sys rewrite?-noop-regression-linear-user
45 0.042 0. 0.042 0.043 0. 0.043 0. 0. 0. 0.025 0. 0.025 0.016 0. 0.016 0.018 0. 0.018 0.024 0. 0.024 0. 0. 0.
46 0.043 0.003 0.04 0.043 0. 0.043 0.002 0.002 0. 0.025 0. 0.025 0.015 0.001 0.014 0.016 0. 0.016 0.025 0. 0.025 0. 0. 0.
47 0.046 0. 0.046 0.045 0. 0.045 0. 0. 0. 0.025 0. 0.025 0.019 0. 0.019 0.017 0. 0.017 0.026 0. 0.026 0. 0. 0.
48 0.047 0. 0.047 0.047 0. 0.047 0. 0. 0. 0.027 0. 0.027 0.018 0. 0.018 0.018 0. 0.018 0.028 0. 0.028 0. 0. 0.
49 0.05 0. 0.05 0.049 0. 0.049 0. 0. 0. 0.028 0. 0.027 0.021 0. 0.021 0.019 0. 0.019 0.029 0. 0.029 0. 0. 0.
50 0.115 0.012 0.102 0.115 0.012 0.102 0. 0. 0. 0.096 0.012 0.084 0.017 0. 0.017 0.017 0. 0.017 0.096 0.012 0.084 0. 0. 0.
51 0.051 0. 0.051 0.053 0. 0.053 0. 0. 0. 0.03 0. 0.03 0.02 0. 0.02 0.02 0. 0.02 0.031 0. 0.031 0. 0. 0.
52 0.055 0. 0.055 0.055 0. 0.055 0. 0. 0. 0.033 0. 0.033 0.021 0. 0.021 0.022 0. 0.022 0.032 0. 0.032 0. 0. 0.
53 0.057 0. 0.056 0.056 0. 0.056 0. 0. 0. 0.034 0. 0.034 0.021 0. 0.021 0.022 0. 0.022 0.032 0. 0.032 0. 0. 0.
54 0.06 0. 0.06 0.059 0. 0.059 0. 0. 0. 0.036 0. 0.036 0.023 0. 0.023 0.023 0. 0.023 0.035 0. 0.035 0. 0. 0.
55 0.061 0. 0.061 0.06 0. 0.06 0. 0. 0. 0.035 0. 0.035 0.025 0. 0.025 0.022 0. 0.022 0.036 0. 0.036 0. 0. 0.
56 0.061 0. 0.061 0.065 0. 0.065 0. 0. 0. 0.036 0. 0.035 0.024 0. 0.024 0.025 0. 0.025 0.038 0. 0.038 0. 0. 0.
57 0.066 0. 0.066 0.065 0. 0.065 0. 0. 0. 0.039 0. 0.039 0.026 0. 0.026 0.026 0. 0.026 0.037 0. 0.037 0. 0. 0.
58 0.068 0. 0.068 0.067 0. 0.067 0. 0. 0. 0.039 0. 0.039 0.028 0. 0.028 0.025 0. 0.025 0.041 0. 0.041 0. 0. 0.
59 0.069 0. 0.068 0.073 0. 0.073 0. 0. 0. 0.041 0. 0.041 0.025 0. 0.025 0.028 0. 0.028 0.043 0. 0.043 0. 0. 0.
60 0.074 0. 0.074 0.073 0. 0.073 0. 0. 0. 0.043 0. 0.043 0.029 0. 0.029 0.028 0. 0.028 0.043 0. 0.043 0. 0. 0.
61 0.073 0. 0.073 0.076 0. 0.076 0. 0. 0. 0.042 0. 0.042 0.029 0. 0.029 0.03 0. 0.03 0.044 0. 0.044 0. 0. 0.
62 0.077 0. 0.077 0.076 0. 0.076 0. 0. 0. 0.044 0. 0.044 0.031 0. 0.031 0.028 0. 0.028 0.046 0. 0.046 0. 0. 0.
63 0.078 0. 0.077 0.082 0. 0.082 0. 0. 0. 0.046 0. 0.046 0.029 0. 0.029 0.032 0. 0.032 0.048 0. 0.048 0. 0. 0.
64 0.083 0. 0.083 0.083 0. 0.083 0. 0. 0. 0.049 0. 0.049 0.032 0. 0.032 0.033 0. 0.033 0.049 0. 0.049 0. 0. 0.
65 0.086 0.003 0.082 0.084 0. 0.084 0. 0. 0. 0.049 0. 0.049 0.035 0.002 0.032 0.033 0. 0.033 0.049 0. 0.049 0. 0. 0.
66 0.088 0. 0.088 0.087 0. 0.087 0. 0. 0. 0.051 0. 0.051 0.035 0. 0.035 0.036 0. 0.036 0.05 0. 0.05 0. 0. 0.
67 0.089 0. 0.089 0.091 0.003 0.088 0. 0. 0. 0.051 0. 0.051 0.036 0. 0.036 0.037 0.003 0.033 0.052 0. 0.052 0. 0. 0.
68 0.091 0. 0.091 0.094 0. 0.094 0. 0. 0. 0.053 0. 0.053 0.036 0. 0.036 0.038 0. 0.038 0.054 0. 0.054 0. 0. 0.
69 0.094 0. 0.094 0.098 0. 0.098 0. 0. 0. 0.054 0. 0.054 0.038 0. 0.038 0.039 0. 0.039 0.057 0. 0.057 0. 0. 0.
70 0.097 0. 0.097 0.102 0. 0.102 0. 0. 0. 0.056 0. 0.056 0.04 0. 0.04 0.041 0. 0.041 0.059 0. 0.059 0. 0. 0.
71 0.1 0. 0.1 0.104 0. 0.104 0. 0. 0. 0.057 0. 0.057 0.041 0. 0.041 0.042 0. 0.042 0.06 0. 0.06 0. 0. 0.
72 0.103 0. 0.103 0.106 0. 0.106 0.002 0. 0.002 0.059 0. 0.059 0.04 0. 0.04 0.043 0. 0.043 0.061 0. 0.061 0. 0. 0.
73 0.106 0. 0.106 0.108 0. 0.108 0. 0. 0. 0.062 0. 0.062 0.042 0. 0.042 0.043 0. 0.043 0.063 0. 0.063 0. 0. 0.
74 0.109 0. 0.109 0.111 0. 0.111 0. 0. 0. 0.063 0. 0.063 0.044 0. 0.044 0.045 0. 0.045 0.064 0. 0.064 0. 0. 0.
75 0.112 0. 0.111 0.114 0. 0.113 0. 0. 0. 0.063 0. 0.063 0.047 0. 0.047 0.044 0. 0.044 0.067 0. 0.067 0. 0. 0.
76 0.115 0. 0.115 0.116 0. 0.116 0. 0. 0. 0.067 0. 0.067 0.046 0. 0.046 0.048 0. 0.048 0.066 0. 0.066 0. 0. 0.
77 0.124 0. 0.124 0.119 0. 0.119 0. 0. 0. 0.073 0. 0.073 0.049 0. 0.049 0.048 0. 0.048 0.069 0. 0.069 0. 0. 0.
78 0.123 0. 0.123 0.127 0. 0.127 0. 0. 0. 0.071 0. 0.071 0.05 0. 0.05 0.049 0. 0.049 0.076 0. 0.076 0. 0. 0.
79 0.126 0. 0.126 0.127 0. 0.127 0. 0. 0. 0.074 0. 0.074 0.05 0. 0.049 0.051 0. 0.051 0.074 0. 0.074 0. 0. 0.
80 0.127 0. 0.127 0.13 0. 0.13 0. 0. 0. 0.073 0. 0.073 0.052 0. 0.052 0.051 0. 0.051 0.077 0. 0.077 0. 0. 0.
81 0.136 0. 0.136 0.128 0. 0.128 0. 0. 0. 0.08 0. 0.08 0.054 0. 0.054 0.051 0. 0.051 0.075 0. 0.075 0. 0. 0.
82 0.136 0. 0.136 0.139 0. 0.139 0. 0. 0. 0.078 0. 0.078 0.055 0. 0.055 0.055 0. 0.055 0.082 0. 0.082 0. 0. 0.
83 0.137 0. 0.136 0.139 0. 0.139 0. 0. 0. 0.079 0. 0.079 0.056 0. 0.056 0.055 0. 0.055 0.082 0. 0.082 0. 0. 0.
84 0.148 0. 0.148 0.147 0. 0.147 0. 0. 0. 0.087 0. 0.087 0.059 0. 0.059 0.059 0. 0.059 0.086 0. 0.086 0.001 0. 0.001
85 0.148 0. 0.147 0.147 0. 0.147 0.001 0. 0.001 0.086 0. 0.086 0.059 0. 0.059 0.06 0. 0.06 0.084 0. 0.084 0. 0. 0.
86 0.155 0. 0.155 0.145 0. 0.145 0.001 0. 0.001 0.09 0. 0.09 0.062 0. 0.062 0.058 0. 0.058 0.085 0. 0.085 0.001 0. 0.001
87 0.153 0. 0.153 0.154 0.003 0.15 0.001 0. 0.001 0.09 0. 0.09 0.06 0. 0.06 0.061 0. 0.061 0.091 0.003 0.087 0.001 0. 0.001
88 0.15 0. 0.15 0.149 0. 0.149 0.001 0. 0.001 0.092 0. 0.092 0.056 0. 0.055 0.059 0. 0.059 0.088 0. 0.088 0.001 0. 0.001
89 0.152 0. 0.152 0.152 0. 0.152 0.001 0. 0.001 0.09 0. 0.09 0.059 0. 0.059 0.057 0. 0.057 0.093 0. 0.093 0.001 0. 0.001
90 0.156 0.003 0.152 0.156 0. 0.156 0.001 0. 0.001 0.094 0.003 0.091 0.059 0. 0.059 0.058 0. 0.058 0.095 0. 0.095 0.001 0. 0.001
91 0.159 0. 0.158 0.161 0. 0.161 0.001 0. 0.001 0.094 0. 0.094 0.062 0. 0.062 0.062 0. 0.062 0.097 0. 0.097 0.001 0. 0.001
92 0.164 0. 0.164 0.166 0. 0.166 0.001 0. 0.001 0.099 0. 0.098 0.063 0. 0.063 0.063 0. 0.063 0.1 0. 0.1 0.001 0. 0.001
93 0.166 0. 0.166 0.168 0. 0.168 0.001 0. 0.001 0.101 0. 0.101 0.063 0. 0.063 0.063 0. 0.063 0.103 0. 0.103 0.001 0. 0.001
94 0.168 0.003 0.164 0.17 0. 0.17 0.001 0. 0.001 0.103 0.003 0.098 0.063 0. 0.063 0.065 0. 0.065 0.102 0. 0.102 0.001 0. 0.001
95 0.171 0. 0.17 0.178 0. 0.178 0.001 0. 0.001 0.102 0. 0.102 0.066 0. 0.066 0.067 0. 0.067 0.108 0. 0.108 0.001 0. 0.001
96 0.178 0.003 0.174 0.18 0. 0.18 0.001 0. 0.001 0.107 0.003 0.103 0.069 0. 0.068 0.067 0. 0.067 0.109 0. 0.109 0.002 0. 0.002
97 0.182 0. 0.182 0.184 0. 0.184 0.001 0. 0.001 0.111 0. 0.111 0.068 0. 0.068 0.07 0. 0.07 0.111 0. 0.111 0.001 0. 0.001
98 0.186 0. 0.186 0.186 0. 0.186 0.001 0. 0.001 0.112 0. 0.112 0.072 0. 0.072 0.069 0. 0.069 0.114 0. 0.114 0.001 0. 0.001
99 0.188 0. 0.188 0.189 0. 0.189 0.001 0. 0.001 0.113 0. 0.113 0.072 0. 0.072 0.07 0. 0.07 0.116 0. 0.116 0.001 0. 0.001
100 0.192 0. 0.192 0.195 0. 0.195 0.001 0. 0.001 0.115 0. 0.115 0.074 0. 0.074 0.076 0. 0.076 0.118 0. 0.118 0.001 0. 0.001
110 0.231 0. 0.231 0.232 0. 0.232 0.001 0. 0.001 0.141 0. 0.141 0.087 0. 0.087 0.088 0. 0.088 0.141 0. 0.141 0.001 0. 0.001
120 0.276 0. 0.276 0.277 0. 0.277 0.001 0. 0.001 0.17 0. 0.17 0.103 0. 0.103 0.101 0. 0.101 0.173 0. 0.173 0.001 0. 0.001
130 0.337 0.003 0.333 0.338 0. 0.338 0.001 0. 0.001 0.2 0. 0.2 0.134 0.003 0.13 0.132 0. 0.132 0.202 0. 0.202 0.001 0. 0.001
140 0.4 0. 0.399 0.402 0. 0.402 0.001 0. 0.001 0.244 0. 0.244 0.152 0. 0.152 0.151 0. 0.151 0.248 0. 0.248 0.001 0. 0.001
150 0.44 0.004 0.436 0.448 0.007 0.44 0.001 0. 0.001 0.272 0.003 0.268 0.165 0. 0.165 0.168 0.001 0.167 0.277 0.003 0.273 0.001 0.001 0.
160 0.52 0. 0.519 0.527 0. 0.527 0.002 0. 0.002 0.317 0. 0.317 0.199 0. 0.198 0.196 0. 0.196 0.326 0. 0.326 0.002 0. 0.002
170 0.585 0. 0.584 0.585 0.007 0.577 0.002 0. 0.002 0.36 0. 0.359 0.221 0. 0.221 0.215 0.003 0.211 0.366 0.003 0.362 0.002 0. 0.002
180 0.638 0. 0.637 0.642 0. 0.642 0.005 0. 0.005 0.408 0. 0.407 0.223 0. 0.223 0.227 0. 0.226 0.411 0. 0.411 0.002 0. 0.002
190 0.696 0.003 0.69 0.699 0. 0.699 0.002 0. 0.002 0.443 0. 0.441 0.249 0.003 0.244 0.248 0. 0.248 0.446 0. 0.446 0.002 0. 0.002
200 0.79 0.007 0.782 0.808 0.015 0.791 0.002 0. 0.002 0.503 0.003 0.499 0.283 0.003 0.279 0.289 0. 0.288 0.515 0.015 0.499 0.002 0. 0.002
210 0.863 0. 0.86 0.857 0. 0.857 0.003 0. 0.003 0.552 0. 0.55 0.305 0. 0.304 0.297 0. 0.297 0.555 0. 0.555 0.003 0. 0.003
220 0.941 0. 0.938 0.942 0. 0.942 0.003 0. 0.003 0.607 0. 0.605 0.328 0. 0.327 0.332 0. 0.332 0.605 0. 0.605 0.003 0. 0.003
230 1.084 0. 1.08 1.07 0. 1.07 0.003 0. 0.003 0.676 0. 0.673 0.403 0. 0.402 0.397 0. 0.397 0.667 0. 0.667 0.003 0. 0.003
240 1.209 0. 1.205 1.193 0. 1.193 0.003 0. 0.003 0.764 0. 0.762 0.439 0. 0.438 0.431 0. 0.431 0.756 0. 0.756 0.003 0. 0.003
250 1.218 0. 1.218 1.244 0.003 1.238 0.003 0. 0.003 0.799 0. 0.799 0.414 0. 0.414 0.413 0. 0.412 0.823 0.003 0.818 0.006 0. 0.006
260 1.352 0.003 1.346 1.361 0.007 1.353 0.004 0. 0.004 0.877 0.003 0.871 0.469 0. 0.468 0.46 0. 0.46 0.896 0.007 0.888 0.004 0. 0.004
270 1.458 0. 1.456 1.458 0.004 1.454 0.005 0. 0.005 0.948 0. 0.947 0.502 0. 0.501 0.493 0. 0.493 0.959 0.003 0.955 0.004 0. 0.004
280 1.62 0. 1.618 1.628 0. 1.628 0.004 0. 0.004 1.025 0. 1.024 0.588 0. 0.587 0.601 0. 0.601 1.02 0. 1.02 0.004 0. 0.004
290 1.754 0.004 1.748 1.779 0. 1.779 0.004 0. 0.004 1.132 0.004 1.127 0.615 0. 0.614 0.628 0. 0.628 1.144 0. 1.144 0.004 0. 0.004
300 1.802 0.011 1.79 1.845 0.011 1.832 0.005 0. 0.005 1.173 0.007 1.165 0.623 0.003 0.619 0.631 0. 0.63 1.206 0.011 1.193 0.007 0. 0.007
310 1.944 0.004 1.938 1.963 0. 1.963 0.005 0. 0.005 1.279 0.003 1.274 0.657 0. 0.656 0.659 0. 0.659 1.297 0. 1.297 0.005 0. 0.005
320 2.106 0.003 2.1 2.136 0. 2.136 0.005 0. 0.005 1.37 0. 1.368 0.729 0.003 0.724 0.747 0. 0.747 1.381 0. 1.381 0.005 0. 0.005
330 2.363 0. 2.361 2.383 0. 2.383 0.006 0. 0.006 1.534 0. 1.533 0.821 0. 0.82 0.838 0. 0.838 1.536 0. 1.536 0.006 0. 0.006
340 2.422 0.007 2.412 2.425 0.007 2.417 0.006 0. 0.006 1.59 0.003 1.584 0.823 0.004 0.819 0.813 0.003 0.809 1.603 0.003 1.599 0.006 0. 0.006
350 2.548 0. 2.548 2.599 0. 2.596 0.006 0. 0.006 1.722 0. 1.722 0.818 0. 0.818 0.82 0. 0.819 1.771 0. 1.769 0.006 0. 0.006
360 2.78 0. 2.777 2.817 0. 2.817 0.008 0. 0.008 1.798 0. 1.796 0.972 0. 0.971 1.008 0. 1.008 1.8 0. 1.8 0.006 0. 0.006
370 2.959 0.004 2.952 2.914 0. 2.913 0.007 0. 0.006 1.974 0.003 1.968 0.975 0. 0.974 0.934 0. 0.934 1.968 0. 1.968 0.009 0. 0.009
380 3.089 0. 3.086 3.139 0.003 3.135 0.007 0. 0.007 2.051 0. 2.048 1.028 0. 1.027 1.079 0.003 1.075 2.05 0. 2.05 0.007 0. 0.007
390 3.348 0. 3.344 3.311 0. 3.311 0.009 0. 0.009 2.236 0. 2.234 1.101 0. 1.099 1.064 0. 1.064 2.235 0. 2.235 0.009 0. 0.009
400 3.402 0.003 3.398 3.462 0.003 3.454 0.008 0. 0.008 2.279 0. 2.278 1.114 0.003 1.11 1.109 0. 1.108 2.343 0.003 2.337 0.008 0. 0.008
