param-a-extra-binders param-ctx-size param-nevars beta-F-ev-real beta-F-ev-sys beta-F-ev-user beta-F-tt-real beta-F-tt-sys beta-F-tt-user beta-FX-ev-real beta-FX-ev-sys beta-FX-ev-user beta-FX-tt-real beta-FX-tt-sys beta-FX-tt-user deta-id-FX-ev-real deta-id-FX-ev-sys deta-id-FX-ev-user deta-id-FX-tt-real deta-id-FX-tt-sys deta-id-FX-tt-user make-evars-real make-evars-sys make-evars-user make-fun-ev-real make-fun-ev-sys make-fun-ev-user make-fun-tt-real make-fun-tt-sys make-fun-tt-user make-tts-real make-tts-sys make-tts-user open-constr-F-ev-real open-constr-F-ev-sys open-constr-F-ev-user open-constr-F-tt-real open-constr-F-tt-sys open-constr-F-tt-user open-constr-FX-ev-real open-constr-FX-ev-sys open-constr-FX-ev-user open-constr-FX-tt-real open-constr-FX-tt-sys open-constr-FX-tt-user prebeta-FX-ev-real prebeta-FX-ev-sys prebeta-FX-ev-user prebeta-FX-tt-real prebeta-FX-tt-sys prebeta-FX-tt-user
800 100 1000 0. 0. 0. 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.032 0. 0.032 0.809 0. 0.809 0.902 0.012 0.89 0.044 0. 0.044 0.008 0. 0.008 0.008 0. 0.008 0.096 0. 0.096 0.02 0. 0.02 0.005 0. 0.005 0.001 0. 0.001
900 100 1000 0. 0. 0. 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.033 0. 0.033 1.014 0.004 1.01 1.117 0.015 1.101 0.044 0. 0.044 0.011 0. 0.011 0.011 0. 0.011 0.108 0. 0.108 0.023 0. 0.022 0.006 0. 0.006 0.001 0. 0.001
1000 100 1000 0. 0. 0. 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.031 0. 0.031 1.219 0.007 1.211 1.406 0.035 1.37 0.047 0. 0.047 0.014 0. 0.014 0.015 0. 0.015 0.125 0.008 0.117 0.027 0. 0.027 0.006 0. 0.006 0.001 0. 0.001
1100 100 1000 0. 0. 0. 0. 0. 0. 0.005 0. 0.004 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.032 0. 0.032 1.511 0.031 1.479 1.65 0.027 1.622 0.045 0. 0.045 0.02 0. 0.02 0.019 0. 0.019 0.129 0.007 0.121 0.031 0. 0.031 0.006 0. 0.006 0.001 0. 0.001
1200 100 1000 0. 0. 0. 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.032 0. 0.032 1.889 0.028 1.861 2.084 0.04 2.044 0.045 0. 0.045 0.024 0. 0.024 0.022 0. 0.022 0.115 0.003 0.111 0.036 0. 0.036 0.005 0. 0.005 0.001 0. 0.001
1300 100 1000 0. 0. 0. 0. 0. 0. 0.006 0. 0.006 0.001 0. 0.001 0.007 0. 0.007 0.001 0. 0.001 0.031 0. 0.031 2.129 0.023 2.105 2.517 0.023 2.493 0.045 0. 0.045 0.028 0. 0.028 0.029 0. 0.029 0.117 0.012 0.105 0.042 0. 0.042 0.006 0. 0.006 0.001 0. 0.001
1400 100 1000 0. 0. 0. 0.001 0. 0.001 0.005 0. 0.005 0.001 0. 0.001 0.006 0. 0.006 0.001 0. 0.001 0.032 0. 0.032 2.445 0.044 2.401 3. 0.032 2.968 0.046 0. 0.046 0.034 0. 0.034 0.034 0. 0.034 0.128 0. 0.128 0.048 0. 0.048 0.006 0. 0.006 0.001 0. 0.001
1500 100 1000 0. 0. 0. 0.001 0. 0.001 0.005 0. 0.005 0.001 0. 0.001 0.006 0. 0.006 0.001 0. 0.001 0.031 0. 0.031 2.866 0.039 2.826 3.408 0.087 3.32 0.046 0. 0.046 0.039 0. 0.039 0.039 0. 0.039 0.126 0.007 0.118 0.055 0. 0.055 0.006 0. 0.006 0.001 0. 0.001
1600 100 1000 0. 0. 0. 0.001 0. 0.001 0.005 0. 0.005 0.001 0. 0.001 0.006 0. 0.006 0.001 0. 0.001 0.031 0. 0.031 3.313 0.055 3.257 3.761 0.088 3.673 0.044 0. 0.044 0.046 0. 0.046 0.045 0. 0.045 0.137 0.004 0.133 0.06 0. 0.06 0.007 0. 0.007 0.001 0. 0.001
1700 100 1000 0. 0. 0. 0.001 0. 0.001 0.005 0. 0.005 0.001 0. 0.001 0.007 0. 0.007 0.001 0. 0.001 0.031 0. 0.031 3.763 0.039 3.723 4.277 0.06 4.217 0.045 0. 0.045 0.052 0. 0.052 0.051 0. 0.051 0.137 0. 0.137 0.067 0. 0.067 0.006 0. 0.006 0.001 0. 0.001
1800 100 1000 0. 0. 0. 0.001 0. 0.001 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007 0.001 0. 0.001 0.032 0. 0.032 4.265 0.051 4.213 4.753 0.116 4.637 0.044 0. 0.044 0.059 0. 0.059 0.058 0. 0.058 0.14 0.004 0.136 0.073 0. 0.073 0.006 0. 0.006 0.001 0. 0.001
1900 100 1000 0. 0. 0. 0.007 0.003 0.003 0.005 0. 0.005 0.001 0. 0.001 0.007 0. 0.007 0.001 0. 0.001 0.031 0. 0.031 4.754 0.099 4.654 5.578 0.103 5.474 0.047 0. 0.047 0.066 0. 0.066 0.067 0. 0.067 0.16 0. 0.16 0.086 0. 0.086 0.007 0. 0.007 0.001 0. 0.001
2000 100 1000 0. 0. 0. 0. 0. 0. 0.005 0. 0.005 0.001 0. 0. 0.007 0. 0.007 0. 0. 0. 0.032 0. 0.032 5.272 0.06 5.212 5.861 0.06 5.801 0.045 0. 0.045 0.076 0. 0.076 0.074 0. 0.074 0.151 0. 0.151 0.099 0. 0.099 0.007 0. 0.007 0.001 0. 0.001
