param-n abstract-regression-cubic-real abstract-regression-cubic-sys abstract-regression-cubic-user close-abstract-regression-cubic-real close-abstract-regression-cubic-sys close-abstract-regression-cubic-user fast-rewrite-regression-quadratic-real fast-rewrite-regression-quadratic-sys fast-rewrite-regression-quadratic-user pose-build-and-refine-regression-quadratic-real pose-build-and-refine-regression-quadratic-sys pose-build-and-refine-regression-quadratic-user refine-regression-quadratic-regression-linear-real refine-regression-quadratic-regression-linear-sys refine-regression-quadratic-regression-linear-user
38 0.007 0. 0.007 0.002 0. 0.002 0.005 0. 0.005 0.004 0. 0.004 0. 0. 0.
39 0.007 0. 0.007 0.002 0. 0.002 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
40 0.008 0. 0.008 0.002 0. 0.002 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
41 0.008 0. 0.008 0.002 0. 0.002 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
42 0.008 0. 0.008 0.002 0. 0.002 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
43 0.008 0. 0.008 0.002 0. 0.002 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
44 0.008 0. 0.008 0.002 0. 0.002 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
45 0.01 0. 0.01 0.002 0. 0.002 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
46 0.009 0. 0.009 0.002 0. 0.002 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
47 0.009 0. 0.009 0.003 0. 0.003 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
48 0.01 0. 0.01 0.003 0. 0.003 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
49 0.01 0. 0.01 0.003 0. 0.003 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
50 0.015 0.007 0.007 0.004 0.004 0. 0.01 0.003 0.006 0.01 0.003 0.006 0. 0. 0.
51 0.01 0. 0.01 0.003 0. 0.003 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
52 0.013 0. 0.013 0.003 0. 0.003 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
53 0.011 0. 0.011 0.003 0. 0.003 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
54 0.011 0. 0.011 0.003 0. 0.003 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
55 0.011 0. 0.011 0.003 0. 0.003 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
56 0.012 0. 0.012 0.004 0. 0.004 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
57 0.014 0. 0.014 0.004 0. 0.004 0.009 0. 0.009 0.009 0. 0.009 0.002 0. 0.002
58 0.012 0. 0.012 0.004 0. 0.004 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
59 0.013 0. 0.013 0.004 0. 0.004 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
60 0.013 0. 0.013 0.004 0. 0.004 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
61 0.013 0. 0.013 0.004 0. 0.004 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
62 0.018 0. 0.018 0.004 0. 0.004 0.013 0. 0.013 0.013 0. 0.013 0. 0. 0.
63 0.016 0. 0.014 0.007 0. 0.005 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
64 0.014 0. 0.014 0.005 0. 0.005 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
65 0.014 0. 0.014 0.005 0. 0.005 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
66 0.015 0. 0.015 0.005 0. 0.005 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
67 0.017 0. 0.017 0.005 0. 0.005 0.011 0. 0.011 0.011 0. 0.011 0. 0. 0.
68 0.015 0. 0.015 0.005 0. 0.005 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
69 0.016 0. 0.015 0.005 0. 0.005 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
70 0.016 0. 0.016 0.005 0. 0.005 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
71 0.019 0. 0.019 0.006 0. 0.006 0.012 0. 0.012 0.012 0. 0.012 0. 0. 0.
72 0.017 0. 0.017 0.006 0. 0.006 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
73 0.017 0. 0.017 0.006 0. 0.006 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
74 0.017 0. 0.017 0.006 0. 0.006 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
75 0.019 0. 0.019 0.006 0. 0.006 0.012 0. 0.012 0.012 0. 0.012 0. 0. 0.
76 0.018 0. 0.018 0.006 0. 0.006 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
77 0.018 0. 0.018 0.007 0. 0.007 0.011 0. 0.011 0.011 0. 0.011 0. 0. 0.
78 0.02 0. 0.02 0.008 0. 0.008 0.011 0. 0.011 0.011 0. 0.011 0. 0. 0.
79 0.019 0. 0.019 0.007 0. 0.007 0.011 0. 0.011 0.011 0. 0.011 0. 0. 0.
80 0.019 0. 0.019 0.007 0. 0.007 0.011 0. 0.011 0.011 0. 0.011 0. 0. 0.
81 0.02 0. 0.02 0.007 0. 0.007 0.011 0. 0.011 0.011 0. 0.011 0. 0. 0.
82 0.022 0. 0.022 0.008 0. 0.008 0.014 0. 0.014 0.014 0. 0.014 0. 0. 0.
83 0.021 0. 0.021 0.008 0. 0.008 0.012 0. 0.012 0.012 0. 0.012 0. 0. 0.
84 0.021 0. 0.021 0.008 0. 0.008 0.012 0. 0.012 0.012 0. 0.012 0. 0. 0.
85 0.024 0. 0.024 0.011 0. 0.011 0.012 0. 0.012 0.012 0. 0.012 0. 0. 0.
86 0.022 0. 0.022 0.008 0. 0.008 0.013 0. 0.013 0.013 0. 0.013 0.001 0. 0.001
87 0.022 0. 0.022 0.009 0. 0.009 0.013 0. 0.013 0.013 0. 0.013 0.001 0. 0.001
88 0.024 0. 0.024 0.01 0. 0.01 0.013 0. 0.013 0.013 0. 0.013 0.001 0. 0.001
89 0.023 0. 0.023 0.009 0. 0.009 0.013 0. 0.013 0.013 0. 0.013 0. 0. 0.
90 0.023 0. 0.023 0.009 0. 0.009 0.013 0. 0.013 0.013 0. 0.013 0.001 0. 0.001
91 0.024 0. 0.024 0.01 0. 0.01 0.013 0. 0.013 0.013 0. 0.013 0.001 0. 0.001
92 0.024 0. 0.024 0.01 0. 0.01 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
93 0.025 0. 0.025 0.01 0. 0.01 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
94 0.026 0. 0.026 0.011 0. 0.011 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
95 0.026 0. 0.026 0.011 0. 0.011 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
96 0.026 0. 0.026 0.011 0. 0.011 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
97 0.028 0. 0.028 0.012 0. 0.012 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
98 0.027 0. 0.027 0.011 0. 0.011 0.015 0. 0.015 0.015 0. 0.015 0.001 0. 0.001
99 0.028 0. 0.028 0.012 0. 0.012 0.015 0. 0.015 0.015 0. 0.015 0.001 0. 0.001
100 0.087 0.018 0.069 0.064 0.006 0.057 0.023 0.011 0.012 0.023 0.011 0.012 0.001 0. 0.001
110 0.035 0. 0.035 0.014 0. 0.014 0.02 0. 0.02 0.02 0. 0.02 0.001 0. 0.001
120 0.039 0. 0.039 0.018 0. 0.018 0.019 0. 0.019 0.019 0. 0.019 0.001 0. 0.001
130 0.059 0. 0.059 0.021 0. 0.021 0.036 0. 0.036 0.036 0. 0.036 0.001 0. 0.001
140 0.064 0. 0.064 0.026 0. 0.026 0.036 0. 0.036 0.036 0. 0.036 0.001 0. 0.001
150 0.065 0. 0.065 0.03 0. 0.03 0.035 0. 0.034 0.035 0. 0.034 0.001 0. 0.001
160 0.084 0. 0.084 0.037 0. 0.037 0.047 0. 0.047 0.047 0. 0.047 0.001 0. 0.001
170 0.098 0. 0.098 0.043 0. 0.043 0.054 0. 0.054 0.054 0. 0.054 0.001 0. 0.001
180 0.109 0. 0.109 0.05 0. 0.05 0.058 0. 0.058 0.058 0. 0.058 0.001 0. 0.001
190 0.126 0. 0.126 0.058 0. 0.058 0.067 0. 0.067 0.067 0. 0.067 0.001 0. 0.001
200 0.139 0.003 0.136 0.066 0.003 0.062 0.073 0. 0.073 0.073 0. 0.073 0.001 0. 0.001
210 0.154 0.003 0.151 0.076 0. 0.076 0.077 0.003 0.074 0.077 0.003 0.074 0.002 0. 0.002
220 0.156 0.007 0.149 0.087 0. 0.087 0.068 0.007 0.061 0.068 0.007 0.061 0.002 0. 0.002
230 0.176 0. 0.176 0.098 0. 0.098 0.076 0. 0.076 0.076 0. 0.076 0.002 0. 0.002
240 0.194 0.003 0.19 0.112 0. 0.112 0.081 0.003 0.077 0.081 0.003 0.077 0.002 0. 0.002
250 0.228 0.003 0.224 0.125 0. 0.125 0.102 0.003 0.098 0.102 0.003 0.098 0.002 0. 0.002
260 0.241 0.003 0.237 0.144 0. 0.144 0.095 0.002 0.092 0.095 0.002 0.092 0.002 0. 0.002
270 0.289 0.003 0.285 0.16 0.003 0.156 0.128 0. 0.128 0.128 0. 0.128 0.002 0. 0.002
280 0.311 0.007 0.303 0.179 0.003 0.175 0.131 0.003 0.127 0.131 0.003 0.127 0.003 0. 0.003
290 0.334 0.007 0.326 0.193 0.003 0.189 0.14 0.004 0.136 0.14 0.004 0.136 0.003 0. 0.002
300 0.361 0. 0.361 0.218 0. 0.218 0.143 0. 0.143 0.143 0. 0.143 0.003 0. 0.003
310 0.351 0.007 0.343 0.232 0.004 0.228 0.117 0.003 0.113 0.117 0.003 0.113 0.003 0. 0.003
320 0.378 0. 0.378 0.253 0. 0.253 0.123 0. 0.123 0.123 0. 0.123 0.003 0. 0.003
330 0.41 0. 0.41 0.279 0. 0.279 0.13 0. 0.13 0.13 0. 0.13 0.003 0. 0.003
340 0.468 0. 0.468 0.306 0. 0.306 0.16 0. 0.16 0.16 0. 0.16 0.003 0. 0.003
350 0.507 0.011 0.495 0.344 0. 0.344 0.163 0.011 0.151 0.163 0.011 0.151 0.003 0. 0.003
360 0.564 0.007 0.556 0.369 0.003 0.365 0.193 0.004 0.189 0.193 0.004 0.189 0.003 0. 0.003
370 0.579 0.004 0.575 0.404 0.004 0.4 0.174 0. 0.174 0.174 0. 0.174 0.003 0. 0.003
380 0.608 0. 0.608 0.435 0. 0.435 0.172 0. 0.172 0.171 0. 0.171 0.004 0. 0.004
390 0.673 0. 0.673 0.495 0. 0.495 0.176 0. 0.176 0.176 0. 0.176 0.004 0. 0.004
400 0.726 0.003 0.722 0.538 0.003 0.534 0.187 0. 0.187 0.187 0. 0.187 0.004 0. 0.004
500 1.307 0. 1.307 0.998 0. 0.998 0.307 0. 0.307 0.307 0. 0.307 0.005 0. 0.005
600 2.091 0. 2.091 1.746 0. 1.746 0.343 0. 0.343 0.343 0. 0.343 0.006 0. 0.006
700 3.347 0.007 3.339 2.812 0.007 2.804 0.533 0. 0.533 0.533 0. 0.533 0.007 0. 0.007
800 4.821 0.012 4.809 4.271 0. 4.271 0.548 0.012 0.536 0.548 0.012 0.536 0.009 0. 0.009
900 7.037 0.004 7.033 6.267 0.004 6.263 0.768 0. 0.767 0.767 0. 0.767 0.01 0. 0.01
1000 10.055 0.008 10.047 9.094 0.008 9.086 0.959 0. 0.959 0.959 0. 0.959 0.011 0. 0.011
