Params: a-n= 1100 , fact-n= 8
Params: a-n= 1900 , fact-n= 8
Tactic call beta-iota-fast ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-fast ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.058 secs (0.058u,0.s) (success)
Params: a-n= 2000 , fact-n= 8
Tactic call beta-iota-fast ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-fast ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.06 secs (0.06u,0.s) (success)
Params: a-n= 2100 , fact-n= 8
Tactic call beta-iota-fast ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-fast ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.063 secs (0.063u,0.s) (success)
Params: a-n= 2200 , fact-n= 8
Tactic call beta-iota-fast ran for 0.001 secs (0.001u,0.s)
Tactic call unify-beta-iota-fast ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.068 secs (0.068u,0.s) (success)
Params: a-n= 2300 , fact-n= 8
Tactic call beta-iota-fast ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-fast ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.069 secs (0.069u,0.s) (success)
Params: a-n= 2400 , fact-n= 8
Tactic call beta-iota-fast ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-fast ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.073 secs (0.073u,0.s) (success)
Params: a-n= 2500 , fact-n= 8
Tactic call beta-iota-fast ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-fast ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.076 secs (0.076u,0.s) (success)
Params: a-n= 2600 , fact-n= 8
Tactic call beta-iota-fast ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-fast ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.079 secs (0.079u,0.s) (success)
Params: a-n= 2700 , fact-n= 8
Tactic call beta-iota-fast ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-fast ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.084 secs (0.084u,0.s) (success)
Params: a-n= 2800 , fact-n= 8
Tactic call beta-iota-fast ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-fast ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.085 secs (0.085u,0.s) (success)
Params: a-n= 2900 , fact-n= 8
Tactic call beta-iota-fast ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-fast ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.09 secs (0.09u,0.s) (success)
Params: a-n= 3000 , fact-n= 8
Tactic call beta-iota-fast ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-fast ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.092 secs (0.092u,0.s) (success)
Params: a-n= 3100 , fact-n= 8
Tactic call beta-iota-fast ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-fast ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.096 secs (0.096u,0.s) (success)
Params: a-n= 3200 , fact-n= 8
Tactic call beta-iota-fast ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-fast ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.101 secs (0.101u,0.s) (success)
Params: a-n= 3300 , fact-n= 8
Tactic call beta-iota-fast ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-fast ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.103 secs (0.103u,0.s) (success)
Params: a-n= 3400 , fact-n= 8
Tactic call beta-iota-fast ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-fast ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.108 secs (0.108u,0.s) (success)
Params: a-n= 3500 , fact-n= 8
Tactic call beta-iota-fast ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-fast ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.111 secs (0.111u,0.s) (success)
Params: a-n= 3600 , fact-n= 8
Tactic call beta-iota-fast ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-fast ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.113 secs (0.113u,0.s) (success)
Params: a-n= 3700 , fact-n= 8
Tactic call beta-iota-fast ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-fast ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.118 secs (0.118u,0.s) (success)
Params: a-n= 3800 , fact-n= 8
Tactic call beta-iota-fast ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-fast ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.119 secs (0.119u,0.s) (success)
Params: a-n= 3900 , fact-n= 8
Tactic call beta-iota-fast ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-fast ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.123 secs (0.123u,0.s) (success)
Params: a-n= 4000 , fact-n= 8
Tactic call beta-iota-fast ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-fast ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.124 secs (0.124u,0.s) (success)
Params: a-n= 4100 , fact-n= 8
Tactic call beta-iota-fast ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-fast ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.13 secs (0.13u,0.s) (success)
Params: a-n= 4200 , fact-n= 8
Tactic call beta-iota-fast ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-fast ran for 0.004 secs (0.004u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.137 secs (0.137u,0.s) (success)
Params: a-n= 4300 , fact-n= 8
Tactic call beta-iota-fast ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-fast ran for 0.004 secs (0.004u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.139 secs (0.139u,0.s) (success)
Params: a-n= 4400 , fact-n= 8
Tactic call beta-iota-fast ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-fast ran for 0.004 secs (0.004u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.14 secs (0.14u,0.s) (success)
Params: a-n= 4500 , fact-n= 8
Tactic call beta-iota-fast ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-fast ran for 0.004 secs (0.004u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.144 secs (0.144u,0.s) (success)
Params: a-n= 4600 , fact-n= 8
Tactic call beta-iota-fast ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-fast ran for 0.004 secs (0.004u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.145 secs (0.145u,0.s) (success)
Params: a-n= 4700 , fact-n= 8
Tactic call beta-iota-fast ran for 0.004 secs (0.004u,0.s)
Tactic call unify-beta-iota-fast ran for 0.004 secs (0.004u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.155 secs (0.155u,0.s) (success)
Params: a-n= 4800 , fact-n= 8
Tactic call beta-iota-fast ran for 0.004 secs (0.004u,0.s)
Tactic call unify-beta-iota-fast ran for 0.004 secs (0.004u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.158 secs (0.158u,0.s) (success)
Params: a-n= 4900 , fact-n= 8
Tactic call beta-iota-fast ran for 0.004 secs (0.004u,0.s)
Tactic call unify-beta-iota-fast ran for 0.004 secs (0.004u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.157 secs (0.157u,0.s) (success)
Params: a-n= 5000 , fact-n= 8
Tactic call beta-iota-fast ran for 0.004 secs (0.004u,0.s)
Tactic call unify-beta-iota-fast ran for 0.004 secs (0.004u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.162 secs (0.162u,0.s) (success)
Params: a-n= 5100 , fact-n= 8
Tactic call beta-iota-fast ran for 0.004 secs (0.004u,0.s)
Tactic call unify-beta-iota-fast ran for 0.005 secs (0.005u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.167 secs (0.167u,0.s) (success)
Params: a-n= 5200 , fact-n= 8
Tactic call beta-iota-fast ran for 0.004 secs (0.004u,0.s)
Tactic call unify-beta-iota-fast ran for 0.004 secs (0.004u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.168 secs (0.168u,0.s) (success)
Params: a-n= 5300 , fact-n= 8
Tactic call beta-iota-fast ran for 0.004 secs (0.004u,0.s)
Tactic call unify-beta-iota-fast ran for 0.005 secs (0.005u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.173 secs (0.173u,0.s) (success)
Params: a-n= 5400 , fact-n= 8
Tactic call beta-iota-fast ran for 0.004 secs (0.004u,0.s)
Tactic call unify-beta-iota-fast ran for 0.005 secs (0.005u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.177 secs (0.177u,0.s) (success)
Params: a-n= 5500 , fact-n= 8
Tactic call beta-iota-fast ran for 0.004 secs (0.004u,0.s)
Tactic call unify-beta-iota-fast ran for 0.005 secs (0.005u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.18 secs (0.18u,0.s) (success)
Params: a-n= 5600 , fact-n= 8
Tactic call beta-iota-fast ran for 0.004 secs (0.004u,0.s)
Tactic call unify-beta-iota-fast ran for 0.005 secs (0.005u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.186 secs (0.186u,0.s) (success)
Params: a-n= 5700 , fact-n= 8
Tactic call beta-iota-fast ran for 0.005 secs (0.001u,0.003s)
Tactic call unify-beta-iota-fast ran for 0.005 secs (0.005u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.188 secs (0.188u,0.s) (success)
Params: a-n= 5800 , fact-n= 8
Tactic call beta-iota-fast ran for 0.004 secs (0.004u,0.s)
Tactic call unify-beta-iota-fast ran for 0.005 secs (0.005u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.19 secs (0.19u,0.s) (success)
Params: a-n= 5900 , fact-n= 8
Tactic call beta-iota-fast ran for 0.005 secs (0.005u,0.s)
Tactic call unify-beta-iota-fast ran for 0.005 secs (0.005u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.197 secs (0.197u,0.s) (success)
Params: a-n= 6000 , fact-n= 8
Tactic call beta-iota-fast ran for 0.005 secs (0.005u,0.s)
Tactic call unify-beta-iota-fast ran for 0.006 secs (0.006u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.198 secs (0.198u,0.s) (success)
Params: a-n= 6100 , fact-n= 8
Tactic call beta-iota-fast ran for 0.005 secs (0.005u,0.s)
Tactic call unify-beta-iota-fast ran for 0.005 secs (0.005u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.2 secs (0.2u,0.s) (success)
Params: a-n= 6200 , fact-n= 8
Tactic call beta-iota-fast ran for 0.005 secs (0.005u,0.s)
Tactic call unify-beta-iota-fast ran for 0.006 secs (0.006u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.204 secs (0.204u,0.s) (success)
Params: a-n= 6300 , fact-n= 8
Tactic call beta-iota-fast ran for 0.005 secs (0.005u,0.s)
Tactic call unify-beta-iota-fast ran for 0.006 secs (0.006u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.208 secs (0.208u,0.s) (success)
Params: a-n= 6400 , fact-n= 8
Tactic call beta-iota-fast ran for 0.005 secs (0.005u,0.s)
Tactic call unify-beta-iota-fast ran for 0.006 secs (0.006u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.212 secs (0.212u,0.s) (success)
Params: a-n= 6500 , fact-n= 8
Tactic call beta-iota-fast ran for 0.005 secs (0.005u,0.s)
Tactic call unify-beta-iota-fast ran for 0.006 secs (0.006u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.215 secs (0.215u,0.s) (success)
Params: a-n= 6600 , fact-n= 8
Tactic call beta-iota-fast ran for 0.005 secs (0.005u,0.s)
Tactic call unify-beta-iota-fast ran for 0.006 secs (0.006u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.222 secs (0.222u,0.s) (success)
Params: a-n= 6700 , fact-n= 8
Tactic call beta-iota-fast ran for 0.005 secs (0.005u,0.s)
Tactic call unify-beta-iota-fast ran for 0.006 secs (0.006u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.225 secs (0.225u,0.s) (success)
Params: a-n= 6800 , fact-n= 8
Tactic call beta-iota-fast ran for 0.005 secs (0.005u,0.s)
Tactic call unify-beta-iota-fast ran for 0.006 secs (0.006u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.226 secs (0.226u,0.s) (success)
Params: a-n= 6900 , fact-n= 8
Tactic call beta-iota-fast ran for 0.006 secs (0.006u,0.s)
Tactic call unify-beta-iota-fast ran for 0.006 secs (0.006u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.229 secs (0.229u,0.s) (success)
Params: a-n= 7000 , fact-n= 8
Tactic call beta-iota-fast ran for 0.006 secs (0.006u,0.s)
Tactic call unify-beta-iota-fast ran for 0.006 secs (0.006u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.233 secs (0.233u,0.s) (success)
Params: a-n= 7100 , fact-n= 8
Tactic call beta-iota-fast ran for 0.006 secs (0.006u,0.s)
Tactic call unify-beta-iota-fast ran for 0.007 secs (0.007u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.237 secs (0.237u,0.s) (success)
Params: a-n= 7200 , fact-n= 8
Tactic call beta-iota-fast ran for 0.006 secs (0.006u,0.s)
Tactic call unify-beta-iota-fast ran for 0.006 secs (0.006u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.24 secs (0.24u,0.s) (success)
Params: a-n= 7300 , fact-n= 8
Tactic call beta-iota-fast ran for 0.006 secs (0.006u,0.s)
Tactic call unify-beta-iota-fast ran for 0.006 secs (0.006u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.246 secs (0.246u,0.s) (success)
Params: a-n= 7400 , fact-n= 8
Tactic call beta-iota-fast ran for 0.006 secs (0.006u,0.s)
Tactic call unify-beta-iota-fast ran for 0.007 secs (0.007u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.249 secs (0.249u,0.s) (success)
Params: a-n= 7500 , fact-n= 8
Tactic call beta-iota-fast ran for 0.006 secs (0.006u,0.s)
Tactic call unify-beta-iota-fast ran for 0.007 secs (0.007u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.256 secs (0.256u,0.s) (success)
Params: a-n= 7600 , fact-n= 8
Tactic call beta-iota-fast ran for 0.006 secs (0.006u,0.s)
Tactic call unify-beta-iota-fast ran for 0.007 secs (0.007u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.259 secs (0.259u,0.s) (success)
Params: a-n= 7700 , fact-n= 8
Tactic call beta-iota-fast ran for 0.006 secs (0.006u,0.s)
Tactic call unify-beta-iota-fast ran for 0.007 secs (0.007u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.259 secs (0.259u,0.s) (success)
Params: a-n= 7800 , fact-n= 8
Tactic call beta-iota-fast ran for 0.006 secs (0.006u,0.s)
Tactic call unify-beta-iota-fast ran for 0.007 secs (0.007u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.26 secs (0.26u,0.s) (success)
Params: a-n= 7900 , fact-n= 8
Tactic call beta-iota-fast ran for 0.006 secs (0.006u,0.s)
Tactic call unify-beta-iota-fast ran for 0.007 secs (0.007u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.261 secs (0.261u,0.s) (success)
Params: a-n= 8000 , fact-n= 8
Tactic call beta-iota-fast ran for 0.006 secs (0.006u,0.s)
Tactic call unify-beta-iota-fast ran for 0.007 secs (0.007u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.264 secs (0.264u,0.s) (success)
Params: a-n= 8100 , fact-n= 8
Tactic call beta-iota-fast ran for 0.007 secs (0.007u,0.s)
Tactic call unify-beta-iota-fast ran for 0.008 secs (0.008u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.268 secs (0.268u,0.s) (success)
Params: a-n= 8200 , fact-n= 8
Tactic call beta-iota-fast ran for 0.007 secs (0.007u,0.s)
Tactic call unify-beta-iota-fast ran for 0.008 secs (0.008u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.273 secs (0.273u,0.s) (success)
Params: a-n= 8300 , fact-n= 8
Tactic call beta-iota-fast ran for 0.007 secs (0.007u,0.s)
Tactic call unify-beta-iota-fast ran for 0.008 secs (0.008u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.275 secs (0.275u,0.s) (success)
Params: a-n= 8400 , fact-n= 8
Tactic call beta-iota-fast ran for 0.007 secs (0.007u,0.s)
Tactic call unify-beta-iota-fast ran for 0.008 secs (0.008u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.28 secs (0.28u,0.s) (success)
Params: a-n= 8500 , fact-n= 8
Tactic call beta-iota-fast ran for 0.007 secs (0.007u,0.s)
Tactic call unify-beta-iota-fast ran for 0.008 secs (0.008u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.31 secs (0.31u,0.s) (success)
Params: a-n= 8600 , fact-n= 8
Tactic call beta-iota-fast ran for 0.007 secs (0.007u,0.s)
Tactic call unify-beta-iota-fast ran for 0.008 secs (0.008u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.319 secs (0.319u,0.s) (success)
Params: a-n= 8700 , fact-n= 8
Tactic call beta-iota-fast ran for 0.007 secs (0.007u,0.s)
Tactic call unify-beta-iota-fast ran for 0.009 secs (0.009u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.322 secs (0.322u,0.s) (success)
Params: a-n= 8800 , fact-n= 8
Tactic call beta-iota-fast ran for 0.007 secs (0.007u,0.s)
Tactic call unify-beta-iota-fast ran for 0.008 secs (0.008u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.327 secs (0.327u,0.s) (success)
Params: a-n= 8900 , fact-n= 8
Tactic call beta-iota-fast ran for 0.008 secs (0.008u,0.s)
Tactic call unify-beta-iota-fast ran for 0.009 secs (0.009u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.328 secs (0.328u,0.s) (success)
Params: a-n= 9000 , fact-n= 8
Tactic call beta-iota-fast ran for 0.007 secs (0.007u,0.s)
Tactic call unify-beta-iota-fast ran for 0.008 secs (0.008u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.336 secs (0.336u,0.s) (success)
Params: a-n= 9100 , fact-n= 8
Tactic call beta-iota-fast ran for 0.007 secs (0.007u,0.s)
Tactic call unify-beta-iota-fast ran for 0.008 secs (0.008u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.334 secs (0.334u,0.s) (success)
Params: a-n= 9200 , fact-n= 8
Tactic call beta-iota-fast ran for 0.008 secs (0.008u,0.s)
Tactic call unify-beta-iota-fast ran for 0.009 secs (0.009u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.342 secs (0.342u,0.s) (success)
Params: a-n= 9300 , fact-n= 8
Tactic call beta-iota-fast ran for 0.008 secs (0.008u,0.s)
Tactic call unify-beta-iota-fast ran for 0.009 secs (0.009u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.345 secs (0.345u,0.s) (success)
Params: a-n= 9400 , fact-n= 8
Tactic call beta-iota-fast ran for 0.008 secs (0.008u,0.s)
Tactic call unify-beta-iota-fast ran for 0.009 secs (0.009u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.347 secs (0.347u,0.s) (success)
Params: a-n= 9500 , fact-n= 8
Tactic call beta-iota-fast ran for 0.008 secs (0.008u,0.s)
Tactic call unify-beta-iota-fast ran for 0.009 secs (0.009u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.351 secs (0.351u,0.s) (success)
Params: a-n= 9600 , fact-n= 8
Tactic call beta-iota-fast ran for 0.008 secs (0.008u,0.s)
Tactic call unify-beta-iota-fast ran for 0.009 secs (0.009u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.357 secs (0.357u,0.s) (success)
Params: a-n= 9700 , fact-n= 8
Tactic call beta-iota-fast ran for 0.008 secs (0.008u,0.s)
Tactic call unify-beta-iota-fast ran for 0.009 secs (0.009u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.357 secs (0.357u,0.s) (success)
Params: a-n= 9800 , fact-n= 8
Tactic call beta-iota-fast ran for 0.008 secs (0.008u,0.s)
Tactic call unify-beta-iota-fast ran for 0.009 secs (0.009u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.362 secs (0.362u,0.s) (success)
Params: a-n= 9900 , fact-n= 8
Tactic call beta-iota-fast ran for 0.008 secs (0.008u,0.s)
Tactic call unify-beta-iota-fast ran for 0.009 secs (0.009u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.364 secs (0.36u,0.003s) (success)
Params: a-n= 10000 , fact-n= 8
Tactic call beta-iota-fast ran for 0.008 secs (0.008u,0.s)
Tactic call unify-beta-iota-fast ran for 0.01 secs (0.01u,0.s) (success)
Tactic call abstract-unify-beta-iota-fast ran for 0.369 secs (0.369u,0.s) (success)
