param-a-extra-binders param-ctx-size param-nevars beta-F-ev-real beta-F-ev-sys beta-F-ev-user beta-F-tt-real beta-F-tt-sys beta-F-tt-user beta-FX-ev-real beta-FX-ev-sys beta-FX-ev-user beta-FX-tt-real beta-FX-tt-sys beta-FX-tt-user deta-id-FX-ev-real deta-id-FX-ev-sys deta-id-FX-ev-user deta-id-FX-tt-real deta-id-FX-tt-sys deta-id-FX-tt-user make-evars-real make-evars-sys make-evars-user make-fun-ev-real make-fun-ev-sys make-fun-ev-user make-fun-tt-real make-fun-tt-sys make-fun-tt-user make-tts-real make-tts-sys make-tts-user open-constr-F-ev-real open-constr-F-ev-sys open-constr-F-ev-user open-constr-F-tt-real open-constr-F-tt-sys open-constr-F-tt-user open-constr-FX-ev-real open-constr-FX-ev-sys open-constr-FX-ev-user open-constr-FX-tt-real open-constr-FX-tt-sys open-constr-FX-tt-user prebeta-FX-ev-real prebeta-FX-ev-sys prebeta-FX-ev-user prebeta-FX-tt-real prebeta-FX-tt-sys prebeta-FX-tt-user
800 100 1000 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.03 0. 0.03 0.8 0. 0.8 0.876 0.004 0.872 0.042 0. 0.042 0.008 0. 0.008 0.007 0. 0.007 0.067 0. 0.067 0.02 0. 0.02 0.034 0. 0.034 0.001 0. 0.001
900 100 1000 0. 0. 0. 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.03 0. 0.03 0.991 0. 0.991 1.112 0.028 1.084 0.043 0. 0.043 0.011 0. 0.011 0.01 0. 0.01 0.07 0. 0.07 0.023 0. 0.023 0.037 0.007 0.029 0. 0. 0.
1000 100 1000 0. 0. 0. 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.005 0. 0.005 0. 0. 0. 0.03 0. 0.03 1.199 0.011 1.187 1.362 0.032 1.33 0.043 0. 0.043 0.014 0. 0.014 0.013 0. 0.013 0.119 0.003 0.115 0.026 0. 0.026 0.005 0. 0.005 0.001 0. 0.001
1100 100 1000 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.03 0. 0.03 1.56 0.056 1.504 1.68 0.039 1.64 0.044 0. 0.044 0.019 0. 0.019 0.018 0. 0.018 0.134 0.007 0.126 0.029 0. 0.029 0.007 0. 0.007 0.001 0. 0.
1200 100 1000 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.03 0. 0.03 1.8 0.024 1.776 2.048 0.02 2.028 0.043 0. 0.043 0.023 0. 0.023 0.023 0. 0.023 0.117 0.003 0.113 0.036 0. 0.036 0.006 0. 0.006 0.001 0. 0.001
1300 100 1000 0. 0. 0. 0. 0. 0. 0.006 0. 0.006 0.001 0. 0.001 0.005 0. 0.005 0.001 0. 0.001 0.029 0. 0.029 2.145 0.048 2.097 2.407 0.043 2.363 0.043 0. 0.043 0.027 0. 0.027 0.027 0. 0.027 0.118 0.007 0.11 0.041 0. 0.041 0.005 0. 0.005 0.001 0. 0.001
1400 100 1000 0. 0. 0. 0. 0. 0. 0.006 0. 0.006 0.001 0. 0.001 0.005 0. 0.005 0.001 0. 0.001 0.03 0. 0.03 2.405 0.032 2.373 2.828 0.039 2.788 0.045 0. 0.045 0.033 0. 0.033 0.033 0. 0.033 0.129 0. 0.129 0.045 0. 0.045 0.006 0. 0.006 0.001 0. 0.001
1500 100 1000 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0.001 0. 0.001 0.006 0. 0.006 0.001 0. 0.001 0.03 0. 0.03 2.846 0.052 2.794 3.177 0.023 3.153 0.042 0. 0.042 0.039 0. 0.039 0.038 0. 0.038 0.127 0.007 0.119 0.051 0. 0.051 0.006 0. 0.006 0.001 0. 0.001
1600 100 1000 0. 0. 0. 0.001 0. 0.001 0.007 0. 0.007 0.001 0.001 0. 0.007 0. 0.007 0.001 0. 0.001 0.029 0. 0.029 3.319 0.063 3.255 3.612 0.067 3.544 0.043 0. 0.043 0.045 0. 0.045 0.043 0. 0.043 0.136 0.003 0.132 0.058 0. 0.058 0.006 0. 0.006 0.001 0. 0.001
1700 100 1000 0. 0. 0. 0.001 0. 0.001 0.007 0. 0.007 0.001 0. 0.001 0.006 0. 0.006 0.001 0. 0.001 0.03 0. 0.03 3.728 0.064 3.664 3.974 0.075 3.898 0.043 0. 0.043 0.052 0. 0.052 0.051 0. 0.051 0.134 0.008 0.126 0.065 0. 0.065 0.006 0. 0.006 0.001 0. 0.001
1800 100 1000 0. 0. 0. 0.001 0. 0.001 0.007 0. 0.007 0.001 0. 0.001 0.006 0. 0.006 0.001 0. 0.001 0.029 0. 0.029 4.09 0.103 3.986 4.744 0.048 4.696 0.043 0. 0.043 0.057 0. 0.057 0.058 0. 0.058 0.14 0. 0.14 0.075 0. 0.075 0.006 0. 0.006 0.001 0. 0.001
1900 100 1000 0. 0. 0. 0.001 0. 0.001 0.007 0. 0.007 0.006 0. 0.006 0.006 0. 0.006 0.001 0. 0.001 0.029 0. 0.029 4.471 0.079 4.391 5.303 0.115 5.187 0.043 0. 0.043 0.066 0. 0.066 0.065 0. 0.065 0.158 0.003 0.155 0.082 0. 0.082 0.006 0. 0.006 0.001 0. 0.001
2000 100 1000 0. 0. 0. 0.006 0. 0.006 0.007 0. 0.007 0. 0. 0. 0.007 0. 0.007 0. 0. 0. 0.031 0. 0.031 5.116 0.104 5.012 5.762 0.067 5.694 0.044 0. 0.044 0.076 0. 0.076 0.073 0. 0.073 0.155 0.003 0.151 0.086 0. 0.086 0.007 0. 0.007 0. 0. 0.
