param-a-ctx-size param-extra-binders param-nevars beta-F-ev-real beta-F-ev-sys beta-F-ev-user beta-F-tt-real beta-F-tt-sys beta-F-tt-user beta-FX-ev-real beta-FX-ev-sys beta-FX-ev-user beta-FX-tt-real beta-FX-tt-sys beta-FX-tt-user deta-id-FX-ev-real deta-id-FX-ev-sys deta-id-FX-ev-user deta-id-FX-tt-real deta-id-FX-tt-sys deta-id-FX-tt-user make-evars-real make-evars-sys make-evars-user make-fun-ev-real make-fun-ev-sys make-fun-ev-user make-fun-tt-real make-fun-tt-sys make-fun-tt-user make-tts-real make-tts-sys make-tts-user open-constr-F-ev-real open-constr-F-ev-sys open-constr-F-ev-user open-constr-F-tt-real open-constr-F-tt-sys open-constr-F-tt-user open-constr-FX-ev-real open-constr-FX-ev-sys open-constr-FX-ev-user open-constr-FX-tt-real open-constr-FX-tt-sys open-constr-FX-tt-user prebeta-FX-ev-real prebeta-FX-ev-sys prebeta-FX-ev-user prebeta-FX-tt-real prebeta-FX-tt-sys prebeta-FX-tt-user
800 100 1000 0. 0. 0. 0. 0. 0. 0.027 0. 0.027 0. 0. 0. 0.027 0.003 0.023 0. 0. 0. 0.784 0. 0.784 0.013 0. 0.013 0.028 0. 0.028 0.926 0. 0.926 0. 0. 0. 0. 0. 0. 1.097 0.027 1.069 0.097 0. 0.097 0.118 0.003 0.114 0.006 0. 0.006
900 100 1000 0. 0. 0. 0. 0. 0. 0.047 0. 0.047 0. 0. 0. 0.031 0.007 0.023 0. 0. 0. 0.961 0. 0.961 0.012 0. 0.012 0.028 0. 0.028 1.132 0. 1.132 0. 0. 0. 0. 0. 0. 1.226 0.028 1.198 0.121 0. 0.121 0.139 0.003 0.135 0.008 0. 0.008
1000 100 1000 0. 0. 0. 0. 0. 0. 0.042 0.003 0.038 0. 0. 0. 0.042 0. 0.042 0. 0. 0. 1.134 0. 1.134 0.011 0. 0.011 0.028 0. 0.028 1.367 0.003 1.363 0. 0. 0. 0. 0. 0. 1.459 0.06 1.399 0.141 0. 0.141 0.275 0.011 0.263 0.009 0. 0.009
1100 100 1000 0. 0. 0. 0. 0. 0. 0.041 0. 0.041 0. 0. 0. 0.042 0.007 0.034 0. 0. 0. 1.595 0.052 1.541 0.012 0. 0.012 0.031 0. 0.031 1.78 0. 1.779 0. 0. 0. 0. 0. 0. 1.999 0.039 1.957 0.171 0. 0.17 0.199 0.003 0.195 0.012 0. 0.012
1200 100 1000 0. 0. 0. 0. 0. 0. 0.045 0.003 0.042 0. 0. 0. 0.061 0.004 0.057 0. 0. 0. 1.827 0.016 1.809 0.012 0. 0.012 0.029 0. 0.029 1.983 0.004 1.977 0. 0. 0. 0. 0. 0. 2.219 0.059 2.157 0.192 0. 0.192 0.212 0.015 0.196 0.015 0. 0.015
1300 100 1000 0. 0. 0. 0. 0. 0. 0.049 0. 0.049 0. 0. 0. 0.097 0.008 0.089 0. 0. 0. 2.164 0.027 2.134 0.012 0. 0.012 0.029 0. 0.029 2.318 0.075 2.235 0. 0. 0. 0. 0. 0. 2.371 0.067 2.301 0.22 0. 0.219 0.218 0.015 0.202 0.02 0. 0.02
1400 100 1000 0. 0. 0. 0. 0. 0. 0.097 0. 0.097 0. 0. 0. 0.064 0.004 0.06 0. 0. 0. 2.399 0.035 2.358 0.012 0. 0.012 0.029 0. 0.029 2.645 0. 2.642 0. 0. 0. 0. 0. 0. 2.639 0.072 2.564 0.245 0.011 0.232 0.283 0.003 0.279 0.024 0. 0.024
1500 100 1000 0. 0. 0. 0. 0. 0. 0.068 0.007 0.06 0. 0. 0. 0.069 0. 0.069 0. 0. 0. 2.79 0.031 2.755 0.013 0. 0.013 0.029 0. 0.029 3.027 0. 3.024 0. 0. 0. 0. 0. 0. 2.947 0.067 2.876 0.271 0.007 0.263 0.448 0.007 0.439 0.066 0. 0.066
1600 100 1000 0. 0. 0. 0. 0. 0. 0.059 0.003 0.055 0. 0. 0. 0.06 0.007 0.051 0. 0. 0. 3.305 0.055 3.246 0.012 0. 0.012 0.029 0. 0.029 3.459 0. 3.455 0. 0. 0. 0. 0. 0. 3.122 0.087 3.031 0.284 0. 0.284 0.423 0.027 0.394 0.062 0. 0.062
1700 100 1000 0. 0. 0. 0. 0. 0. 0.064 0. 0.064 0. 0. 0. 0.065 0.004 0.061 0. 0. 0. 3.814 0.047 3.762 0.012 0. 0.012 0.029 0. 0.029 3.909 0.027 3.869 0. 0. 0. 0. 0. 0. 3.344 0.076 3.265 0.297 0.003 0.293 0.266 0.011 0.254 0.073 0. 0.073
1800 100 1000 0. 0. 0. 0. 0. 0. 0.066 0.012 0.053 0. 0. 0. 0.067 0.003 0.063 0. 0. 0. 4.133 0.067 4.06 0.012 0. 0.012 0.029 0. 0.029 4.484 0.019 4.459 0. 0. 0. 0. 0. 0. 3.624 0.072 3.548 0.316 0.011 0.303 0.293 0.011 0.281 0.081 0. 0.081
1900 100 1000 0. 0. 0. 0. 0. 0. 0.086 0.008 0.078 0. 0. 0. 0.087 0.003 0.083 0. 0. 0. 4.686 0.131 4.549 0.012 0. 0.012 0.03 0. 0.03 5.091 0.008 5.078 0. 0. 0. 0. 0. 0. 3.954 0.095 3.855 0.332 0.004 0.328 0.504 0.015 0.488 0.097 0. 0.096
2000 100 1000 0. 0. 0. 0. 0. 0. 0.096 0.003 0.091 0. 0. 0. 0.097 0.003 0.092 0. 0. 0. 5.174 0.123 5.045 0.012 0. 0.012 0.029 0. 0.029 5.185 0.056 5.124 0. 0. 0. 0. 0. 0. 4.196 0.115 4.076 0.358 0.003 0.354 0.635 0.007 0.625 0.131 0. 0.131
