param-n fast-rewrite-regression-cubic-real fast-rewrite-regression-cubic-sys fast-rewrite-regression-cubic-user pose-build-and-refine-regression-cubic-real pose-build-and-refine-regression-cubic-sys pose-build-and-refine-regression-cubic-user refine-regression-quadratic-regression-linear-real refine-regression-quadratic-regression-linear-sys refine-regression-quadratic-regression-linear-user
33 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
34 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
35 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
36 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
37 0.021 0. 0.021 0.021 0. 0.021 0.017 0. 0.017
38 0.005 0. 0.005 0.004 0. 0.004 0. 0. 0.
39 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
40 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
41 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
42 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
43 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
44 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
45 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
46 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
47 0.007 0.003 0.003 0.007 0.003 0.003 0. 0. 0.
48 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
49 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
50 0.01 0.004 0.005 0.01 0.004 0.005 0. 0. 0.
51 0.007 0. 0.006 0.006 0. 0.006 0. 0. 0.
52 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
53 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
54 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
55 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
56 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
57 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
58 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
59 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
60 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
61 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
62 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
63 0.009 0.003 0.005 0.009 0.003 0.005 0. 0. 0.
64 0.009 0. 0.009 0.008 0. 0.008 0. 0. 0.
65 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
66 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
67 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
68 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
69 0.012 0. 0.012 0.012 0. 0.012 0. 0. 0.
70 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
71 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
72 0.011 0. 0.011 0.011 0. 0.011 0. 0. 0.
73 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
74 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
75 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
76 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
77 0.011 0. 0.011 0.011 0. 0.011 0. 0. 0.
78 0.011 0. 0.011 0.011 0. 0.011 0. 0. 0.
79 0.011 0. 0.011 0.011 0. 0.011 0. 0. 0.
80 0.012 0. 0.012 0.012 0. 0.012 0. 0. 0.
81 0.011 0. 0.011 0.011 0. 0.011 0. 0. 0.
82 0.012 0. 0.012 0.012 0. 0.012 0. 0. 0.
83 0.012 0. 0.012 0.012 0. 0.012 0. 0. 0.001
84 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
85 0.013 0. 0.013 0.013 0. 0.013 0.001 0. 0.001
86 0.012 0. 0.012 0.012 0. 0.012 0. 0. 0.
87 0.012 0. 0.012 0.012 0. 0.012 0.001 0. 0.001
88 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
89 0.017 0. 0.017 0.017 0. 0.017 0.001 0. 0.001
90 0.013 0. 0.013 0.013 0. 0.013 0.001 0. 0.001
91 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
92 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
93 0.016 0. 0.016 0.016 0. 0.016 0. 0. 0.
94 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
95 0.015 0. 0.015 0.015 0. 0.015 0.001 0. 0.001
96 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
97 0.019 0. 0.019 0.019 0. 0.019 0.004 0. 0.004
98 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
99 0.015 0. 0.015 0.015 0. 0.015 0.001 0. 0.001
100 0.023 0.003 0.019 0.023 0.003 0.019 0.001 0. 0.001
110 0.018 0. 0.018 0.018 0. 0.018 0.001 0. 0.001
120 0.021 0.003 0.017 0.021 0.003 0.017 0.001 0. 0.001
130 0.036 0. 0.036 0.036 0. 0.036 0.001 0. 0.001
140 0.035 0. 0.035 0.035 0. 0.035 0.001 0. 0.001
150 0.089 0.008 0.081 0.089 0.008 0.081 0.001 0. 0.001
160 0.044 0. 0.044 0.044 0. 0.044 0.001 0. 0.001
170 0.049 0. 0.049 0.049 0. 0.049 0.001 0. 0.001
180 0.055 0. 0.055 0.055 0. 0.055 0.001 0. 0.001
190 0.059 0. 0.059 0.059 0. 0.059 0.001 0. 0.001
200 0.071 0. 0.071 0.071 0. 0.071 0.002 0. 0.002
210 0.069 0.007 0.061 0.069 0.007 0.061 0.002 0. 0.001
220 0.07 0. 0.07 0.07 0. 0.07 0.002 0. 0.002
230 0.069 0.003 0.065 0.069 0.003 0.065 0.002 0. 0.002
240 0.076 0. 0.076 0.076 0. 0.076 0.002 0. 0.002
250 0.097 0. 0.097 0.097 0. 0.097 0.002 0. 0.002
260 0.087 0. 0.087 0.087 0. 0.087 0.002 0. 0.002
270 0.091 0. 0.091 0.091 0. 0.091 0.002 0. 0.002
280 0.106 0.007 0.097 0.105 0.007 0.097 0.002 0. 0.002
290 0.129 0. 0.129 0.129 0. 0.129 0.003 0. 0.002
300 0.129 0. 0.129 0.129 0. 0.129 0.003 0. 0.003
310 0.138 0. 0.138 0.138 0. 0.138 0.003 0. 0.003
320 0.14 0.003 0.136 0.14 0.003 0.136 0.003 0. 0.003
330 0.133 0. 0.133 0.133 0. 0.133 0.003 0. 0.003
340 0.128 0.003 0.124 0.128 0.003 0.124 0.003 0. 0.003
350 0.158 0. 0.158 0.158 0. 0.158 0.003 0. 0.003
360 0.139 0. 0.139 0.139 0. 0.139 0.003 0. 0.003
370 0.145 0. 0.145 0.145 0. 0.145 0.003 0. 0.003
380 0.188 0. 0.188 0.188 0. 0.188 0.004 0. 0.004
390 0.197 0. 0.197 0.197 0. 0.197 0.004 0. 0.004
400 0.167 0. 0.167 0.167 0. 0.167 0.004 0. 0.004
410 0.192 0.003 0.188 0.192 0.003 0.188 0.004 0. 0.004
420 0.188 0.008 0.18 0.188 0.008 0.18 0.004 0. 0.004
430 0.185 0. 0.185 0.185 0. 0.185 0.004 0. 0.004
440 0.213 0. 0.213 0.213 0. 0.213 0.004 0. 0.004
450 0.249 0. 0.249 0.249 0. 0.249 0.005 0. 0.005
460 0.231 0. 0.231 0.231 0. 0.231 0.005 0. 0.005
470 0.214 0. 0.214 0.214 0. 0.214 0.005 0. 0.005
480 0.223 0. 0.223 0.223 0. 0.223 0.005 0. 0.005
490 0.273 0. 0.273 0.273 0. 0.273 0.005 0. 0.005
500 0.284 0. 0.284 0.284 0. 0.284 0.005 0. 0.005
510 0.25 0. 0.25 0.25 0. 0.25 0.005 0. 0.005
520 0.251 0. 0.251 0.251 0. 0.251 0.005 0. 0.005
530 0.307 0. 0.307 0.307 0. 0.307 0.006 0. 0.006
540 0.319 0. 0.319 0.319 0. 0.319 0.006 0. 0.006
550 0.277 0. 0.277 0.277 0. 0.277 0.006 0. 0.006
560 0.287 0. 0.287 0.287 0. 0.287 0.006 0. 0.006
570 0.38 0. 0.38 0.38 0. 0.38 0.006 0. 0.006
580 0.323 0. 0.323 0.323 0. 0.323 0.006 0. 0.006
590 0.314 0. 0.314 0.314 0. 0.314 0.006 0. 0.006
600 0.403 0. 0.403 0.403 0. 0.403 0.006 0. 0.006
610 0.354 0. 0.354 0.354 0. 0.354 0.007 0. 0.007
620 0.345 0. 0.345 0.345 0. 0.345 0.007 0. 0.007
630 0.443 0. 0.443 0.443 0. 0.443 0.007 0. 0.007
640 0.376 0. 0.376 0.376 0. 0.376 0.007 0. 0.007
650 0.399 0. 0.399 0.399 0. 0.399 0.007 0. 0.007
660 0.466 0. 0.466 0.466 0. 0.466 0.008 0. 0.007
670 0.391 0. 0.391 0.391 0. 0.391 0.007 0. 0.007
680 0.472 0. 0.472 0.472 0. 0.472 0.007 0. 0.007
690 0.48 0.027 0.452 0.48 0.027 0.452 0.008 0. 0.008
700 0.423 0. 0.423 0.423 0. 0.423 0.007 0. 0.007
710 0.52 0. 0.52 0.52 0. 0.52 0.007 0. 0.007
720 0.433 0. 0.433 0.433 0. 0.433 0.008 0. 0.008
730 0.516 0. 0.516 0.516 0. 0.516 0.008 0. 0.008
740 0.481 0. 0.481 0.481 0. 0.481 0.008 0. 0.008
750 0.508 0. 0.508 0.508 0. 0.508 0.008 0. 0.008
760 0.542 0. 0.542 0.542 0. 0.542 0.008 0. 0.008
770 0.493 0. 0.493 0.493 0. 0.493 0.008 0. 0.008
780 0.588 0. 0.588 0.588 0. 0.588 0.008 0. 0.008
790 0.509 0. 0.509 0.509 0. 0.509 0.008 0. 0.008
800 0.61 0. 0.61 0.61 0. 0.61 0.009 0. 0.009
810 0.53 0. 0.53 0.53 0. 0.53 0.009 0. 0.009
820 0.629 0. 0.629 0.629 0. 0.629 0.009 0. 0.009
830 0.567 0. 0.567 0.567 0. 0.567 0.009 0. 0.009
840 0.66 0. 0.66 0.66 0. 0.66 0.009 0. 0.009
850 0.612 0. 0.612 0.612 0. 0.612 0.009 0. 0.009
860 0.706 0.015 0.69 0.706 0.015 0.69 0.01 0. 0.01
870 0.638 0.003 0.634 0.638 0.003 0.634 0.009 0. 0.009
880 0.695 0. 0.695 0.695 0. 0.695 0.009 0. 0.009
890 0.655 0. 0.655 0.655 0. 0.655 0.009 0. 0.009
900 0.708 0. 0.708 0.708 0. 0.708 0.01 0. 0.01
910 0.71 0. 0.71 0.71 0. 0.71 0.01 0. 0.01
920 0.704 0. 0.704 0.704 0. 0.704 0.01 0. 0.01
930 0.766 0. 0.766 0.766 0. 0.766 0.01 0. 0.01
940 0.699 0. 0.699 0.699 0. 0.699 0.01 0. 0.01
950 0.797 0. 0.797 0.797 0. 0.797 0.01 0. 0.01
960 0.777 0. 0.777 0.777 0. 0.777 0.01 0. 0.01
970 0.765 0. 0.765 0.765 0. 0.765 0.01 0. 0.01
980 0.839 0. 0.839 0.839 0. 0.839 0.01 0. 0.01
990 0.82 0. 0.82 0.82 0. 0.82 0.011 0. 0.011
1000 0.832 0. 0.832 0.832 0. 0.832 0.011 0. 0.011
1100 1.031 0. 1.031 1.031 0. 1.031 0.012 0. 0.012
1200 1.183 0. 1.183 1.183 0. 1.183 0.013 0. 0.013
1300 1.363 0.004 1.359 1.363 0.004 1.359 0.014 0. 0.014
1400 1.537 0.007 1.529 1.537 0.007 1.529 0.016 0. 0.016
1500 1.72 0. 1.72 1.72 0. 1.72 0.017 0. 0.017
1600 2.077 0.003 2.073 2.077 0.003 2.072 0.018 0. 0.018
1700 2.236 0.008 2.228 2.236 0.008 2.228 0.019 0. 0.019
1800 2.616 0. 2.615 2.615 0. 2.615 0.02 0. 0.02
1900 2.767 0.011 2.755 2.767 0.011 2.755 0.022 0. 0.022
2000 3.395 0. 3.395 3.395 0. 3.395 0.023 0. 0.023
3000 8.443 0.039 8.402 8.443 0.039 8.402 0.036 0. 0.036
4000 16.361 0.111 16.248 16.361 0.111 16.248 0.049 0. 0.049
5000 20.678 0.148 20.529 20.677 0.148 20.529 0.063 0. 0.063
