param-n abstract-repeat-constructor-real abstract-repeat-constructor-sys abstract-repeat-constructor-user close-abstract-real close-abstract-sys close-abstract-user repeat-constructor-real repeat-constructor-sys repeat-constructor-user
34 0.005 0. 0.005 0.002 0. 0.002 0.002 0. 0.002
35 0.005 0. 0.005 0.002 0. 0.002 0.003 0. 0.003
36 0.005 0. 0.005 0.002 0. 0.002 0.003 0. 0.003
37 0.006 0. 0.006 0.002 0. 0.002 0.003 0. 0.003
38 0.006 0. 0.006 0.002 0. 0.002 0.003 0. 0.003
39 0.006 0. 0.006 0.003 0. 0.003 0.003 0. 0.003
40 0.007 0. 0.007 0.003 0. 0.003 0.003 0. 0.003
41 0.009 0. 0.009 0.003 0. 0.003 0.005 0. 0.005
42 0.007 0. 0.007 0.003 0. 0.003 0.004 0. 0.004
43 0.007 0. 0.007 0.003 0. 0.003 0.004 0. 0.004
44 0.008 0. 0.008 0.003 0. 0.003 0.004 0. 0.004
45 0.008 0. 0.008 0.004 0. 0.004 0.004 0. 0.004
46 0.008 0. 0.008 0.004 0. 0.004 0.004 0. 0.004
47 0.009 0. 0.009 0.004 0. 0.004 0.005 0. 0.005
48 0.009 0. 0.009 0.004 0. 0.004 0.004 0. 0.004
49 0.01 0. 0.01 0.004 0. 0.004 0.005 0. 0.005
50 0.01 0. 0.01 0.005 0. 0.005 0.005 0. 0.005
51 0.011 0. 0.011 0.005 0. 0.005 0.005 0. 0.005
52 0.013 0. 0.013 0.005 0. 0.005 0.007 0. 0.007
53 0.011 0. 0.011 0.005 0. 0.005 0.005 0. 0.005
54 0.011 0. 0.011 0.005 0. 0.005 0.005 0. 0.005
55 0.011 0. 0.011 0.005 0. 0.005 0.005 0. 0.005
56 0.013 0. 0.013 0.005 0. 0.005 0.007 0. 0.007
57 0.012 0. 0.012 0.006 0. 0.006 0.006 0. 0.006
58 0.013 0. 0.013 0.006 0. 0.006 0.006 0. 0.006
59 0.013 0. 0.013 0.006 0. 0.006 0.006 0. 0.006
60 0.016 0. 0.016 0.006 0. 0.006 0.009 0. 0.009
61 0.014 0. 0.014 0.007 0. 0.007 0.007 0. 0.007
62 0.014 0. 0.014 0.007 0. 0.007 0.007 0. 0.007
63 0.016 0. 0.016 0.006 0. 0.006 0.009 0. 0.009
64 0.015 0. 0.015 0.007 0. 0.007 0.007 0. 0.007
65 0.015 0. 0.015 0.008 0. 0.008 0.007 0. 0.007
66 0.021 0. 0.021 0.013 0. 0.013 0.007 0. 0.007
67 0.017 0. 0.017 0.008 0. 0.008 0.008 0. 0.008
68 0.017 0. 0.017 0.008 0. 0.008 0.008 0. 0.008
69 0.019 0. 0.019 0.008 0. 0.008 0.011 0. 0.011
70 0.018 0. 0.018 0.009 0. 0.009 0.009 0. 0.009
71 0.018 0. 0.018 0.009 0. 0.009 0.008 0. 0.008
72 0.022 0. 0.022 0.01 0. 0.01 0.011 0. 0.011
73 0.019 0. 0.019 0.01 0. 0.01 0.009 0. 0.009
74 0.021 0. 0.021 0.011 0. 0.011 0.009 0. 0.009
75 0.02 0. 0.02 0.01 0. 0.01 0.009 0. 0.009
76 0.02 0. 0.02 0.01 0. 0.01 0.009 0. 0.009
77 0.021 0. 0.021 0.011 0. 0.011 0.01 0. 0.01
78 0.022 0. 0.022 0.011 0. 0.011 0.01 0. 0.01
79 0.023 0. 0.023 0.011 0. 0.011 0.011 0. 0.011
80 0.022 0. 0.022 0.012 0. 0.012 0.01 0. 0.01
81 0.025 0. 0.025 0.012 0. 0.012 0.013 0. 0.013
82 0.024 0. 0.024 0.012 0. 0.012 0.011 0. 0.011
83 0.025 0. 0.025 0.011 0. 0.011 0.013 0. 0.013
84 0.025 0. 0.025 0.013 0. 0.013 0.011 0. 0.011
85 0.029 0. 0.029 0.013 0. 0.013 0.015 0. 0.015
86 0.026 0. 0.026 0.014 0. 0.014 0.011 0. 0.011
87 0.027 0. 0.027 0.013 0. 0.013 0.013 0. 0.013
88 0.027 0. 0.027 0.015 0. 0.015 0.012 0. 0.012
89 0.031 0. 0.031 0.015 0. 0.015 0.015 0. 0.015
90 0.029 0. 0.029 0.016 0. 0.016 0.013 0. 0.013
91 0.029 0. 0.029 0.016 0. 0.016 0.013 0. 0.013
92 0.03 0. 0.03 0.017 0. 0.017 0.013 0. 0.013
93 0.031 0. 0.031 0.017 0. 0.017 0.014 0. 0.014
94 0.031 0. 0.031 0.016 0. 0.016 0.015 0. 0.015
95 0.034 0. 0.033 0.019 0. 0.019 0.014 0. 0.014
96 0.032 0.003 0.029 0.018 0. 0.018 0.014 0.002 0.011
97 0.034 0. 0.034 0.017 0. 0.017 0.016 0. 0.016
98 0.037 0. 0.037 0.021 0. 0.021 0.015 0. 0.015
99 0.035 0. 0.035 0.019 0. 0.019 0.015 0. 0.015
100 0.036 0. 0.036 0.018 0. 0.018 0.017 0. 0.017
101 0.034 0. 0.034 0.019 0. 0.019 0.015 0. 0.015
102 0.043 0.003 0.039 0.019 0. 0.019 0.024 0.003 0.02
103 0.049 0. 0.049 0.033 0. 0.033 0.016 0. 0.016
104 0.038 0. 0.038 0.021 0. 0.021 0.016 0. 0.016
105 0.038 0. 0.038 0.022 0. 0.022 0.016 0. 0.016
106 0.039 0. 0.039 0.021 0. 0.021 0.017 0. 0.017
107 0.04 0. 0.04 0.019 0. 0.019 0.02 0. 0.02
108 0.045 0. 0.045 0.027 0. 0.027 0.017 0. 0.017
109 0.041 0. 0.041 0.023 0. 0.023 0.017 0. 0.017
110 0.041 0. 0.041 0.023 0. 0.023 0.018 0. 0.018
111 0.043 0. 0.043 0.024 0. 0.024 0.019 0. 0.019
112 0.043 0. 0.043 0.021 0. 0.021 0.021 0. 0.021
113 0.047 0. 0.047 0.025 0. 0.025 0.022 0. 0.022
114 0.043 0. 0.043 0.024 0. 0.024 0.019 0. 0.019
115 0.047 0. 0.047 0.027 0. 0.027 0.02 0. 0.02
116 0.046 0. 0.046 0.026 0. 0.026 0.019 0. 0.019
117 0.048 0. 0.048 0.028 0. 0.028 0.02 0. 0.02
118 0.047 0. 0.047 0.027 0. 0.027 0.02 0. 0.02
119 0.048 0. 0.048 0.028 0. 0.028 0.02 0. 0.02
120 0.049 0. 0.049 0.028 0. 0.028 0.02 0. 0.02
121 0.05 0. 0.05 0.028 0. 0.028 0.021 0. 0.021
122 0.051 0. 0.051 0.029 0. 0.029 0.022 0. 0.022
123 0.051 0. 0.051 0.029 0. 0.029 0.022 0. 0.022
124 0.052 0. 0.052 0.029 0. 0.029 0.022 0. 0.022
125 0.054 0. 0.054 0.031 0. 0.031 0.022 0. 0.022
126 0.054 0. 0.054 0.031 0. 0.031 0.022 0. 0.022
127 0.055 0. 0.055 0.032 0. 0.032 0.022 0. 0.022
128 0.054 0. 0.054 0.031 0. 0.031 0.023 0. 0.023
129 0.057 0. 0.057 0.034 0. 0.034 0.023 0. 0.023
130 0.057 0. 0.057 0.027 0. 0.027 0.028 0. 0.028
131 0.064 0. 0.064 0.033 0. 0.033 0.03 0. 0.03
132 0.058 0.003 0.054 0.031 0. 0.031 0.026 0.003 0.022
133 0.063 0. 0.063 0.035 0. 0.035 0.027 0. 0.027
134 0.061 0. 0.061 0.036 0. 0.036 0.025 0. 0.025
135 0.059 0. 0.059 0.033 0. 0.033 0.025 0. 0.025
136 0.065 0. 0.065 0.036 0. 0.036 0.028 0. 0.028
137 0.066 0. 0.066 0.038 0. 0.038 0.028 0. 0.028
138 0.065 0. 0.065 0.038 0. 0.038 0.027 0. 0.027
139 0.068 0. 0.068 0.04 0. 0.04 0.027 0. 0.027
140 0.065 0. 0.065 0.033 0. 0.033 0.031 0. 0.031
141 0.073 0. 0.073 0.04 0. 0.04 0.033 0. 0.033
142 0.069 0. 0.069 0.041 0. 0.041 0.028 0. 0.028
143 0.068 0. 0.068 0.035 0. 0.035 0.032 0. 0.032
144 0.077 0. 0.077 0.042 0. 0.042 0.035 0. 0.035
145 0.072 0. 0.072 0.043 0. 0.043 0.028 0. 0.028
146 0.074 0. 0.074 0.041 0. 0.041 0.032 0. 0.032
147 0.071 0. 0.071 0.042 0. 0.042 0.029 0. 0.029
148 0.076 0. 0.076 0.043 0. 0.043 0.032 0. 0.032
149 0.075 0. 0.075 0.044 0. 0.044 0.031 0. 0.031
150 0.075 0.003 0.071 0.038 0. 0.038 0.037 0.003 0.033
151 0.088 0. 0.088 0.047 0. 0.047 0.04 0. 0.04
152 0.08 0. 0.08 0.046 0. 0.046 0.034 0. 0.034
153 0.079 0. 0.079 0.046 0. 0.046 0.032 0. 0.032
154 0.077 0. 0.077 0.04 0. 0.04 0.037 0. 0.037
155 0.089 0. 0.089 0.046 0. 0.046 0.042 0. 0.042
156 0.085 0. 0.085 0.048 0. 0.048 0.037 0. 0.037
157 0.082 0. 0.082 0.049 0. 0.049 0.033 0. 0.033
158 0.084 0. 0.084 0.047 0. 0.047 0.036 0. 0.036
159 0.089 0. 0.089 0.049 0. 0.049 0.04 0. 0.04
160 0.083 0. 0.083 0.048 0. 0.048 0.035 0. 0.035
161 0.089 0. 0.089 0.052 0. 0.052 0.036 0. 0.036
162 0.087 0. 0.087 0.051 0. 0.051 0.035 0. 0.035
163 0.086 0. 0.086 0.05 0. 0.05 0.035 0. 0.035
164 0.086 0. 0.086 0.049 0. 0.049 0.037 0. 0.037
165 0.088 0. 0.088 0.047 0. 0.047 0.04 0. 0.04
166 0.09 0.003 0.086 0.047 0. 0.047 0.042 0.003 0.038
167 0.088 0. 0.088 0.042 0. 0.042 0.045 0. 0.045
168 0.093 0. 0.093 0.05 0. 0.05 0.042 0. 0.042
169 0.093 0. 0.093 0.053 0. 0.053 0.039 0. 0.039
170 0.095 0. 0.095 0.055 0. 0.055 0.039 0. 0.039
171 0.096 0. 0.096 0.056 0. 0.056 0.039 0. 0.039
172 0.096 0. 0.096 0.056 0. 0.056 0.04 0. 0.04
173 0.097 0. 0.097 0.057 0. 0.057 0.04 0. 0.04
174 0.097 0. 0.097 0.057 0. 0.057 0.04 0. 0.04
175 0.099 0. 0.099 0.058 0. 0.058 0.041 0. 0.041
176 0.1 0. 0.1 0.058 0. 0.058 0.041 0. 0.041
177 0.102 0. 0.102 0.059 0. 0.059 0.042 0. 0.042
178 0.103 0. 0.103 0.06 0. 0.06 0.043 0. 0.043
179 0.104 0. 0.104 0.06 0. 0.06 0.042 0. 0.042
180 0.105 0. 0.105 0.061 0. 0.061 0.043 0. 0.043
181 0.106 0. 0.106 0.062 0. 0.062 0.043 0. 0.043
182 0.108 0. 0.108 0.063 0. 0.063 0.044 0. 0.044
183 0.107 0. 0.107 0.061 0. 0.061 0.046 0. 0.046
184 0.105 0. 0.105 0.059 0. 0.059 0.045 0. 0.045
185 0.114 0. 0.114 0.057 0. 0.057 0.056 0. 0.056
186 0.112 0. 0.112 0.059 0. 0.059 0.053 0. 0.053
187 0.116 0. 0.116 0.064 0. 0.064 0.051 0. 0.051
188 0.118 0. 0.118 0.068 0. 0.068 0.049 0. 0.049
189 0.123 0. 0.123 0.068 0. 0.068 0.054 0. 0.054
190 0.126 0. 0.126 0.072 0. 0.072 0.054 0. 0.054
191 0.124 0. 0.124 0.072 0. 0.072 0.051 0. 0.051
192 0.122 0. 0.122 0.072 0. 0.072 0.049 0. 0.049
193 0.122 0.003 0.118 0.073 0.003 0.069 0.049 0. 0.049
194 0.125 0. 0.125 0.071 0. 0.071 0.053 0. 0.053
195 0.14 0. 0.14 0.076 0. 0.076 0.064 0. 0.064
196 0.132 0. 0.132 0.076 0. 0.076 0.055 0. 0.055
197 0.129 0. 0.129 0.074 0. 0.074 0.054 0. 0.054
198 0.13 0. 0.13 0.078 0. 0.078 0.052 0. 0.052
199 0.146 0. 0.146 0.078 0. 0.078 0.066 0. 0.066
200 0.137 0. 0.137 0.078 0. 0.078 0.058 0. 0.058
201 0.133 0. 0.133 0.077 0. 0.077 0.055 0. 0.055
202 0.136 0.003 0.132 0.082 0.003 0.078 0.053 0. 0.053
203 0.132 0. 0.132 0.07 0. 0.07 0.061 0. 0.061
204 0.131 0. 0.131 0.074 0. 0.074 0.056 0. 0.056
205 0.131 0. 0.131 0.077 0. 0.077 0.054 0. 0.054
206 0.138 0. 0.138 0.072 0. 0.072 0.065 0. 0.065
207 0.137 0. 0.137 0.078 0. 0.078 0.058 0. 0.058
208 0.138 0. 0.138 0.082 0. 0.082 0.056 0. 0.056
209 0.14 0. 0.14 0.076 0. 0.076 0.063 0. 0.063
210 0.14 0. 0.14 0.082 0. 0.082 0.058 0. 0.058
211 0.146 0. 0.146 0.075 0. 0.075 0.07 0. 0.07
212 0.142 0. 0.142 0.081 0. 0.081 0.061 0. 0.061
213 0.141 0. 0.141 0.083 0. 0.083 0.058 0. 0.058
214 0.146 0. 0.146 0.081 0. 0.081 0.065 0. 0.065
215 0.148 0. 0.148 0.089 0. 0.089 0.059 0. 0.059
216 0.15 0. 0.15 0.081 0. 0.081 0.068 0. 0.068
217 0.149 0. 0.149 0.089 0. 0.089 0.059 0. 0.059
218 0.153 0. 0.153 0.081 0. 0.081 0.071 0. 0.071
219 0.152 0. 0.152 0.09 0. 0.09 0.061 0. 0.061
220 0.157 0. 0.157 0.088 0. 0.088 0.068 0. 0.068
221 0.169 0. 0.169 0.1 0. 0.1 0.068 0. 0.068
222 0.162 0. 0.162 0.098 0. 0.098 0.063 0. 0.063
223 0.168 0. 0.168 0.099 0. 0.099 0.068 0. 0.068
224 0.164 0. 0.164 0.099 0. 0.099 0.065 0. 0.065
225 0.166 0. 0.166 0.093 0. 0.093 0.073 0. 0.073
226 0.177 0. 0.177 0.1 0. 0.1 0.076 0. 0.076
227 0.17 0. 0.17 0.103 0. 0.103 0.066 0. 0.066
228 0.175 0. 0.175 0.103 0. 0.103 0.072 0. 0.072
229 0.182 0. 0.182 0.102 0. 0.102 0.08 0. 0.08
230 0.172 0. 0.172 0.101 0. 0.101 0.07 0. 0.07
231 0.164 0. 0.164 0.09 0. 0.09 0.074 0. 0.074
232 0.172 0. 0.172 0.092 0. 0.092 0.08 0. 0.08
233 0.17 0. 0.17 0.099 0. 0.099 0.071 0. 0.071
234 0.173 0. 0.173 0.098 0. 0.098 0.074 0. 0.074
235 0.178 0. 0.178 0.096 0. 0.096 0.081 0. 0.081
236 0.171 0. 0.171 0.1 0. 0.1 0.07 0. 0.07
237 0.181 0. 0.181 0.104 0. 0.104 0.076 0. 0.076
238 0.181 0. 0.181 0.102 0. 0.102 0.078 0. 0.078
239 0.181 0. 0.181 0.098 0. 0.098 0.082 0. 0.082
240 0.174 0. 0.174 0.101 0. 0.101 0.072 0. 0.072
241 0.179 0. 0.179 0.104 0. 0.104 0.074 0. 0.074
242 0.186 0. 0.186 0.106 0. 0.106 0.079 0. 0.079
243 0.185 0. 0.185 0.105 0. 0.105 0.079 0. 0.079
244 0.188 0. 0.188 0.104 0. 0.104 0.083 0. 0.083
245 0.188 0. 0.188 0.102 0. 0.102 0.085 0. 0.085
246 0.207 0. 0.207 0.114 0. 0.114 0.092 0. 0.092
247 0.203 0. 0.203 0.12 0. 0.12 0.082 0. 0.082
248 0.213 0. 0.213 0.125 0. 0.125 0.088 0. 0.088
249 0.212 0. 0.212 0.122 0. 0.122 0.089 0. 0.089
250 0.213 0. 0.213 0.123 0. 0.123 0.089 0. 0.089
251 0.211 0. 0.211 0.121 0. 0.121 0.089 0. 0.089
252 0.2 0. 0.2 0.108 0. 0.108 0.091 0. 0.091
253 0.198 0. 0.198 0.104 0. 0.104 0.093 0. 0.093
254 0.206 0. 0.206 0.111 0. 0.111 0.094 0. 0.094
255 0.207 0.003 0.203 0.111 0. 0.111 0.095 0.003 0.091
256 0.211 0. 0.211 0.114 0. 0.114 0.096 0. 0.096
257 0.213 0. 0.213 0.116 0. 0.116 0.097 0. 0.097
258 0.212 0.003 0.208 0.116 0. 0.116 0.095 0.003 0.091
259 0.21 0. 0.21 0.116 0. 0.116 0.093 0. 0.093
260 0.214 0. 0.214 0.121 0. 0.121 0.092 0. 0.092
261 0.214 0. 0.214 0.12 0. 0.12 0.093 0. 0.093
262 0.211 0. 0.211 0.119 0. 0.119 0.091 0. 0.091
263 0.231 0. 0.231 0.135 0. 0.135 0.095 0. 0.095
264 0.234 0. 0.234 0.128 0. 0.128 0.104 0. 0.104
265 0.23 0. 0.23 0.13 0. 0.13 0.099 0. 0.099
266 0.227 0. 0.227 0.133 0. 0.133 0.093 0. 0.093
267 0.242 0. 0.242 0.14 0. 0.14 0.101 0. 0.101
268 0.24 0. 0.24 0.14 0. 0.14 0.1 0. 0.1
269 0.232 0. 0.232 0.126 0. 0.126 0.105 0. 0.105
270 0.221 0. 0.221 0.125 0. 0.125 0.095 0. 0.095
271 0.23 0. 0.23 0.125 0. 0.125 0.104 0. 0.104
272 0.23 0. 0.23 0.129 0. 0.129 0.1 0. 0.1
273 0.232 0. 0.232 0.129 0. 0.129 0.102 0. 0.102
274 0.228 0. 0.228 0.131 0. 0.131 0.096 0. 0.096
275 0.237 0. 0.237 0.131 0. 0.131 0.105 0. 0.105
276 0.235 0. 0.235 0.13 0. 0.13 0.104 0. 0.104
277 0.239 0. 0.239 0.128 0. 0.128 0.111 0. 0.111
278 0.24 0. 0.24 0.135 0. 0.135 0.104 0. 0.104
279 0.234 0. 0.234 0.132 0. 0.132 0.102 0. 0.102
280 0.243 0. 0.243 0.133 0. 0.133 0.109 0. 0.109
281 0.269 0. 0.269 0.159 0. 0.159 0.11 0. 0.11
282 0.268 0. 0.268 0.145 0. 0.145 0.123 0. 0.123
283 0.273 0. 0.273 0.157 0. 0.157 0.115 0. 0.115
284 0.268 0. 0.268 0.146 0. 0.146 0.121 0. 0.121
285 0.254 0. 0.254 0.137 0. 0.137 0.116 0. 0.116
286 0.252 0. 0.252 0.137 0. 0.137 0.114 0. 0.114
287 0.255 0. 0.255 0.138 0. 0.138 0.116 0. 0.116
288 0.254 0. 0.254 0.139 0. 0.139 0.114 0. 0.114
289 0.263 0. 0.263 0.146 0. 0.146 0.117 0. 0.117
290 0.256 0. 0.256 0.141 0. 0.141 0.114 0. 0.114
291 0.264 0. 0.264 0.15 0. 0.15 0.114 0. 0.114
292 0.264 0. 0.264 0.141 0. 0.141 0.122 0. 0.122
293 0.261 0. 0.261 0.144 0. 0.144 0.117 0. 0.117
294 0.267 0. 0.267 0.149 0. 0.149 0.117 0. 0.117
295 0.291 0. 0.291 0.174 0. 0.174 0.116 0. 0.116
296 0.298 0. 0.298 0.174 0. 0.174 0.124 0. 0.124
297 0.282 0. 0.282 0.16 0. 0.16 0.122 0. 0.122
298 0.292 0. 0.292 0.159 0. 0.159 0.132 0. 0.132
299 0.283 0. 0.283 0.162 0. 0.162 0.121 0. 0.121
300 0.276 0. 0.276 0.15 0. 0.15 0.125 0. 0.125
305 0.276 0. 0.276 0.153 0. 0.153 0.123 0. 0.123
310 0.287 0. 0.287 0.16 0. 0.16 0.127 0. 0.127
315 0.303 0. 0.303 0.167 0. 0.167 0.135 0. 0.135
320 0.308 0. 0.308 0.17 0. 0.17 0.137 0. 0.137
325 0.322 0. 0.322 0.171 0. 0.171 0.15 0. 0.15
330 0.331 0. 0.331 0.183 0. 0.183 0.147 0. 0.147
335 0.363 0. 0.363 0.204 0. 0.204 0.158 0. 0.158
340 0.375 0. 0.375 0.2 0. 0.2 0.174 0. 0.174
345 0.395 0. 0.395 0.225 0. 0.225 0.169 0. 0.169
350 0.387 0. 0.387 0.211 0. 0.211 0.175 0. 0.175
355 0.374 0. 0.374 0.201 0. 0.201 0.172 0. 0.172
360 0.389 0. 0.389 0.207 0. 0.207 0.181 0. 0.181
365 0.401 0. 0.401 0.213 0. 0.213 0.187 0. 0.187
370 0.416 0. 0.416 0.222 0. 0.222 0.193 0. 0.193
375 0.419 0. 0.419 0.228 0. 0.228 0.19 0. 0.19
380 0.436 0.001 0.434 0.235 0. 0.235 0.2 0.001 0.198
385 0.464 0.003 0.46 0.259 0.003 0.255 0.204 0. 0.204
390 0.493 0.003 0.489 0.261 0.003 0.257 0.232 0. 0.232
395 0.509 0. 0.509 0.284 0. 0.284 0.224 0. 0.224
400 0.48 0. 0.48 0.251 0. 0.251 0.228 0. 0.228
410 0.509 0. 0.509 0.269 0. 0.269 0.239 0. 0.239
420 0.54 0. 0.54 0.294 0. 0.294 0.246 0. 0.246
430 0.55 0. 0.55 0.291 0. 0.291 0.258 0. 0.258
440 0.589 0. 0.589 0.324 0. 0.324 0.264 0. 0.264
450 0.655 0. 0.655 0.344 0. 0.344 0.31 0. 0.31
460 0.664 0. 0.664 0.34 0. 0.34 0.323 0. 0.323
470 0.666 0. 0.666 0.351 0. 0.351 0.313 0. 0.313
480 0.694 0.001 0.693 0.37 0. 0.37 0.323 0.001 0.322
490 0.747 0. 0.747 0.407 0. 0.407 0.339 0. 0.339
500 0.82 0. 0.82 0.431 0. 0.431 0.389 0. 0.389
550 0.907 0. 0.907 0.484 0. 0.484 0.422 0. 0.422
600 1.087 0. 1.087 0.572 0. 0.572 0.514 0. 0.514
650 1.371 0. 1.371 0.746 0. 0.746 0.625 0. 0.625
700 1.48 0.007 1.472 0.766 0.007 0.758 0.713 0. 0.713
750 1.748 0.012 1.736 0.938 0. 0.938 0.809 0.012 0.797
800 1.988 0. 1.988 1.017 0. 1.017 0.971 0. 0.971
850 2.25 0. 2.25 1.212 0. 1.212 1.037 0. 1.037
900 2.482 0. 2.482 1.297 0. 1.297 1.184 0. 1.184
950 2.893 0. 2.893 1.565 0. 1.565 1.327 0. 1.327
1000 3.115 0.003 3.111 1.698 0. 1.698 1.416 0.003 1.412
1100 3.712 0. 3.712 1.941 0. 1.941 1.77 0. 1.77
1200 4.417 0. 4.417 2.338 0. 2.338 2.078 0. 2.078
1300 5.387 0.011 5.375 2.939 0.011 2.927 2.447 0. 2.447
1400 6.319 0.023 6.295 3.42 0. 3.42 2.898 0.023 2.874
1500 7.318 0.056 7.261 3.988 0. 3.988 3.328 0.056 3.272
1600 8.249 0. 8.249 4.518 0. 4.518 3.73 0. 3.73
1700 9.461 0.043 9.417 5.151 0. 5.151 4.309 0.043 4.265
1800 10.599 0.028 10.571 5.764 0. 5.764 4.834 0.027 4.806
1900 11.24 0. 11.24 5.969 0. 5.969 5.27 0. 5.27
