param-n build-real build-sys build-user build-and-refine-real build-and-refine-sys build-and-refine-user refine-real refine-sys refine-user to-constr-real to-constr-sys to-constr-user type-of-real type-of-sys type-of-user
2700 0.071 0. 0.071 0.342 0.007 0.334 0.044 0. 0.044 0.084 0.007 0.076 0.142 0. 0.142
2800 0.057 0. 0.056 0.429 0. 0.429 0.048 0. 0.047 0.07 0. 0.07 0.253 0. 0.253
2900 0.045 0. 0.045 0.363 0.003 0.359 0.05 0. 0.05 0.09 0.003 0.086 0.175 0. 0.175
3000 0.065 0. 0.065 0.399 0.003 0.395 0.055 0. 0.055 0.165 0.003 0.161 0.112 0. 0.112
3100 0.048 0. 0.048 0.386 0.007 0.378 0.059 0. 0.059 0.149 0.007 0.141 0.127 0. 0.127
3200 0.05 0. 0.05 0.398 0.007 0.39 0.063 0. 0.063 0.11 0.007 0.102 0.172 0. 0.172
3300 0.052 0. 0.052 0.467 0. 0.467 0.068 0. 0.068 0.103 0. 0.103 0.242 0. 0.242
3400 0.058 0. 0.058 0.588 0. 0.588 0.072 0. 0.072 0.103 0. 0.103 0.353 0. 0.353
3500 0.06 0. 0.06 0.496 0. 0.496 0.076 0. 0.076 0.109 0. 0.109 0.249 0. 0.249
3600 0.063 0. 0.063 0.555 0. 0.555 0.081 0. 0.081 0.131 0. 0.131 0.278 0. 0.278
3700 0.065 0. 0.065 0.586 0.003 0.582 0.086 0. 0.086 0.129 0.003 0.125 0.304 0. 0.304
3800 0.067 0. 0.067 0.598 0. 0.598 0.091 0. 0.091 0.129 0. 0.129 0.31 0. 0.31
3900 0.069 0. 0.069 0.742 0. 0.742 0.096 0. 0.096 0.135 0. 0.135 0.439 0. 0.439
4000 0.071 0. 0.071 0.654 0. 0.653 0.101 0. 0.101 0.144 0. 0.144 0.336 0. 0.336
4100 0.074 0. 0.074 0.707 0.015 0.691 0.106 0. 0.106 0.169 0.015 0.153 0.356 0. 0.356
4200 0.078 0.003 0.074 0.916 0.004 0.912 0.113 0. 0.113 0.483 0. 0.483 0.24 0. 0.24
4300 0.078 0. 0.078 0.852 0.003 0.848 0.118 0. 0.118 0.165 0.003 0.161 0.488 0. 0.488
4400 0.081 0. 0.081 0.781 0.003 0.777 0.124 0. 0.124 0.172 0.003 0.168 0.403 0. 0.403
4500 0.083 0. 0.083 0.831 0. 0.831 0.131 0. 0.131 0.18 0. 0.18 0.436 0. 0.436
4600 0.085 0. 0.085 0.914 0. 0.914 0.137 0. 0.137 0.361 0. 0.361 0.329 0. 0.329
4700 0.088 0. 0.088 0.963 0. 0.963 0.143 0. 0.143 0.263 0. 0.263 0.468 0. 0.468
4800 0.091 0. 0.091 0.956 0.007 0.948 0.15 0. 0.15 0.224 0.007 0.216 0.489 0. 0.489
4900 0.104 0. 0.104 1.005 0.007 0.997 0.156 0. 0.156 0.226 0.007 0.218 0.518 0. 0.518
5000 0.275 0. 0.275 1.304 0. 1.304 0.162 0. 0.162 0.221 0. 0.221 0.644 0. 0.644
5100 0.096 0. 0.096 1.063 0. 1.063 0.169 0. 0.169 0.231 0. 0.231 0.565 0. 0.565
5200 0.104 0. 0.104 1.093 0. 1.093 0.175 0. 0.175 0.239 0. 0.239 0.573 0. 0.573
5300 0.141 0. 0.141 1.272 0. 1.272 0.183 0. 0.183 0.248 0. 0.248 0.698 0. 0.698
5400 0.103 0. 0.103 1.172 0. 1.172 0.189 0. 0.189 0.258 0. 0.258 0.619 0. 0.619
5500 0.116 0. 0.116 1.234 0. 1.234 0.198 0. 0.198 0.268 0. 0.268 0.65 0. 0.65
5600 0.145 0. 0.145 1.416 0. 1.416 0.204 0. 0.204 0.277 0. 0.277 0.787 0. 0.787
5700 0.11 0. 0.11 1.333 0. 1.333 0.212 0. 0.212 0.308 0. 0.308 0.701 0. 0.701
5800 0.122 0.003 0.118 1.558 0.023 1.534 0.221 0. 0.221 0.581 0.02 0.561 0.632 0. 0.632
5900 0.146 0. 0.146 1.427 0. 1.426 0.228 0. 0.228 0.307 0. 0.307 0.744 0. 0.744
6000 0.198 0. 0.198 1.528 0. 1.527 0.236 0. 0.236 0.318 0. 0.318 0.774 0. 0.774
6100 0.124 0. 0.124 1.531 0. 1.531 0.244 0. 0.244 0.639 0. 0.639 0.521 0. 0.521
6200 0.148 0. 0.148 1.511 0. 1.511 0.252 0. 0.252 0.513 0. 0.513 0.596 0. 0.596
6300 0.119 0. 0.119 1.425 0.023 1.401 0.26 0. 0.26 0.451 0.023 0.428 0.593 0. 0.593
6400 0.123 0. 0.123 2.011 0.032 1.979 0.271 0. 0.271 0.371 0. 0.371 1.245 0.031 1.213
6500 0.148 0. 0.148 1.769 0. 1.769 0.28 0. 0.28 0.371 0. 0.371 0.968 0. 0.968
6600 0.122 0. 0.122 1.855 0.027 1.826 0.29 0. 0.29 0.437 0.027 0.408 1.004 0. 1.004
6700 0.126 0. 0.126 1.885 0.032 1.852 0.3 0. 0.3 0.446 0.031 0.414 1.011 0. 1.011
6800 0.13 0. 0.13 1.931 0.048 1.883 0.307 0. 0.307 0.459 0.047 0.411 1.034 0. 1.034
6900 0.162 0.003 0.158 2.13 0.039 2.09 0.317 0. 0.317 0.473 0.036 0.437 1.176 0. 1.176
7000 0.149 0.003 0.145 1.824 0.06 1.764 0.311 0. 0.311 0.575 0.056 0.519 0.787 0. 0.787
7100 0.207 0. 0.207 1.977 0.036 1.941 0.32 0. 0.32 0.625 0.036 0.589 0.824 0. 0.823
7200 0.135 0. 0.135 1.952 0.051 1.9 0.328 0. 0.328 0.796 0.051 0.744 0.691 0. 0.691
7300 0.178 0. 0.178 2.175 0. 2.175 0.337 0. 0.337 0.483 0. 0.483 1.176 0. 1.176
7400 0.173 0. 0.173 2.348 0.047 2.298 0.347 0. 0.347 0.539 0.047 0.491 1.288 0. 1.286
7500 0.141 0. 0.141 2.327 0.023 2.303 0.357 0. 0.357 0.556 0.023 0.532 1.271 0. 1.271
7600 0.142 0.003 0.138 3.024 0.08 2.944 0.368 0. 0.368 0.551 0.035 0.515 1.961 0.04 1.921
7700 0.174 0. 0.174 2.509 0.007 2.502 0.378 0. 0.378 0.622 0.007 0.615 1.334 0. 1.334
7800 0.154 0. 0.154 2.509 0.051 2.457 0.388 0. 0.388 0.611 0.051 0.559 1.354 0. 1.354
7900 0.151 0.003 0.147 2.365 0.052 2.313 0.397 0. 0.397 0.721 0.044 0.677 1.094 0.003 1.09
8000 0.148 0. 0.148 2.663 0.055 2.607 0.407 0. 0.407 0.656 0.055 0.6 1.45 0. 1.45
8100 0.169 0. 0.169 2.686 0.051 2.634 0.419 0. 0.419 0.616 0.051 0.564 1.48 0. 1.48
8200 0.819 0.043 0.775 3.467 0.044 3.423 0.43 0. 0.43 1.32 0. 1.32 0.896 0. 0.896
8300 0.165 0. 0.165 2.845 0.06 2.785 0.439 0. 0.439 1.326 0.059 1.266 0.914 0. 0.914
8400 0.156 0.004 0.152 2.857 0.06 2.797 0.45 0. 0.45 1.265 0.056 1.209 0.984 0. 0.984
8500 0.19 0.003 0.186 2.989 0.059 2.928 0.463 0. 0.463 1.368 0.055 1.311 0.966 0. 0.966
8600 0.167 0.003 0.163 2.973 0.068 2.905 0.474 0. 0.474 1.349 0.064 1.285 0.982 0. 0.982
8700 0.167 0.003 0.163 3.724 0.12 3.604 0.486 0. 0.486 1.965 0.116 1.849 1.104 0. 1.104
8800 0.182 0. 0.182 3.037 0.031 3.005 0.495 0. 0.495 1.327 0.031 1.295 1.031 0. 1.031
8900 0.185 0. 0.185 3.181 0.048 3.133 0.508 0. 0.508 1.429 0.047 1.381 1.057 0. 1.057
9000 0.175 0.003 0.171 3.321 0.059 3.261 0.519 0. 0.519 1.412 0.056 1.356 1.213 0. 1.213
9100 0.186 0. 0.186 3.242 0.087 3.154 0.533 0. 0.533 1.416 0.087 1.328 1.104 0. 1.104
9200 0.182 0.007 0.174 3.95 0.071 3.878 0.545 0. 0.545 1.967 0.063 1.903 1.256 0. 1.256
9300 0.196 0. 0.196 3.128 0.023 3.104 0.555 0. 0.555 1.193 0.023 1.169 1.183 0. 1.183
9400 0.225 0.004 0.221 3.226 0.075 3.15 0.567 0. 0.567 1.137 0.071 1.065 1.295 0. 1.295
9500 0.239 0. 0.239 3.75 0.08 3.669 0.58 0. 0.58 1.725 0.08 1.645 1.204 0. 1.204
9600 0.229 0. 0.229 3.413 0.1 3.313 0.591 0. 0.591 0.966 0.1 0.866 1.625 0. 1.625
9700 0.88 0.095 0.784 4.316 0.111 4.204 0.603 0. 0.603 1.572 0.016 1.556 1.259 0. 1.259
9800 0.212 0.004 0.208 3.894 0.111 3.781 0.619 0. 0.619 0.966 0.107 0.858 2.096 0. 2.096
9900 0.245 0.004 0.241 3.838 0.092 3.746 0.632 0. 0.632 1.646 0.087 1.558 1.314 0. 1.314
10000 0.214 0.003 0.21 4.07 0.067 4.002 0.644 0. 0.644 0.979 0.063 0.915 2.232 0. 2.232
10100 0.205 0. 0.205 3.865 0.016 3.849 0.656 0. 0.656 1.481 0.015 1.465 1.521 0. 1.521
10200 0.208 0. 0.208 4.21 0.019 4.19 0.671 0. 0.671 0.966 0.019 0.946 2.364 0. 2.364
10300 0.216 0.011 0.204 4.554 0.111 4.442 0.685 0. 0.685 2.208 0.1 2.108 1.443 0. 1.443
10400 0.343 0. 0.343 4.593 0.063 4.529 0.704 0. 0.704 1.069 0.059 1.009 2.475 0.003 2.471
10500 0.218 0.004 0.214 4.223 0.116 4.107 0.713 0. 0.713 1.649 0.111 1.537 1.641 0. 1.641
10600 0.221 0.003 0.217 4.597 0.087 4.509 0.727 0. 0.727 1.109 0.083 1.025 2.538 0. 2.538
10700 0.883 0.048 0.835 4.89 0.075 4.814 0.742 0. 0.742 1.69 0.027 1.662 1.574 0. 1.574
10800 0.239 0.003 0.235 4.817 0.095 4.721 0.755 0. 0.755 1.167 0.091 1.075 2.654 0. 2.654
10900 0.254 0. 0.254 4.439 0.075 4.362 0.772 0. 0.772 1.711 0.075 1.635 1.7 0. 1.7
11000 0.251 0. 0.251 4.819 0.063 4.726 0.815 0. 0.788 2.122 0.063 2.058 1.63 0. 1.628
11100 0.249 0. 0.249 4.545 0.028 4.433 0.833 0. 0.806 1.414 0.027 1.357 2.047 0. 2.02
11200 0.247 0.003 0.243 4.818 0.119 4.602 0.824 0. 0.812 1.979 0.115 1.835 1.765 0. 1.71
11300 0.263 0.003 0.259 5.008 0.108 4.897 0.859 0. 0.859 1.346 0.104 1.242 2.537 0. 2.536
11400 0.247 0.011 0.235 4.787 0.111 4.674 0.839 0. 0.839 1.883 0.099 1.783 1.816 0. 1.816
11500 0.259 0. 0.259 5.443 0.068 5.373 0.871 0. 0.871 1.313 0.068 1.244 2.999 0. 2.998
11600 0.268 0. 0.25 5.061 0.127 4.767 0.895 0. 0.87 2.063 0.127 1.839 1.832 0. 1.806
11700 0.291 0. 0.286 5.051 0.136 4.91 0.879 0. 0.879 2.063 0.135 1.927 1.817 0. 1.817
11800 0.235 0.003 0.231 6.21 0.123 6.083 0.897 0. 0.897 3.178 0.119 3.055 1.898 0. 1.898
11900 0.274 0. 0.274 5.056 0.048 5.008 0.922 0. 0.922 1.962 0.048 1.914 1.896 0. 1.896
12000 0.237 0. 0.237 5.817 0.139 5.671 0.931 0. 0.931 2.622 0.139 2.482 2.026 0. 2.02
12100 0.273 0.003 0.269 5.22 0.147 5.072 0.949 0. 0.949 2.037 0.144 1.893 1.959 0. 1.959
12200 0.245 0.003 0.241 6.07 0.135 5.891 0.964 0. 0.964 2.693 0.131 2.56 2.165 0. 2.125
12300 0.24 0. 0.24 5.299 0.047 5.25 0.977 0. 0.977 2.058 0.047 2.009 2.023 0. 2.023
12400 0.301 0.004 0.297 6.134 0.119 6.013 0.991 0. 0.991 2.797 0.115 2.681 2.043 0. 2.043
12500 0.236 0. 0.236 5.597 0.068 5.529 1.013 0. 1.013 2.101 0.067 2.033 2.245 0. 2.245
12600 0.261 0.004 0.257 6.259 0.079 6.167 1.042 0. 1.033 2.685 0.075 2.608 2.268 0. 2.267
12700 0.253 0. 0.25 5.627 0.079 5.493 1.064 0. 1.052 2.121 0.079 2.021 2.186 0. 2.167
