param-a-n param-fact-n abstract-unify-beta-iota-fast-real abstract-unify-beta-iota-fast-sys abstract-unify-beta-iota-fast-user abstract-unify-beta-iota-slow-real abstract-unify-beta-iota-slow-sys abstract-unify-beta-iota-slow-user beta-iota-fast-real beta-iota-fast-sys beta-iota-fast-user beta-iota-slow-real beta-iota-slow-sys beta-iota-slow-user unify-beta-iota-fast-real unify-beta-iota-fast-sys unify-beta-iota-fast-user unify-beta-iota-slow-real unify-beta-iota-slow-sys unify-beta-iota-slow-user
1200 8 0.035 0. 0.035 0.192 0. 0.192 0.001 0. 0.001 0.001 0. 0. 0.001 0. 0.001 0.001 0. 0.001
1300 8 0.037 0. 0.037 0.192 0. 0.192 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1400 8 0.041 0. 0.041 0.196 0. 0.196 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1500 8 0.045 0. 0.045 0.201 0. 0.201 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1600 8 0.048 0. 0.048 0.201 0. 0.201 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1700 8 0.051 0. 0.051 0.205 0. 0.205 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
1800 8 0.055 0. 0.055 0.23 0. 0.23 0.001 0. 0.001 0.001 0. 0.001 0.001 0.001 0. 0.001 0. 0.001
1900 8 0.058 0. 0.058 0.234 0. 0.234 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
2000 8 0.06 0. 0.06 0.236 0. 0.236 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
2100 8 0.063 0. 0.063 0.243 0. 0.243 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
2200 8 0.068 0. 0.068 0.214 0. 0.214 0.001 0. 0.001 0.001 0. 0.001 0.002 0. 0.002 0.002 0. 0.002
2300 8 0.069 0. 0.069 0.214 0. 0.214 0.002 0. 0.002 0.001 0. 0.001 0.002 0. 0.002 0.002 0. 0.002
2400 8 0.073 0. 0.073 0.216 0. 0.216 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2500 8 0.076 0. 0.076 0.217 0. 0.217 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2600 8 0.079 0. 0.079 0.222 0. 0.222 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2700 8 0.084 0. 0.084 0.255 0. 0.255 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2800 8 0.085 0. 0.085 0.255 0. 0.255 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
2900 8 0.09 0. 0.09 0.26 0. 0.26 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
3000 8 0.092 0. 0.092 0.263 0. 0.263 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
3100 8 0.096 0. 0.096 0.265 0. 0.265 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002 0.002 0. 0.002
3200 8 0.101 0. 0.101 0.263 0. 0.264 0.002 0. 0.002 0.002 0. 0.002 0.003 0. 0.003 0.003 0. 0.003
3300 8 0.103 0. 0.103 0.27 0. 0.27 0.002 0. 0.002 0.002 0. 0.002 0.003 0. 0.003 0.003 0. 0.003
3400 8 0.108 0. 0.108 0.285 0. 0.285 0.002 0. 0.002 0.002 0. 0.002 0.003 0. 0.003 0.003 0. 0.003
3500 8 0.111 0. 0.111 0.288 0. 0.288 0.003 0. 0.003 0.002 0. 0.002 0.003 0. 0.003 0.003 0. 0.003
3600 8 0.113 0. 0.113 0.286 0. 0.286 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
3700 8 0.118 0. 0.118 0.295 0. 0.295 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
3800 8 0.119 0. 0.119 0.297 0. 0.297 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
3900 8 0.123 0. 0.123 0.301 0. 0.301 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
4000 8 0.124 0. 0.124 0.3 0. 0.3 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
4100 8 0.13 0. 0.13 0.305 0. 0.305 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.004 0. 0.004
4200 8 0.137 0. 0.137 0.295 0. 0.295 0.003 0. 0.003 0.003 0. 0.003 0.004 0. 0.004 0.003 0.003 0.
4300 8 0.139 0. 0.139 0.33 0. 0.33 0.003 0. 0.003 0.003 0. 0.003 0.004 0. 0.004 0.004 0. 0.004
4400 8 0.14 0. 0.14 0.33 0. 0.33 0.003 0. 0.003 0.003 0. 0.003 0.004 0. 0.004 0.004 0. 0.004
4500 8 0.144 0. 0.144 0.332 0. 0.332 0.003 0. 0.003 0.003 0. 0.003 0.004 0. 0.004 0.004 0. 0.004
4600 8 0.145 0. 0.145 0.335 0. 0.335 0.003 0. 0.003 0.003 0. 0.003 0.004 0. 0.004 0.004 0. 0.004
4700 8 0.155 0. 0.155 0.338 0. 0.338 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004
4800 8 0.158 0. 0.158 0.342 0. 0.342 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004
4900 8 0.157 0. 0.157 0.347 0. 0.347 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004
5000 8 0.162 0. 0.162 0.346 0. 0.346 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004
5100 8 0.167 0. 0.167 0.352 0. 0.352 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.004 0. 0.004
5200 8 0.168 0. 0.168 0.356 0. 0.356 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005
5300 8 0.173 0. 0.173 0.362 0. 0.362 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005
5400 8 0.177 0. 0.177 0.358 0. 0.358 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005
5500 8 0.18 0. 0.18 0.362 0. 0.362 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005
5600 8 0.186 0. 0.186 0.367 0. 0.367 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005
5700 8 0.188 0. 0.188 0.366 0. 0.366 0.005 0.003 0.001 0.005 0. 0.005 0.005 0. 0.005 0.005 0. 0.005
5800 8 0.19 0. 0.19 0.373 0. 0.373 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005 0.005 0. 0.005
5900 8 0.197 0. 0.197 0.381 0. 0.381 0.005 0. 0.005 0.005 0. 0.005 0.005 0. 0.005 0.005 0. 0.005
6000 8 0.198 0. 0.198 0.382 0. 0.382 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.005 0. 0.005
6100 8 0.2 0. 0.2 0.386 0. 0.386 0.005 0. 0.005 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006
6200 8 0.204 0. 0.204 0.417 0. 0.417 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.005 0. 0.005
6300 8 0.208 0. 0.208 0.419 0. 0.419 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.006 0.003 0.002
6400 8 0.212 0. 0.212 0.425 0. 0.425 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006
6500 8 0.215 0. 0.215 0.424 0. 0.424 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006
6600 8 0.222 0. 0.222 0.43 0. 0.43 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006
6700 8 0.225 0. 0.225 0.435 0. 0.435 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006
6800 8 0.226 0. 0.226 0.436 0. 0.436 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006
6900 8 0.229 0. 0.229 0.439 0. 0.439 0.006 0. 0.006 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006
7000 8 0.233 0. 0.233 0.444 0. 0.444 0.006 0. 0.006 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006
7100 8 0.237 0. 0.237 0.447 0. 0.447 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007 0.006 0. 0.006
7200 8 0.24 0. 0.24 0.45 0. 0.45 0.006 0. 0.006 0.006 0. 0.006 0.006 0. 0.006 0.006 0. 0.006
7300 8 0.246 0. 0.246 0.424 0. 0.424 0.006 0. 0.006 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007
7400 8 0.249 0. 0.249 0.426 0. 0.426 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007 0.007 0. 0.007
7500 8 0.256 0. 0.256 0.437 0. 0.437 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007 0.007 0. 0.007
7600 8 0.259 0. 0.259 0.438 0. 0.438 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007 0.007 0. 0.007
7700 8 0.259 0. 0.259 0.442 0. 0.442 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007 0.007 0. 0.007
7800 8 0.26 0. 0.26 0.444 0. 0.444 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007 0.007 0. 0.007
7900 8 0.261 0. 0.261 0.419 0. 0.419 0.006 0. 0.006 0.007 0. 0.007 0.007 0. 0.007 0.007 0. 0.007
8000 8 0.264 0. 0.264 0.424 0. 0.424 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007 0.007 0. 0.007
8100 8 0.268 0. 0.268 0.426 0. 0.426 0.007 0. 0.007 0.007 0. 0.007 0.008 0. 0.008 0.008 0. 0.008
8200 8 0.273 0. 0.273 0.431 0. 0.431 0.007 0. 0.007 0.007 0. 0.007 0.008 0. 0.008 0.007 0. 0.007
8300 8 0.275 0. 0.275 0.434 0. 0.434 0.007 0. 0.007 0.007 0. 0.007 0.008 0. 0.008 0.008 0. 0.008
8400 8 0.28 0. 0.28 0.437 0. 0.437 0.007 0. 0.007 0.007 0. 0.007 0.008 0. 0.008 0.008 0. 0.008
8500 8 0.31 0. 0.31 0.467 0. 0.467 0.007 0. 0.007 0.007 0. 0.007 0.008 0. 0.008 0.008 0. 0.008
8600 8 0.319 0. 0.319 0.474 0. 0.474 0.007 0. 0.007 0.007 0. 0.007 0.008 0. 0.008 0.008 0. 0.008
8700 8 0.322 0. 0.322 0.476 0. 0.476 0.007 0. 0.007 0.007 0. 0.007 0.009 0. 0.009 0.008 0. 0.008
8800 8 0.327 0. 0.327 0.479 0. 0.479 0.007 0. 0.007 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009
8900 8 0.328 0. 0.328 0.481 0. 0.481 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009 0.009 0. 0.009
9000 8 0.336 0. 0.336 0.484 0. 0.484 0.007 0. 0.007 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009
9100 8 0.334 0. 0.334 0.489 0. 0.489 0.007 0. 0.007 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009
9200 8 0.342 0. 0.342 0.491 0. 0.491 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009 0.009 0. 0.009
9300 8 0.345 0. 0.345 0.496 0. 0.496 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009 0.009 0. 0.009
9400 8 0.347 0. 0.347 0.501 0. 0.501 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009 0.009 0. 0.009
9500 8 0.351 0. 0.351 0.506 0. 0.505 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009 0.009 0. 0.009
9600 8 0.357 0. 0.357 0.508 0. 0.508 0.008 0. 0.008 0.009 0. 0.009 0.009 0. 0.009 0.009 0. 0.009
9700 8 0.357 0. 0.357 0.542 0. 0.542 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009 0.009 0. 0.009
9800 8 0.362 0. 0.362 0.52 0. 0.52 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009 0.009 0. 0.009
9900 8 0.364 0.003 0.36 0.547 0. 0.547 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009 0.009 0. 0.009
10000 8 0.369 0. 0.369 0.552 0. 0.552 0.008 0. 0.008 0.008 0. 0.008 0.01 0. 0.01 0.01 0. 0.01
