param-n abstract+rewrite-strat-bottomup-real abstract+rewrite-strat-bottomup-sys abstract+rewrite-strat-bottomup-user abstract+rewrite-strat-topdown-real abstract+rewrite-strat-topdown-sys abstract+rewrite-strat-topdown-user close-abstract+rewrite-strat-bottomup-real close-abstract+rewrite-strat-bottomup-sys close-abstract+rewrite-strat-bottomup-user close-abstract+rewrite-strat-topdown-real close-abstract+rewrite-strat-topdown-sys close-abstract+rewrite-strat-topdown-user rewrite-strat-bottomup-real rewrite-strat-bottomup-sys rewrite-strat-bottomup-user rewrite-strat-bottomup-noop-real rewrite-strat-bottomup-noop-sys rewrite-strat-bottomup-noop-user rewrite-strat-topdown-real rewrite-strat-topdown-sys rewrite-strat-topdown-user rewrite-strat-topdown-noop-real rewrite-strat-topdown-noop-sys rewrite-strat-topdown-noop-user
38 0.049 0. 0.049 0.029 0. 0.029 0.015 0. 0.015 0.011 0. 0.011 0.032 0. 0.032 0. 0. 0. 0.016 0. 0.016 0. 0. 0.
39 0.052 0. 0.052 0.033 0. 0.033 0.018 0. 0.018 0.012 0. 0.012 0.032 0. 0.032 0. 0. 0. 0.02 0. 0.02 0. 0. 0.
40 0.055 0. 0.055 0.032 0. 0.032 0.02 0. 0.02 0.012 0. 0.012 0.034 0. 0.034 0. 0. 0. 0.018 0. 0.018 0. 0. 0.
41 0.055 0. 0.055 0.033 0. 0.033 0.019 0. 0.019 0.013 0. 0.013 0.035 0. 0.035 0. 0. 0. 0.019 0. 0.019 0. 0. 0.
42 0.058 0. 0.058 0.036 0. 0.036 0.019 0. 0.019 0.015 0. 0.015 0.037 0. 0.037 0. 0. 0. 0.019 0. 0.019 0. 0. 0.
43 0.06 0. 0.06 0.037 0. 0.037 0.02 0. 0.02 0.014 0. 0.014 0.038 0. 0.038 0. 0. 0. 0.021 0. 0.021 0. 0. 0.
44 0.062 0. 0.062 0.039 0. 0.039 0.021 0. 0.021 0.015 0. 0.015 0.04 0. 0.04 0. 0. 0. 0.022 0. 0.022 0. 0. 0.
45 0.065 0. 0.064 0.043 0. 0.043 0.021 0. 0.021 0.019 0. 0.019 0.042 0. 0.042 0. 0. 0. 0.022 0. 0.022 0. 0. 0.
46 0.069 0. 0.069 0.043 0. 0.043 0.022 0. 0.022 0.017 0. 0.017 0.045 0. 0.045 0. 0. 0. 0.024 0. 0.024 0. 0. 0.
47 0.068 0.003 0.064 0.043 0. 0.043 0.021 0.003 0.018 0.017 0. 0.017 0.045 0. 0.045 0. 0. 0. 0.024 0. 0.024 0. 0. 0.
48 0.074 0. 0.074 0.046 0. 0.046 0.024 0. 0.024 0.019 0. 0.019 0.048 0. 0.048 0. 0. 0. 0.025 0. 0.025 0. 0. 0.
49 0.077 0. 0.077 0.046 0. 0.046 0.026 0. 0.026 0.017 0. 0.017 0.049 0. 0.049 0. 0. 0. 0.028 0. 0.028 0. 0. 0.
50 0.15 0.016 0.131 0.116 0.012 0.103 0.025 0. 0.025 0.016 0. 0.016 0.123 0.016 0.105 0. 0. 0. 0.098 0.011 0.086 0. 0. 0.
51 0.079 0. 0.079 0.051 0. 0.051 0.025 0. 0.025 0.02 0. 0.02 0.053 0. 0.053 0. 0. 0. 0.029 0. 0.029 0. 0. 0.
52 0.088 0. 0.088 0.052 0. 0.052 0.03 0. 0.03 0.021 0. 0.021 0.057 0. 0.057 0. 0. 0. 0.029 0. 0.029 0. 0. 0.
53 0.087 0. 0.087 0.056 0. 0.056 0.029 0. 0.029 0.025 0. 0.025 0.057 0. 0.057 0. 0. 0. 0.03 0. 0.03 0. 0. 0.
54 0.09 0. 0.09 0.055 0. 0.055 0.033 0. 0.033 0.023 0. 0.023 0.056 0. 0.056 0. 0. 0. 0.031 0. 0.031 0. 0. 0.
55 0.092 0. 0.092 0.06 0. 0.06 0.029 0. 0.029 0.026 0. 0.026 0.061 0. 0.061 0. 0. 0. 0.032 0. 0.032 0. 0. 0.
56 0.1 0. 0.1 0.058 0. 0.058 0.034 0. 0.034 0.023 0. 0.023 0.064 0. 0.064 0. 0. 0. 0.033 0. 0.033 0. 0. 0.
57 0.103 0.003 0.1 0.062 0. 0.062 0.036 0.003 0.032 0.025 0. 0.025 0.066 0. 0.066 0. 0. 0. 0.036 0. 0.036 0. 0. 0.
58 0.103 0. 0.103 0.06 0. 0.06 0.035 0. 0.035 0.023 0. 0.023 0.066 0. 0.066 0. 0. 0. 0.036 0. 0.036 0. 0. 0.
59 0.105 0. 0.105 0.067 0. 0.067 0.037 0. 0.037 0.026 0. 0.026 0.067 0. 0.067 0. 0. 0. 0.039 0. 0.039 0. 0. 0.
60 0.108 0. 0.108 0.069 0. 0.069 0.039 0. 0.039 0.029 0. 0.029 0.067 0. 0.067 0. 0. 0. 0.038 0. 0.038 0. 0. 0.
61 0.109 0. 0.109 0.068 0.003 0.065 0.04 0. 0.04 0.028 0.003 0.025 0.068 0. 0.068 0. 0. 0. 0.038 0. 0.038 0. 0. 0.
62 0.116 0. 0.116 0.072 0. 0.072 0.043 0. 0.043 0.029 0. 0.029 0.07 0. 0.07 0. 0. 0. 0.042 0. 0.042 0. 0. 0.
63 0.12 0. 0.12 0.075 0. 0.075 0.044 0. 0.044 0.031 0. 0.031 0.074 0. 0.074 0. 0. 0. 0.042 0. 0.042 0. 0. 0.
64 0.121 0. 0.121 0.08 0. 0.08 0.043 0. 0.043 0.032 0. 0.032 0.075 0. 0.075 0. 0. 0. 0.046 0. 0.046 0. 0. 0.
65 0.124 0. 0.124 0.08 0. 0.08 0.045 0. 0.045 0.033 0. 0.033 0.077 0. 0.077 0. 0. 0. 0.045 0. 0.045 0. 0. 0.
66 0.13 0. 0.13 0.08 0. 0.08 0.047 0. 0.047 0.035 0. 0.035 0.081 0. 0.081 0. 0. 0. 0.044 0. 0.044 0. 0. 0.
67 0.136 0. 0.136 0.08 0. 0.08 0.049 0. 0.049 0.03 0. 0.03 0.085 0. 0.085 0. 0. 0. 0.048 0. 0.048 0. 0. 0.
68 0.141 0. 0.141 0.09 0. 0.09 0.049 0. 0.049 0.037 0. 0.037 0.09 0. 0.09 0. 0. 0. 0.051 0. 0.051 0. 0. 0.
69 0.148 0. 0.148 0.088 0. 0.088 0.051 0. 0.051 0.036 0. 0.036 0.096 0. 0.096 0. 0. 0. 0.05 0. 0.05 0. 0. 0.
70 0.154 0. 0.154 0.089 0. 0.089 0.058 0. 0.058 0.038 0. 0.038 0.094 0. 0.094 0. 0. 0. 0.048 0. 0.048 0. 0. 0.
71 0.15 0. 0.15 0.091 0. 0.091 0.056 0. 0.056 0.037 0. 0.037 0.092 0. 0.092 0. 0. 0. 0.052 0. 0.052 0. 0. 0.
72 0.154 0. 0.154 0.094 0. 0.094 0.049 0. 0.049 0.035 0. 0.035 0.099 0. 0.099 0.004 0. 0.004 0.058 0. 0.058 0. 0. 0.
73 0.166 0. 0.166 0.103 0. 0.103 0.059 0. 0.059 0.041 0. 0.041 0.105 0. 0.105 0. 0. 0. 0.061 0. 0.061 0. 0. 0.
74 0.168 0. 0.168 0.105 0. 0.105 0.058 0. 0.058 0.044 0. 0.044 0.107 0. 0.107 0. 0. 0. 0.059 0. 0.059 0. 0. 0.
75 0.173 0. 0.173 0.107 0. 0.107 0.059 0. 0.059 0.045 0. 0.045 0.112 0. 0.112 0. 0. 0. 0.06 0. 0.06 0. 0. 0.
76 0.166 0. 0.166 0.108 0. 0.108 0.058 0. 0.058 0.047 0. 0.047 0.106 0. 0.106 0. 0. 0. 0.059 0. 0.059 0. 0. 0.
77 0.171 0. 0.171 0.108 0. 0.108 0.054 0. 0.054 0.046 0. 0.046 0.115 0. 0.115 0. 0. 0. 0.06 0. 0.06 0. 0. 0.
78 0.178 0.003 0.174 0.111 0. 0.111 0.062 0. 0.062 0.048 0. 0.048 0.114 0.003 0.11 0. 0. 0. 0.062 0. 0.062 0. 0. 0.
79 0.179 0. 0.179 0.116 0. 0.116 0.058 0. 0.058 0.05 0. 0.05 0.12 0. 0.12 0. 0. 0. 0.064 0. 0.064 0. 0. 0.
80 0.181 0. 0.181 0.118 0. 0.118 0.065 0. 0.065 0.05 0. 0.05 0.114 0. 0.114 0. 0. 0. 0.065 0. 0.065 0. 0. 0.
81 0.186 0. 0.186 0.12 0. 0.12 0.06 0. 0.06 0.052 0. 0.052 0.124 0. 0.124 0. 0. 0. 0.066 0. 0.066 0. 0. 0.
82 0.191 0.003 0.187 0.126 0. 0.126 0.066 0.003 0.062 0.054 0. 0.054 0.122 0. 0.122 0. 0. 0. 0.069 0. 0.069 0. 0. 0.
83 0.197 0. 0.197 0.128 0. 0.128 0.071 0. 0.071 0.053 0. 0.053 0.124 0. 0.124 0. 0. 0. 0.073 0. 0.073 0. 0. 0.
84 0.2 0. 0.2 0.126 0. 0.126 0.065 0. 0.065 0.047 0. 0.047 0.133 0. 0.133 0. 0. 0. 0.073 0. 0.073 0.004 0. 0.004
85 0.21 0. 0.21 0.137 0. 0.137 0.066 0. 0.066 0.055 0. 0.055 0.141 0. 0.141 0. 0. 0. 0.08 0. 0.08 0.001 0. 0.001
86 0.206 0. 0.206 0.144 0. 0.144 0.068 0. 0.068 0.064 0. 0.064 0.132 0. 0.132 0.005 0. 0.005 0.078 0. 0.078 0.001 0. 0.001
87 0.209 0. 0.209 0.15 0. 0.15 0.075 0. 0.075 0.06 0. 0.06 0.131 0. 0.131 0. 0. 0. 0.088 0. 0.088 0.001 0. 0.001
88 0.22 0. 0.22 0.141 0.003 0.138 0.078 0. 0.078 0.061 0. 0.061 0.139 0. 0.139 0. 0. 0. 0.078 0.002 0.076 0.001 0. 0.001
89 0.228 0. 0.228 0.147 0. 0.147 0.08 0. 0.08 0.057 0. 0.057 0.146 0. 0.146 0. 0. 0. 0.087 0. 0.087 0.001 0. 0.001
90 0.236 0. 0.236 0.134 0. 0.134 0.086 0. 0.086 0.052 0. 0.052 0.148 0. 0.148 0.001 0. 0.001 0.08 0. 0.08 0.001 0. 0.001
91 0.245 0. 0.245 0.15 0. 0.15 0.087 0. 0.087 0.062 0. 0.062 0.155 0. 0.155 0.001 0. 0.001 0.085 0. 0.085 0.001 0. 0.001
92 0.247 0. 0.247 0.151 0. 0.151 0.088 0. 0.088 0.057 0. 0.057 0.156 0. 0.156 0.001 0. 0.001 0.092 0. 0.092 0.001 0. 0.001
93 0.258 0. 0.258 0.152 0. 0.152 0.091 0. 0.091 0.061 0. 0.061 0.164 0. 0.164 0.001 0. 0.001 0.088 0. 0.088 0.001 0. 0.001
94 0.271 0. 0.271 0.154 0.003 0.15 0.098 0. 0.098 0.064 0.003 0.06 0.171 0. 0.171 0.001 0. 0.001 0.087 0. 0.087 0.001 0. 0.001
95 0.28 0. 0.28 0.157 0. 0.157 0.096 0. 0.096 0.06 0. 0.06 0.182 0. 0.182 0.001 0. 0.001 0.094 0. 0.094 0.001 0. 0.001
96 0.266 0. 0.266 0.165 0. 0.165 0.093 0. 0.093 0.071 0. 0.071 0.164 0. 0.164 0.006 0. 0.006 0.092 0. 0.092 0.001 0. 0.001
97 0.268 0.003 0.264 0.163 0. 0.163 0.099 0. 0.099 0.063 0. 0.063 0.166 0.003 0.162 0.001 0. 0.001 0.098 0. 0.098 0.001 0. 0.001
98 0.284 0.003 0.28 0.17 0. 0.17 0.107 0.003 0.103 0.074 0. 0.074 0.174 0. 0.174 0.001 0. 0.001 0.093 0. 0.093 0.001 0. 0.001
99 0.271 0. 0.271 0.169 0. 0.169 0.088 0. 0.088 0.065 0. 0.065 0.175 0. 0.175 0.006 0. 0.006 0.101 0. 0.101 0.001 0. 0.001
100 0.322 0. 0.308 0.178 0. 0.178 0.094 0. 0.093 0.08 0. 0.079 0.226 0. 0.213 0.001 0. 0.001 0.097 0. 0.097 0.001 0. 0.001
110 0.349 0. 0.349 0.214 0. 0.214 0.136 0. 0.136 0.08 0. 0.08 0.21 0. 0.21 0.001 0. 0.001 0.131 0. 0.131 0.001 0. 0.001
120 0.396 0. 0.396 0.243 0. 0.243 0.13 0. 0.13 0.097 0. 0.097 0.263 0. 0.263 0.001 0. 0.001 0.143 0. 0.143 0.001 0. 0.001
130 0.455 0. 0.455 0.296 0. 0.296 0.162 0. 0.162 0.12 0. 0.12 0.289 0. 0.289 0.001 0. 0.001 0.172 0. 0.172 0.001 0. 0.001
140 0.55 0. 0.55 0.373 0.003 0.37 0.204 0. 0.204 0.149 0. 0.149 0.343 0. 0.343 0.001 0. 0.001 0.221 0.003 0.217 0.001 0. 0.001
150 0.674 0.003 0.661 0.415 0.007 0.407 0.221 0. 0.221 0.181 0.004 0.177 0.45 0.003 0.437 0.002 0. 0.002 0.231 0.003 0.227 0.002 0. 0.002
160 0.719 0. 0.719 0.467 0.004 0.463 0.256 0. 0.256 0.194 0. 0.194 0.459 0. 0.459 0.002 0. 0.002 0.269 0.003 0.265 0.002 0. 0.002
170 0.802 0. 0.802 0.532 0.003 0.528 0.272 0. 0.272 0.211 0. 0.211 0.527 0. 0.527 0.002 0. 0.002 0.316 0.003 0.312 0.002 0. 0.002
180 0.898 0.023 0.874 0.543 0.003 0.539 0.293 0. 0.293 0.217 0. 0.217 0.602 0.023 0.578 0.002 0. 0.002 0.322 0.003 0.318 0.002 0. 0.002
190 1.007 0. 1.007 0.604 0.007 0.596 0.352 0. 0.352 0.239 0.003 0.235 0.65 0. 0.65 0.002 0. 0.002 0.361 0.003 0.357 0.003 0. 0.003
200 1.117 0. 1.117 0.733 0.008 0.724 0.345 0. 0.345 0.253 0. 0.253 0.768 0. 0.768 0.003 0. 0.003 0.475 0.007 0.467 0.003 0. 0.003
210 1.228 0. 1.228 0.733 0.011 0.719 0.419 0. 0.419 0.287 0.003 0.282 0.804 0. 0.804 0.003 0. 0.003 0.44 0.007 0.432 0.003 0. 0.003
220 1.286 0.003 1.282 0.906 0. 0.906 0.426 0.003 0.422 0.336 0. 0.336 0.855 0. 0.855 0.003 0. 0.003 0.564 0. 0.564 0.003 0. 0.003
230 1.414 0.003 1.41 0.897 0. 0.897 0.461 0. 0.461 0.338 0. 0.338 0.948 0.003 0.944 0.003 0. 0.003 0.553 0. 0.553 0.004 0. 0.004
240 1.605 0. 1.605 1.001 0. 1.001 0.546 0. 0.546 0.36 0. 0.36 1.054 0. 1.054 0.004 0. 0.004 0.631 0. 0.631 0.008 0. 0.008
250 1.716 0.007 1.709 1.057 0.008 1.048 0.549 0. 0.549 0.391 0. 0.391 1.162 0.007 1.154 0.004 0. 0.004 0.66 0.007 0.651 0.004 0. 0.004
260 1.789 0. 1.789 1.184 0. 1.184 0.581 0. 0.581 0.464 0. 0.464 1.202 0. 1.202 0.004 0. 0.004 0.713 0. 0.713 0.004 0. 0.004
270 2.037 0. 2.037 1.265 0. 1.265 0.631 0. 0.631 0.455 0. 0.455 1.4 0. 1.4 0.004 0. 0.004 0.803 0. 0.803 0.005 0. 0.005
280 2.237 0. 2.237 1.407 0.003 1.403 0.731 0. 0.731 0.504 0.003 0.5 1.499 0. 1.498 0.005 0. 0.005 0.895 0. 0.895 0.005 0. 0.005
290 2.297 0. 2.297 1.499 0.007 1.491 0.722 0. 0.722 0.536 0. 0.536 1.565 0. 1.565 0.008 0. 0.008 0.955 0.007 0.947 0.006 0. 0.006
300 2.587 0.023 2.563 1.619 0.008 1.609 0.748 0.003 0.744 0.613 0. 0.612 1.832 0.019 1.812 0.006 0. 0.006 0.998 0.008 0.989 0.006 0. 0.006
310 2.745 0. 2.745 1.643 0. 1.643 0.877 0. 0.877 0.596 0. 0.596 1.86 0. 1.86 0.006 0. 0.006 1.038 0. 1.038 0.006 0. 0.006
320 2.813 0.007 2.805 1.819 0. 1.816 0.894 0. 0.894 0.679 0. 0.676 1.91 0.007 1.902 0.006 0. 0.006 1.119 0. 1.119 0.019 0. 0.019
330 3.299 0. 3.299 1.885 0.011 1.871 1.003 0. 1.003 0.666 0.003 0.662 2.287 0. 2.287 0.006 0. 0.006 1.209 0.007 1.199 0.007 0. 0.007
340 3.224 0.004 3.22 2.122 0. 2.122 1.014 0.004 1.01 0.759 0. 0.759 2.2 0. 2.2 0.007 0. 0.007 1.353 0. 1.353 0.007 0. 0.007
350 3.605 0.011 3.593 2.167 0.015 2.149 1.065 0. 1.065 0.759 0.003 0.754 2.531 0.011 2.519 0.007 0. 0.007 1.398 0.011 1.385 0.008 0. 0.008
360 3.644 0.007 3.636 2.337 0.019 2.317 1.09 0.007 1.082 0.809 0.003 0.805 2.544 0. 2.544 0.007 0. 0.007 1.517 0.015 1.501 0.008 0. 0.008
370 3.962 0.02 3.942 2.55 0.008 2.542 1.218 0. 1.218 0.908 0. 0.908 2.734 0.019 2.714 0.008 0. 0.008 1.63 0.007 1.622 0.009 0. 0.009
380 4.421 0.007 4.413 2.553 0. 2.553 1.295 0. 1.295 0.887 0. 0.887 3.115 0.007 3.107 0.008 0. 0.008 1.654 0. 1.654 0.009 0. 0.009
390 4.33 0. 4.33 2.644 0. 2.644 1.353 0. 1.353 0.915 0. 0.915 2.961 0. 2.961 0.014 0. 0.014 1.717 0. 1.717 0.009 0. 0.009
400 4.704 0.007 4.696 3.035 0.007 3.024 1.294 0. 1.294 0.997 0. 0.996 3.39 0.007 3.382 0.018 0. 0.018 2.022 0.007 2.012 0.013 0. 0.013
