param-n abstract-regression-quadratic-real abstract-regression-quadratic-sys abstract-regression-quadratic-user close-abstract-regression-quadratic-real close-abstract-regression-quadratic-sys close-abstract-regression-quadratic-user ssr-rewrite!-regression-quadratic-real ssr-rewrite!-regression-quadratic-sys ssr-rewrite!-regression-quadratic-user ssr-rewrite?-noop-regression-linear-real ssr-rewrite?-noop-regression-linear-sys ssr-rewrite?-noop-regression-linear-user
21 0.012 0. 0.012 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
22 0.013 0. 0.013 0.007 0. 0.007 0.006 0. 0.006 0. 0. 0.
23 0.016 0. 0.016 0.009 0. 0.009 0.006 0. 0.006 0. 0. 0.
24 0.016 0.002 0.013 0.008 0. 0.008 0.007 0.002 0.005 0. 0. 0.
25 0.017 0. 0.017 0.009 0. 0.008 0.008 0. 0.008 0. 0. 0.
26 0.02 0. 0.019 0.011 0. 0.011 0.008 0. 0.008 0. 0. 0.
27 0.019 0. 0.019 0.01 0. 0.01 0.009 0. 0.009 0. 0. 0.
28 0.021 0. 0.021 0.011 0. 0.011 0.009 0. 0.009 0. 0. 0.
29 0.025 0. 0.025 0.012 0. 0.011 0.012 0. 0.012 0. 0. 0.
30 0.024 0. 0.024 0.012 0. 0.012 0.01 0. 0.01 0. 0. 0.
31 0.026 0. 0.026 0.014 0. 0.014 0.011 0. 0.011 0. 0. 0.
32 0.026 0. 0.026 0.014 0. 0.014 0.012 0. 0.012 0. 0. 0.
33 0.031 0. 0.031 0.017 0. 0.017 0.012 0. 0.012 0. 0. 0.
34 0.03 0. 0.03 0.016 0. 0.016 0.013 0. 0.013 0. 0. 0.
35 0.032 0. 0.032 0.018 0. 0.018 0.014 0. 0.014 0. 0. 0.
36 0.033 0. 0.033 0.018 0. 0.018 0.014 0. 0.014 0. 0. 0.
37 0.038 0. 0.038 0.019 0. 0.019 0.018 0. 0.018 0. 0. 0.
38 0.038 0. 0.038 0.021 0. 0.021 0.016 0. 0.016 0. 0. 0.
39 0.038 0. 0.038 0.021 0. 0.021 0.017 0. 0.017 0. 0. 0.
40 0.043 0. 0.043 0.022 0. 0.022 0.021 0. 0.021 0. 0. 0.
41 0.043 0. 0.043 0.022 0. 0.022 0.021 0. 0.021 0. 0. 0.
42 0.046 0. 0.046 0.026 0. 0.026 0.019 0. 0.019 0. 0. 0.
43 0.049 0. 0.049 0.028 0. 0.028 0.02 0. 0.02 0. 0. 0.
44 0.048 0. 0.048 0.027 0. 0.027 0.021 0. 0.021 0. 0. 0.
45 0.053 0. 0.053 0.028 0. 0.028 0.024 0. 0.024 0. 0. 0.
46 0.053 0. 0.053 0.029 0. 0.029 0.023 0. 0.023 0. 0. 0.
47 0.062 0. 0.057 0.031 0. 0.03 0.03 0. 0.025 0. 0. 0.
48 0.059 0. 0.059 0.031 0. 0.031 0.027 0. 0.027 0. 0. 0.
49 0.064 0. 0.064 0.035 0. 0.035 0.028 0. 0.028 0. 0. 0.
50 0.12 0. 0.12 0.029 0. 0.029 0.09 0. 0.09 0. 0. 0.
51 0.069 0. 0.067 0.04 0. 0.038 0.027 0. 0.027 0. 0. 0.
52 0.067 0. 0.067 0.037 0. 0.037 0.028 0. 0.028 0. 0. 0.
53 0.072 0. 0.072 0.039 0. 0.039 0.032 0. 0.032 0. 0. 0.
54 0.075 0. 0.074 0.041 0. 0.041 0.033 0. 0.032 0. 0. 0.
55 0.075 0.003 0.072 0.043 0.003 0.04 0.031 0. 0.031 0. 0. 0.
56 0.08 0. 0.08 0.042 0. 0.042 0.036 0. 0.036 0. 0. 0.
57 0.081 0. 0.081 0.045 0. 0.045 0.035 0. 0.035 0. 0. 0.
58 0.083 0. 0.083 0.042 0. 0.042 0.04 0. 0.04 0. 0. 0.
59 0.093 0. 0.093 0.049 0. 0.049 0.043 0. 0.043 0. 0. 0.
60 0.09 0. 0.09 0.049 0. 0.049 0.039 0. 0.039 0. 0. 0.
61 0.091 0. 0.091 0.051 0. 0.051 0.038 0. 0.038 0. 0. 0.
62 0.101 0. 0.101 0.056 0. 0.056 0.044 0. 0.044 0. 0. 0.
63 0.103 0. 0.103 0.056 0. 0.056 0.046 0. 0.046 0. 0. 0.
64 0.098 0. 0.098 0.055 0. 0.055 0.042 0. 0.042 0. 0. 0.
65 0.106 0.003 0.102 0.057 0.003 0.053 0.047 0. 0.047 0. 0. 0.
66 0.109 0. 0.109 0.06 0. 0.06 0.048 0. 0.048 0. 0. 0.
67 0.113 0. 0.113 0.062 0. 0.062 0.05 0. 0.05 0. 0. 0.
68 0.117 0. 0.117 0.064 0. 0.064 0.051 0. 0.051 0. 0. 0.
69 0.12 0. 0.12 0.065 0. 0.065 0.054 0. 0.054 0. 0. 0.
70 0.124 0. 0.124 0.067 0. 0.067 0.055 0. 0.055 0. 0. 0.
71 0.13 0. 0.13 0.073 0. 0.073 0.056 0. 0.056 0. 0. 0.
72 0.13 0. 0.13 0.072 0. 0.072 0.056 0. 0.056 0. 0. 0.
73 0.135 0. 0.135 0.076 0. 0.076 0.057 0. 0.057 0. 0. 0.
74 0.138 0. 0.138 0.077 0. 0.077 0.061 0. 0.061 0. 0. 0.
75 0.134 0. 0.134 0.073 0. 0.073 0.059 0. 0.059 0. 0. 0.
76 0.14 0. 0.14 0.072 0. 0.072 0.067 0. 0.067 0. 0. 0.
77 0.14 0. 0.14 0.075 0. 0.075 0.063 0. 0.063 0. 0. 0.
78 0.152 0. 0.152 0.084 0. 0.084 0.066 0. 0.066 0. 0. 0.
79 0.149 0. 0.149 0.082 0. 0.082 0.066 0. 0.066 0. 0. 0.
80 0.154 0. 0.154 0.084 0. 0.084 0.069 0. 0.069 0. 0. 0.
81 0.153 0. 0.153 0.085 0. 0.085 0.067 0. 0.067 0. 0. 0.
82 0.16 0.003 0.156 0.084 0. 0.084 0.075 0.003 0.071 0. 0. 0.
83 0.17 0.003 0.166 0.094 0.003 0.09 0.075 0. 0.075 0. 0. 0.
84 0.17 0. 0.17 0.088 0. 0.088 0.08 0. 0.08 0. 0. 0.
85 0.173 0. 0.173 0.096 0. 0.096 0.073 0. 0.073 0. 0. 0.
86 0.177 0. 0.177 0.098 0. 0.098 0.078 0. 0.078 0. 0. 0.
87 0.185 0.003 0.181 0.098 0. 0.098 0.086 0.003 0.082 0. 0. 0.
88 0.2 0.004 0.196 0.11 0.003 0.106 0.088 0. 0.088 0. 0. 0.
89 0.199 0. 0.199 0.116 0. 0.116 0.082 0. 0.082 0. 0. 0.
90 0.214 0. 0.214 0.124 0. 0.124 0.088 0. 0.088 0. 0. 0.
91 0.209 0.004 0.205 0.119 0. 0.119 0.088 0.004 0.084 0. 0. 0.
92 0.22 0.003 0.216 0.119 0. 0.119 0.099 0.003 0.095 0. 0. 0.
93 0.224 0.004 0.22 0.122 0. 0.122 0.101 0.004 0.097 0. 0. 0.
94 0.219 0. 0.219 0.127 0. 0.127 0.091 0. 0.091 0. 0. 0.
95 0.237 0. 0.237 0.142 0. 0.142 0.093 0. 0.093 0. 0. 0.
96 0.236 0. 0.236 0.138 0. 0.138 0.097 0. 0.097 0. 0. 0.
97 0.23 0. 0.23 0.13 0. 0.13 0.098 0. 0.098 0. 0. 0.
98 0.236 0. 0.236 0.136 0. 0.136 0.098 0. 0.098 0. 0. 0.
99 0.229 0. 0.229 0.121 0. 0.121 0.106 0. 0.106 0. 0. 0.
100 0.239 0. 0.239 0.143 0. 0.143 0.095 0. 0.095 0. 0. 0.
110 0.291 0. 0.291 0.164 0. 0.164 0.126 0. 0.126 0. 0. 0.
120 0.338 0. 0.338 0.185 0. 0.185 0.151 0. 0.151 0. 0. 0.
130 0.4 0. 0.4 0.221 0. 0.221 0.177 0. 0.177 0. 0. 0.
140 0.483 0. 0.483 0.274 0. 0.274 0.203 0. 0.203 0. 0. 0.
150 0.527 0. 0.527 0.298 0. 0.298 0.228 0. 0.228 0. 0. 0.
160 0.654 0. 0.654 0.373 0. 0.373 0.279 0. 0.279 0. 0. 0.
170 0.745 0. 0.745 0.421 0. 0.421 0.323 0. 0.322 0. 0. 0.
180 0.776 0.007 0.769 0.433 0.003 0.429 0.341 0.003 0.337 0. 0. 0.
190 0.854 0.012 0.842 0.47 0. 0.47 0.383 0.011 0.371 0. 0. 0.
200 0.898 0.01 0.887 0.491 0.007 0.483 0.406 0.002 0.403 0. 0. 0.
210 1.07 0. 1.07 0.61 0. 0.61 0.457 0. 0.457 0. 0. 0.
220 1.226 0. 1.226 0.695 0. 0.695 0.528 0. 0.528 0. 0. 0.
230 1.267 0. 1.267 0.697 0. 0.697 0.568 0. 0.568 0. 0. 0.
240 1.383 0.011 1.371 0.765 0.008 0.757 0.617 0.003 0.613 0. 0. 0.
250 1.428 0.007 1.42 0.815 0.003 0.811 0.611 0.003 0.607 0. 0. 0.
260 1.704 0. 1.704 0.965 0. 0.965 0.738 0. 0.738 0. 0. 0.
270 1.739 0. 1.739 0.956 0. 0.956 0.781 0. 0.781 0. 0. 0.
280 1.912 0. 1.912 1.081 0. 1.081 0.829 0. 0.829 0. 0. 0.
290 2.08 0.007 2.072 1.137 0.003 1.134 0.941 0.004 0.937 0. 0. 0.
300 2.086 0.015 2.07 1.141 0.007 1.133 0.944 0.007 0.936 0. 0. 0.
310 2.287 0. 2.287 1.258 0. 1.258 1.027 0. 1.027 0. 0. 0.
320 2.557 0. 2.557 1.437 0. 1.437 1.117 0. 1.117 0. 0. 0.
330 2.906 0.011 2.893 1.731 0. 1.731 1.172 0.011 1.16 0. 0. 0.
340 2.811 0. 2.811 1.504 0. 1.504 1.304 0. 1.304 0. 0. 0.
350 2.848 0.007 2.84 1.619 0. 1.619 1.227 0.007 1.219 0. 0. 0.
360 3.142 0. 3.142 1.777 0. 1.777 1.363 0. 1.363 0. 0. 0.
370 3.23 0.011 3.218 1.715 0.011 1.703 1.513 0. 1.513 0. 0. 0.
380 3.348 0.008 3.34 1.889 0. 1.889 1.456 0.007 1.448 0. 0. 0.
390 3.494 0. 3.493 1.896 0. 1.896 1.595 0. 1.595 0. 0. 0.
400 3.698 0.011 3.686 2.022 0.003 2.018 1.674 0.007 1.666 0. 0. 0.
