param-n autorewrite-noop-regression-linear-real autorewrite-noop-regression-linear-sys autorewrite-noop-regression-linear-user rewrite?-noop-regression-linear-real rewrite?-noop-regression-linear-sys rewrite?-noop-regression-linear-user ssr-rewrite?-noop-regression-linear-real ssr-rewrite?-noop-regression-linear-sys ssr-rewrite?-noop-regression-linear-user
36 0. 0. 0. 0. 0. 0. 0. 0. 0.
37 0. 0. 0. 0. 0. 0. 0. 0. 0.
38 0. 0. 0. 0. 0. 0. 0. 0. 0.
39 0. 0. 0. 0. 0. 0. 0. 0. 0.
40 0. 0. 0. 0. 0. 0. 0. 0. 0.
41 0. 0. 0. 0. 0. 0. 0. 0. 0.
42 0. 0. 0. 0. 0. 0. 0. 0. 0.
43 0. 0. 0. 0. 0. 0. 0. 0. 0.
44 0. 0. 0. 0. 0. 0. 0. 0. 0.
45 0. 0. 0. 0. 0. 0. 0. 0. 0.
46 0. 0. 0. 0. 0. 0. 0. 0. 0.
47 0. 0. 0. 0. 0. 0. 0. 0. 0.
48 0. 0. 0. 0. 0. 0. 0. 0. 0.
49 0. 0. 0. 0. 0. 0. 0. 0. 0.
50 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
51 0. 0. 0. 0. 0. 0. 0. 0. 0.
52 0. 0. 0. 0. 0. 0. 0. 0. 0.
53 0. 0. 0. 0. 0. 0. 0. 0. 0.
54 0. 0. 0. 0. 0. 0. 0. 0. 0.
55 0. 0. 0. 0. 0. 0. 0. 0. 0.
56 0. 0. 0. 0. 0. 0. 0. 0. 0.
57 0. 0. 0. 0. 0. 0. 0. 0. 0.
58 0. 0. 0. 0. 0. 0. 0. 0. 0.
59 0. 0. 0. 0. 0. 0. 0. 0. 0.
60 0. 0. 0. 0. 0. 0. 0. 0. 0.
61 0. 0. 0. 0. 0. 0. 0. 0. 0.
62 0. 0. 0. 0. 0. 0. 0. 0. 0.
63 0. 0. 0. 0. 0. 0. 0. 0. 0.
64 0. 0. 0. 0. 0. 0. 0. 0. 0.
65 0. 0. 0. 0. 0. 0. 0. 0. 0.
66 0. 0. 0. 0. 0. 0. 0. 0. 0.
67 0. 0. 0. 0. 0. 0. 0. 0. 0.
68 0. 0. 0. 0. 0. 0. 0. 0. 0.
69 0. 0. 0. 0. 0. 0. 0. 0. 0.
70 0. 0. 0. 0. 0. 0. 0. 0. 0.
71 0. 0. 0. 0. 0. 0. 0. 0. 0.
72 0. 0. 0. 0. 0. 0. 0. 0. 0.
73 0. 0. 0. 0. 0. 0. 0. 0. 0.
74 0. 0. 0. 0. 0. 0. 0. 0. 0.
75 0. 0. 0. 0. 0. 0. 0. 0. 0.
76 0. 0. 0. 0. 0. 0. 0. 0. 0.
77 0. 0. 0. 0. 0. 0. 0. 0. 0.
78 0. 0. 0. 0. 0. 0. 0. 0. 0.
79 0. 0. 0. 0. 0. 0. 0. 0. 0.
80 0. 0. 0. 0. 0. 0. 0. 0. 0.
81 0. 0. 0. 0. 0. 0. 0. 0. 0.
82 0. 0. 0. 0. 0. 0. 0. 0. 0.
83 0. 0. 0. 0. 0. 0. 0. 0. 0.
84 0. 0. 0. 0. 0. 0. 0. 0. 0.
85 0. 0. 0. 0. 0. 0. 0. 0. 0.
86 0. 0. 0. 0.001 0. 0. 0. 0. 0.
87 0.001 0.001 0. 0. 0. 0. 0. 0. 0.
88 0. 0. 0. 0.001 0. 0.001 0. 0. 0.
89 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
90 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
91 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
92 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
93 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
94 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
95 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
96 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
97 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
98 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
99 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
100 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
101 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
102 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
103 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
104 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
105 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
106 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
107 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
108 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
109 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
110 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
111 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
112 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
113 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
114 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
115 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
116 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
117 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
118 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
119 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
120 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
121 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
122 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
123 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
124 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
125 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
126 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
127 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
128 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
129 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
130 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
131 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
132 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
133 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
134 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
135 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
136 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
137 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
138 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
139 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
140 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
141 0.002 0. 0.002 0.001 0. 0.001 0. 0. 0.
142 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
143 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
144 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
145 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
146 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
147 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
148 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
149 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
150 0.003 0.003 0. 0.003 0. 0.003 0. 0. 0.
151 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
152 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
153 0.001 0. 0.001 0.002 0. 0.002 0. 0. 0.
154 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
155 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
156 0.001 0. 0.001 0.002 0. 0.002 0. 0. 0.
157 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
158 0.001 0. 0.001 0.002 0. 0.002 0. 0. 0.
159 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
160 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
161 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
162 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
163 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
164 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
165 0.002 0. 0.002 0.002 0.002 0. 0. 0. 0.
166 0.002 0. 0.001 0.002 0. 0.002 0. 0. 0.
167 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
168 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
169 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
170 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
171 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
172 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
173 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
174 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
175 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
176 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
177 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
178 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
179 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
180 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
181 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
182 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
183 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
184 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
185 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
186 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
187 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
188 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
189 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
190 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
191 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
192 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
193 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
194 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
195 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
196 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
197 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
198 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
199 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
200 0.004 0. 0.004 0.005 0. 0.005 0. 0. 0.
201 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
202 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
203 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
204 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
205 0.003 0. 0.003 0.002 0. 0.002 0. 0. 0.
206 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
207 0.002 0. 0.002 0.003 0. 0.003 0. 0. 0.
208 0.002 0. 0.002 0.003 0. 0.003 0. 0. 0.
209 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
210 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
211 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
212 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
213 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
214 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
215 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
216 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
217 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
218 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
219 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
220 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
221 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
222 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
223 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
224 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
225 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
226 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
227 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
228 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
229 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
230 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
231 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
232 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
233 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
234 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
235 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
236 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
237 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
238 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
239 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
240 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
241 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
242 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
243 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
244 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
245 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
246 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
247 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
248 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
249 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
250 0.059 0.003 0.055 0.003 0. 0.003 0. 0. 0.
251 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
252 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
253 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
254 0.003 0. 0.003 0.004 0. 0.004 0. 0. 0.
255 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
256 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
257 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
258 0.003 0. 0.003 0.004 0. 0.004 0. 0. 0.
259 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
260 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
261 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
262 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
263 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
264 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
265 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
266 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
267 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
268 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
269 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
270 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
271 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
272 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
273 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
274 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
275 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
276 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
277 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
278 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
279 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
280 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
281 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
282 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
283 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
284 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
285 0.005 0. 0.005 0.004 0. 0.004 0. 0. 0.
286 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
287 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
288 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
289 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
290 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
291 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
292 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
293 0.005 0. 0.005 0.004 0. 0.004 0. 0. 0.
294 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
295 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
296 0.004 0. 0.004 0.005 0. 0.005 0. 0. 0.
297 0.005 0. 0.005 0.004 0. 0.004 0. 0. 0.
298 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
299 0.004 0. 0.004 0.005 0. 0.005 0. 0. 0.
300 0.004 0. 0.004 0.005 0. 0.005 0. 0. 0.
301 0.004 0. 0.004 0.005 0. 0.005 0. 0. 0.
302 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
303 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
304 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
305 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
306 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
307 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
308 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
309 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
310 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
311 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
312 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
313 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
314 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
315 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
316 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
317 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
318 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
319 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
320 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
321 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
322 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
323 0.006 0. 0.006 0.005 0. 0.005 0. 0. 0.
324 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
325 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
326 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
327 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
328 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
329 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
330 0.006 0. 0.006 0.005 0. 0.005 0. 0. 0.
331 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
332 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
333 0.006 0. 0.006 0.005 0. 0.005 0. 0. 0.
334 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
335 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
336 0.005 0. 0.005 0.006 0.003 0.002 0. 0. 0.
337 0.005 0. 0.005 0.006 0. 0.006 0. 0. 0.
338 0.005 0. 0.005 0.006 0. 0.006 0. 0. 0.
339 0.005 0.003 0.001 0.006 0. 0.006 0. 0. 0.
340 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
341 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
342 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
343 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
344 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
345 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
346 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
347 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
348 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
349 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
350 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
351 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
352 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
353 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
354 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
355 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
356 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
357 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
358 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
359 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
360 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
361 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
362 0.007 0. 0.007 0.006 0. 0.006 0. 0. 0.
363 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
364 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
365 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
366 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
367 0.006 0. 0.006 0.007 0. 0.007 0. 0. 0.
368 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
369 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
370 0.006 0. 0.006 0.007 0. 0.007 0. 0. 0.
371 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
372 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
373 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
374 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
375 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
376 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
377 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
378 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
379 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
380 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
381 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
382 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
383 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
384 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
385 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
386 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
387 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
388 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
389 0.007 0. 0.007 0.008 0. 0.008 0. 0. 0.
390 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
391 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
392 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
393 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
394 0.007 0. 0.007 0.008 0. 0.008 0. 0. 0.
395 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
396 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
397 0.007 0. 0.007 0.007 0.003 0.003 0. 0. 0.
398 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
399 0.007 0. 0.007 0.008 0. 0.008 0. 0. 0.
400 0.007 0. 0.007 0.008 0. 0.008 0. 0. 0.
401 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
402 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
403 0.008 0. 0.008 0.007 0. 0.007 0. 0. 0.
404 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
405 0.007 0. 0.007 0.008 0. 0.008 0. 0. 0.
406 0.007 0. 0.007 0.008 0. 0.008 0. 0. 0.
407 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
408 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
409 0.008 0.001 0.006 0.008 0. 0.008 0. 0. 0.
410 0.007 0. 0.007 0.008 0. 0.008 0. 0. 0.
411 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
412 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
413 0.008 0.003 0.004 0.008 0. 0.008 0. 0. 0.
414 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
415 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
416 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
417 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
418 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
419 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
420 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
421 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
422 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
423 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
424 0.008 0. 0.008 0.009 0. 0.009 0. 0. 0.
