param-n abstract+repeat-rewrite-strat-bottomup-regression-cubic-real abstract+repeat-rewrite-strat-bottomup-regression-cubic-sys abstract+repeat-rewrite-strat-bottomup-regression-cubic-user abstract+repeat-rewrite-strat-topdown-regression-cubic-real abstract+repeat-rewrite-strat-topdown-regression-cubic-sys abstract+repeat-rewrite-strat-topdown-regression-cubic-user close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-real close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-sys close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-user close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-real close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-sys close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-user noop-repeat-rewrite-strat-bottomup-real noop-repeat-rewrite-strat-bottomup-sys noop-repeat-rewrite-strat-bottomup-user noop-repeat-rewrite-strat-topdown-real noop-repeat-rewrite-strat-topdown-sys noop-repeat-rewrite-strat-topdown-user repeat-rewrite-strat-bottomup-regression-cubic-real repeat-rewrite-strat-bottomup-regression-cubic-sys repeat-rewrite-strat-bottomup-regression-cubic-user repeat-rewrite-strat-topdown-regression-cubic-real repeat-rewrite-strat-topdown-regression-cubic-sys repeat-rewrite-strat-topdown-regression-cubic-user
10 0.151 0.024 0.127 0.146 0.031 0.114 0.003 0. 0.003 0.003 0. 0.003 0.004 0. 0.004 0.004 0. 0.004 0.143 0.023 0.119 0.138 0.031 0.106
11 0.103 0. 0.103 0.099 0. 0.099 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.094 0. 0.094 0.09 0. 0.09
12 0.126 0. 0.126 0.12 0. 0.12 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005 0.005 0. 0.005 0.115 0. 0.115 0.109 0. 0.109
13 0.148 0. 0.148 0.143 0. 0.143 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006 0.135 0. 0.135 0.132 0. 0.131
14 0.176 0. 0.176 0.169 0. 0.169 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007 0.006 0. 0.006 0.161 0. 0.161 0.156 0. 0.156
15 0.207 0. 0.207 0.2 0. 0.199 0.006 0. 0.006 0.007 0. 0.007 0.007 0. 0.007 0.007 0. 0.007 0.192 0. 0.192 0.185 0. 0.184
16 0.241 0. 0.241 0.232 0. 0.231 0.007 0. 0.007 0.007 0. 0.007 0.008 0. 0.008 0.008 0. 0.008 0.224 0. 0.224 0.215 0. 0.215
17 0.279 0. 0.279 0.269 0. 0.269 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009 0.009 0. 0.009 0.261 0. 0.261 0.251 0. 0.251
18 0.325 0. 0.325 0.311 0. 0.311 0.009 0. 0.009 0.008 0. 0.008 0.01 0. 0.01 0.01 0. 0.01 0.304 0. 0.304 0.292 0. 0.292
19 0.372 0. 0.372 0.359 0. 0.359 0.009 0. 0.009 0.01 0. 0.01 0.011 0. 0.011 0.011 0. 0.011 0.351 0. 0.351 0.338 0. 0.337
20 0.435 0. 0.435 0.418 0. 0.417 0.011 0. 0.011 0.011 0. 0.011 0.012 0. 0.012 0.012 0. 0.012 0.411 0. 0.411 0.394 0. 0.393
21 0.486 0.003 0.483 0.465 0. 0.465 0.012 0. 0.012 0.011 0. 0.011 0.013 0. 0.013 0.013 0. 0.013 0.46 0.002 0.457 0.44 0. 0.439
22 0.551 0. 0.551 0.532 0. 0.532 0.013 0. 0.013 0.013 0. 0.013 0.014 0. 0.014 0.014 0. 0.014 0.523 0. 0.523 0.504 0. 0.503
23 0.625 0.003 0.621 0.605 0. 0.605 0.014 0. 0.014 0.012 0. 0.012 0.016 0. 0.016 0.016 0. 0.016 0.594 0.003 0.59 0.575 0. 0.575
24 0.706 0. 0.706 0.684 0. 0.683 0.015 0. 0.015 0.014 0. 0.013 0.017 0. 0.017 0.017 0. 0.017 0.672 0. 0.672 0.652 0. 0.652
25 0.797 0.003 0.794 0.777 0. 0.776 0.016 0. 0.016 0.015 0. 0.015 0.019 0. 0.019 0.019 0. 0.019 0.761 0.003 0.758 0.742 0. 0.741
30 1.402 0. 1.4 1.366 0. 1.366 0.022 0. 0.022 0.022 0. 0.022 0.028 0. 0.028 0.028 0. 0.027 1.348 0. 1.348 1.316 0. 1.316
35 2.25 0. 2.25 2.188 0. 2.185 0.026 0. 0.026 0.027 0. 0.027 0.042 0. 0.042 0.039 0. 0.039 2.181 0. 2.181 2.121 0. 2.118
40 3.52 0.003 3.516 3.495 0. 3.495 0.033 0. 0.033 0.034 0. 0.034 0.055 0. 0.055 0.056 0. 0.056 3.43 0.003 3.426 3.404 0. 3.404
45 5.273 0.003 5.263 5.131 0. 5.118 0.042 0. 0.042 0.041 0. 0.041 0.073 0. 0.073 0.073 0. 0.073 5.157 0.003 5.147 5.016 0. 5.003
50 7.622 0. 7.622 7.431 0.003 7.417 0.05 0. 0.05 0.049 0. 0.049 0.095 0. 0.095 0.096 0. 0.096 7.475 0. 7.475 7.285 0.003 7.27
