param-n abstract-regression-cubic-real abstract-regression-cubic-sys abstract-regression-cubic-user close-abstract-regression-cubic-real close-abstract-regression-cubic-sys close-abstract-regression-cubic-user fast-rewrite-regression-cubic-real fast-rewrite-regression-cubic-sys fast-rewrite-regression-cubic-user pose-build-and-refine-regression-cubic-real pose-build-and-refine-regression-cubic-sys pose-build-and-refine-regression-cubic-user refine-regression-quadratic-regression-linear-real refine-regression-quadratic-regression-linear-sys refine-regression-quadratic-regression-linear-user
38 0.007 0. 0.007 0.002 0. 0.002 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
39 0.007 0. 0.007 0.002 0. 0.002 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
40 0.008 0. 0.008 0.002 0. 0.002 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
41 0.008 0. 0.008 0.002 0. 0.002 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
42 0.008 0. 0.008 0.002 0. 0.002 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
43 0.008 0. 0.008 0.002 0. 0.002 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
44 0.008 0. 0.008 0.002 0. 0.002 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
45 0.01 0. 0.01 0.002 0. 0.002 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
46 0.009 0. 0.009 0.002 0. 0.002 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
47 0.009 0. 0.009 0.003 0. 0.003 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
48 0.01 0. 0.01 0.003 0. 0.003 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
49 0.01 0. 0.01 0.003 0. 0.003 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
50 0.015 0. 0.015 0.004 0. 0.004 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
51 0.011 0. 0.011 0.003 0. 0.003 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
52 0.013 0. 0.013 0.003 0. 0.003 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
53 0.011 0. 0.011 0.003 0. 0.003 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
54 0.011 0. 0.011 0.003 0. 0.003 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
55 0.011 0. 0.011 0.003 0. 0.003 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
56 0.012 0. 0.012 0.004 0. 0.004 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
57 0.014 0. 0.014 0.004 0. 0.004 0.01 0. 0.01 0.01 0. 0.01 0.002 0. 0.002
58 0.013 0. 0.013 0.004 0. 0.004 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
59 0.013 0. 0.013 0.004 0. 0.004 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
60 0.013 0. 0.013 0.004 0. 0.004 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
61 0.013 0. 0.013 0.004 0. 0.004 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
62 0.018 0. 0.018 0.004 0. 0.004 0.013 0. 0.013 0.013 0. 0.013 0. 0. 0.
63 0.014 0. 0.014 0.005 0. 0.005 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
64 0.014 0. 0.014 0.005 0. 0.005 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
65 0.014 0. 0.014 0.005 0. 0.005 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
66 0.015 0. 0.015 0.005 0. 0.005 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
67 0.017 0. 0.017 0.005 0. 0.005 0.011 0. 0.011 0.011 0. 0.011 0. 0. 0.
68 0.016 0. 0.016 0.005 0. 0.005 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
69 0.016 0. 0.016 0.005 0. 0.005 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
70 0.016 0. 0.016 0.005 0. 0.005 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
71 0.019 0. 0.019 0.006 0. 0.006 0.012 0. 0.012 0.012 0. 0.012 0. 0. 0.
72 0.017 0. 0.017 0.006 0. 0.006 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
73 0.017 0. 0.017 0.006 0. 0.006 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
74 0.017 0. 0.017 0.006 0. 0.006 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
75 0.019 0.003 0.015 0.006 0. 0.006 0.012 0.003 0.008 0.012 0.003 0.008 0. 0. 0.
76 0.018 0. 0.018 0.007 0. 0.007 0.011 0. 0.011 0.01 0. 0.01 0. 0. 0.
77 0.018 0. 0.018 0.007 0. 0.007 0.011 0. 0.011 0.011 0. 0.011 0. 0. 0.
78 0.021 0. 0.021 0.008 0. 0.008 0.012 0. 0.012 0.012 0. 0.012 0. 0. 0.
79 0.019 0. 0.019 0.007 0. 0.007 0.011 0. 0.011 0.011 0. 0.011 0. 0. 0.
80 0.02 0. 0.02 0.007 0. 0.007 0.011 0. 0.011 0.011 0. 0.011 0. 0. 0.
81 0.02 0. 0.02 0.008 0. 0.008 0.011 0. 0.011 0.011 0. 0.011 0. 0. 0.
82 0.023 0. 0.023 0.008 0. 0.008 0.014 0. 0.014 0.014 0. 0.014 0. 0. 0.
83 0.021 0. 0.021 0.008 0. 0.008 0.012 0. 0.012 0.012 0. 0.012 0.001 0. 0.001
84 0.021 0. 0.021 0.008 0. 0.008 0.012 0. 0.012 0.012 0. 0.012 0.001 0. 0.001
85 0.024 0. 0.024 0.011 0. 0.011 0.012 0. 0.012 0.012 0. 0.012 0.001 0. 0.001
86 0.022 0. 0.022 0.008 0. 0.008 0.013 0. 0.013 0.013 0. 0.013 0.001 0. 0.001
87 0.022 0. 0.022 0.009 0. 0.009 0.012 0. 0.012 0.012 0. 0.012 0.001 0. 0.001
88 0.024 0.003 0.02 0.01 0.003 0.006 0.013 0. 0.013 0.013 0. 0.013 0.001 0. 0.001
89 0.023 0. 0.023 0.009 0. 0.009 0.013 0. 0.013 0.013 0. 0.013 0.001 0. 0.001
90 0.024 0. 0.024 0.009 0. 0.009 0.014 0. 0.014 0.013 0. 0.013 0.001 0. 0.001
91 0.025 0. 0.025 0.01 0. 0.01 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
92 0.025 0. 0.025 0.01 0. 0.01 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
93 0.025 0. 0.025 0.01 0. 0.01 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
94 0.027 0. 0.027 0.011 0. 0.011 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
95 0.026 0. 0.026 0.011 0. 0.011 0.015 0. 0.015 0.015 0. 0.015 0.001 0. 0.001
96 0.026 0. 0.026 0.011 0. 0.011 0.014 0. 0.014 0.014 0. 0.014 0.001 0. 0.001
97 0.029 0. 0.029 0.013 0. 0.013 0.015 0. 0.015 0.015 0. 0.015 0.001 0. 0.001
98 0.028 0. 0.028 0.011 0. 0.011 0.015 0. 0.015 0.015 0. 0.015 0.001 0. 0.001
99 0.028 0. 0.028 0.012 0. 0.012 0.015 0. 0.015 0.015 0. 0.015 0.001 0. 0.001
100 0.091 0.019 0.071 0.068 0.012 0.056 0.022 0.007 0.015 0.022 0.007 0.015 0.001 0. 0.001
110 0.036 0. 0.036 0.015 0. 0.015 0.02 0. 0.02 0.02 0. 0.02 0.001 0. 0.001
120 0.039 0. 0.039 0.018 0. 0.018 0.02 0. 0.02 0.019 0. 0.019 0.001 0. 0.001
130 0.059 0. 0.059 0.021 0. 0.021 0.037 0. 0.037 0.037 0. 0.037 0.001 0. 0.001
140 0.063 0. 0.063 0.026 0. 0.026 0.036 0. 0.036 0.036 0. 0.036 0.001 0. 0.001
150 0.065 0. 0.065 0.03 0. 0.03 0.034 0. 0.034 0.034 0. 0.034 0.001 0. 0.001
160 0.084 0. 0.084 0.037 0. 0.037 0.046 0. 0.046 0.046 0. 0.046 0.001 0. 0.001
170 0.098 0.002 0.095 0.043 0. 0.043 0.053 0.002 0.051 0.053 0.002 0.051 0.001 0. 0.001
180 0.109 0. 0.109 0.05 0. 0.05 0.057 0. 0.057 0.057 0. 0.057 0.001 0. 0.001
190 0.126 0.003 0.122 0.058 0. 0.058 0.067 0.003 0.063 0.067 0.003 0.063 0.001 0. 0.001
200 0.143 0.003 0.138 0.066 0. 0.066 0.076 0.003 0.071 0.076 0.003 0.071 0.002 0. 0.002
210 0.157 0. 0.157 0.076 0. 0.076 0.08 0. 0.08 0.08 0. 0.08 0.002 0. 0.002
220 0.157 0.007 0.149 0.087 0. 0.087 0.069 0.007 0.061 0.069 0.007 0.061 0.002 0. 0.002
230 0.176 0.004 0.172 0.099 0. 0.098 0.076 0.003 0.072 0.076 0.003 0.072 0.002 0. 0.002
240 0.196 0.003 0.192 0.113 0. 0.113 0.082 0.003 0.078 0.082 0.003 0.078 0.002 0. 0.002
250 0.227 0. 0.227 0.125 0. 0.125 0.101 0. 0.101 0.101 0. 0.101 0.002 0. 0.002
260 0.24 0.003 0.236 0.143 0.003 0.139 0.095 0. 0.095 0.095 0. 0.095 0.002 0. 0.002
270 0.288 0. 0.288 0.159 0. 0.159 0.128 0. 0.128 0.128 0. 0.128 0.002 0. 0.002
280 0.309 0.007 0.301 0.177 0.003 0.173 0.131 0.003 0.127 0.131 0.003 0.127 0.002 0. 0.002
290 0.336 0. 0.336 0.195 0. 0.195 0.14 0. 0.14 0.14 0. 0.14 0.003 0. 0.003
300 0.357 0. 0.357 0.214 0. 0.214 0.142 0. 0.142 0.142 0. 0.142 0.003 0. 0.003
310 0.359 0.003 0.355 0.237 0. 0.237 0.12 0.003 0.116 0.12 0.003 0.116 0.003 0. 0.003
320 0.387 0.003 0.383 0.259 0. 0.259 0.126 0.003 0.122 0.126 0.003 0.122 0.003 0. 0.003
330 0.422 0. 0.422 0.286 0. 0.286 0.135 0. 0.135 0.135 0. 0.135 0.003 0. 0.003
340 0.478 0. 0.478 0.314 0. 0.314 0.163 0. 0.163 0.163 0. 0.163 0.003 0. 0.003
350 0.495 0.01 0.484 0.334 0.004 0.33 0.159 0.006 0.153 0.159 0.006 0.153 0.003 0. 0.003
360 0.575 0. 0.575 0.377 0. 0.377 0.196 0. 0.196 0.196 0. 0.196 0.004 0. 0.004
370 0.582 0.003 0.578 0.406 0.003 0.402 0.175 0. 0.175 0.175 0. 0.175 0.004 0. 0.004
380 0.606 0. 0.606 0.435 0. 0.435 0.17 0. 0.17 0.17 0. 0.17 0.004 0. 0.004
390 0.671 0. 0.671 0.49 0. 0.49 0.18 0. 0.18 0.18 0. 0.18 0.004 0. 0.004
400 0.71 0.007 0.703 0.525 0.003 0.521 0.185 0.003 0.181 0.185 0.003 0.181 0.004 0. 0.004
500 1.315 0. 1.315 1.002 0. 1.002 0.311 0. 0.311 0.311 0. 0.311 0.005 0. 0.005
600 2.106 0. 2.105 1.761 0. 1.761 0.343 0. 0.343 0.343 0. 0.343 0.006 0. 0.006
700 3.504 0.015 3.488 2.863 0.015 2.847 0.64 0. 0.64 0.64 0. 0.64 0.008 0. 0.008
800 4.958 0.024 4.934 4.354 0.011 4.342 0.602 0.012 0.59 0.602 0.012 0.59 0.009 0. 0.009
900 7.242 0. 7.242 6.397 0. 6.397 0.843 0. 0.843 0.843 0. 0.843 0.011 0. 0.011
1000 10.177 0.011 10.165 9.185 0.011 9.173 0.99 0. 0.99 0.99 0. 0.99 0.012 0. 0.012
