param-n pattern-real pattern-sys pattern-user
89 0.001 0. 0.001
90 0.001 0. 0.001
91 0.001 0. 0.001
92 0.001 0. 0.001
93 0.001 0. 0.001
94 0.001 0. 0.001
95 0.001 0. 0.001
96 0.001 0. 0.001
97 0.001 0. 0.001
98 0.001 0. 0.001
99 0.001 0. 0.001
100 0.001 0. 0.001
101 0.001 0. 0.001
102 0.001 0. 0.001
103 0.001 0. 0.001
104 0.001 0. 0.001
105 0.001 0. 0.001
106 0.001 0. 0.001
107 0.001 0. 0.001
108 0.001 0. 0.001
109 0.002 0. 0.002
110 0.001 0. 0.001
111 0.002 0. 0.002
112 0.002 0. 0.002
113 0.002 0. 0.002
114 0.002 0. 0.002
115 0.002 0. 0.002
116 0.002 0. 0.002
117 0.002 0. 0.002
118 0.002 0. 0.002
119 0.002 0. 0.002
120 0.002 0. 0.002
121 0.002 0. 0.002
122 0.002 0. 0.002
123 0.002 0. 0.002
124 0.002 0. 0.002
125 0.002 0. 0.002
126 0.002 0. 0.002
127 0.002 0. 0.002
128 0.002 0. 0.002
129 0.002 0. 0.002
130 0.002 0. 0.002
131 0.002 0. 0.002
132 0.002 0. 0.002
133 0.002 0. 0.002
134 0.002 0. 0.002
135 0.002 0. 0.002
136 0.003 0. 0.003
137 0.002 0. 0.002
138 0.002 0. 0.002
139 0.002 0. 0.002
140 0.002 0. 0.002
141 0.002 0. 0.002
142 0.002 0. 0.002
143 0.002 0. 0.002
144 0.002 0. 0.002
145 0.002 0. 0.002
146 0.002 0. 0.002
147 0.002 0. 0.002
148 0.002 0. 0.002
149 0.002 0. 0.002
150 0.002 0. 0.002
151 0.002 0. 0.002
152 0.002 0. 0.002
153 0.002 0. 0.002
154 0.002 0. 0.002
155 0.002 0. 0.002
156 0.002 0. 0.002
157 0.002 0. 0.002
158 0.003 0. 0.003
159 0.002 0. 0.002
160 0.002 0. 0.002
161 0.002 0. 0.002
162 0.002 0. 0.002
163 0.002 0. 0.002
164 0.002 0. 0.002
165 0.003 0. 0.003
166 0.003 0. 0.003
167 0.002 0. 0.002
168 0.002 0. 0.002
169 0.003 0. 0.003
170 0.002 0. 0.002
171 0.003 0. 0.003
172 0.003 0. 0.003
173 0.003 0. 0.003
174 0.003 0. 0.003
175 0.003 0. 0.003
176 0.003 0. 0.003
177 0.003 0. 0.003
178 0.004 0. 0.004
179 0.003 0. 0.003
180 0.003 0. 0.003
181 0.003 0. 0.003
182 0.003 0. 0.003
183 0.003 0. 0.003
184 0.003 0. 0.003
185 0.003 0. 0.003
186 0.003 0. 0.003
187 0.003 0. 0.003
188 0.003 0. 0.003
189 0.003 0. 0.003
190 0.003 0. 0.003
191 0.003 0. 0.003
192 0.003 0. 0.003
193 0.003 0. 0.003
194 0.003 0. 0.003
195 0.003 0. 0.003
196 0.003 0. 0.003
197 0.003 0. 0.003
198 0.003 0. 0.003
199 0.003 0. 0.003
200 0.003 0. 0.003
201 0.003 0. 0.003
202 0.003 0. 0.003
203 0.003 0. 0.003
204 0.003 0. 0.003
205 0.003 0. 0.003
206 0.003 0. 0.003
207 0.003 0. 0.003
208 0.003 0. 0.003
209 0.003 0. 0.003
210 0.003 0. 0.003
211 0.003 0. 0.003
212 0.003 0. 0.003
213 0.004 0. 0.004
214 0.003 0. 0.003
215 0.003 0. 0.003
216 0.003 0. 0.003
217 0.003 0. 0.003
218 0.003 0. 0.003
219 0.003 0. 0.003
220 0.003 0. 0.003
221 0.004 0. 0.004
222 0.003 0. 0.003
223 0.003 0. 0.003
224 0.003 0. 0.003
225 0.003 0. 0.003
226 0.003 0. 0.003
227 0.003 0. 0.003
228 0.005 0. 0.005
229 0.003 0. 0.003
230 0.003 0. 0.003
231 0.004 0. 0.004
232 0.004 0. 0.004
233 0.004 0. 0.004
234 0.004 0. 0.004
235 0.004 0. 0.004
236 0.004 0. 0.004
237 0.004 0. 0.004
238 0.004 0. 0.004
239 0.004 0. 0.004
240 0.004 0. 0.004
241 0.004 0. 0.004
242 0.004 0. 0.004
243 0.005 0. 0.005
244 0.004 0. 0.004
245 0.004 0. 0.004
246 0.004 0. 0.004
247 0.004 0. 0.004
248 0.004 0. 0.004
249 0.004 0. 0.004
250 0.004 0. 0.004
251 0.004 0. 0.004
252 0.004 0. 0.004
253 0.004 0. 0.004
254 0.004 0. 0.004
255 0.004 0. 0.004
256 0.004 0. 0.004
257 0.004 0. 0.004
258 0.004 0. 0.004
259 0.004 0. 0.004
260 0.004 0. 0.004
261 0.004 0. 0.004
262 0.004 0. 0.004
263 0.005 0. 0.005
264 0.004 0. 0.004
265 0.004 0. 0.004
266 0.004 0. 0.004
267 0.004 0. 0.004
268 0.004 0. 0.004
269 0.004 0. 0.004
270 0.004 0. 0.004
271 0.004 0. 0.004
272 0.004 0. 0.004
273 0.004 0. 0.004
274 0.004 0. 0.004
275 0.004 0. 0.004
276 0.005 0. 0.005
277 0.004 0. 0.004
278 0.004 0. 0.004
279 0.004 0. 0.004
280 0.004 0. 0.004
281 0.004 0. 0.004
282 0.006 0. 0.006
283 0.005 0. 0.005
284 0.005 0. 0.005
285 0.005 0. 0.005
286 0.005 0. 0.005
287 0.005 0. 0.005
288 0.005 0. 0.005
289 0.004 0. 0.004
290 0.004 0. 0.004
291 0.004 0. 0.004
292 0.005 0. 0.005
293 0.005 0. 0.005
294 0.007 0. 0.007
295 0.005 0. 0.005
296 0.005 0. 0.005
297 0.005 0. 0.005
298 0.005 0. 0.005
299 0.005 0. 0.005
300 0.005 0. 0.005
301 0.005 0. 0.005
302 0.005 0. 0.005
303 0.005 0. 0.005
304 0.005 0. 0.005
305 0.005 0. 0.005
306 0.005 0. 0.005
307 0.005 0. 0.005
308 0.005 0. 0.005
309 0.005 0. 0.005
310 0.005 0. 0.005
311 0.006 0. 0.006
312 0.005 0. 0.005
313 0.005 0. 0.005
314 0.005 0. 0.005
315 0.005 0. 0.005
316 0.005 0. 0.005
317 0.005 0. 0.005
318 0.005 0. 0.005
319 0.005 0. 0.005
320 0.005 0. 0.005
321 0.005 0. 0.005
322 0.006 0. 0.006
323 0.005 0. 0.005
324 0.005 0. 0.005
325 0.005 0. 0.005
326 0.005 0. 0.005
327 0.007 0. 0.007
328 0.005 0. 0.005
329 0.005 0. 0.005
330 0.005 0. 0.005
331 0.005 0. 0.005
332 0.005 0. 0.005
333 0.005 0. 0.005
334 0.005 0. 0.005
335 0.005 0.002 0.003
336 0.005 0. 0.005
337 0.005 0. 0.005
338 0.008 0. 0.008
339 0.005 0. 0.005
340 0.006 0. 0.006
341 0.006 0. 0.006
342 0.006 0. 0.006
343 0.006 0. 0.006
344 0.005 0. 0.005
345 0.005 0. 0.005
346 0.005 0. 0.005
347 0.006 0. 0.006
348 0.007 0. 0.007
349 0.006 0. 0.006
350 0.006 0. 0.006
351 0.006 0. 0.006
352 0.005 0. 0.005
353 0.006 0. 0.006
354 0.006 0. 0.006
355 0.006 0. 0.006
356 0.006 0. 0.006
357 0.006 0. 0.006
358 0.007 0. 0.007
359 0.006 0. 0.006
360 0.006 0. 0.006
361 0.006 0. 0.006
362 0.006 0. 0.006
363 0.006 0. 0.006
364 0.006 0. 0.006
365 0.006 0. 0.006
366 0.006 0. 0.006
367 0.007 0. 0.007
368 0.006 0. 0.006
369 0.006 0. 0.006
370 0.006 0. 0.006
371 0.006 0. 0.006
372 0.008 0. 0.008
373 0.006 0. 0.006
374 0.006 0. 0.006
375 0.006 0. 0.006
376 0.006 0. 0.006
377 0.009 0. 0.009
378 0.006 0. 0.006
379 0.006 0. 0.006
380 0.006 0. 0.006
381 0.007 0. 0.007
382 0.006 0. 0.006
383 0.006 0. 0.006
384 0.006 0. 0.006
385 0.007 0. 0.007
386 0.008 0. 0.008
387 0.007 0. 0.007
388 0.006 0. 0.006
389 0.006 0. 0.006
390 0.007 0. 0.007
391 0.006 0. 0.006
392 0.007 0. 0.007
393 0.007 0. 0.007
394 0.007 0. 0.007
395 0.009 0.002 0.006
396 0.007 0. 0.007
397 0.007 0. 0.007
398 0.007 0. 0.007
399 0.007 0. 0.007
400 0.006 0. 0.006
401 0.006 0. 0.006
402 0.006 0. 0.006
403 0.008 0. 0.008
404 0.007 0. 0.007
405 0.007 0. 0.007
406 0.007 0. 0.007
407 0.007 0. 0.007
408 0.007 0. 0.007
409 0.007 0. 0.007
410 0.007 0. 0.007
411 0.007 0. 0.007
412 0.008 0. 0.008
413 0.007 0. 0.007
414 0.007 0. 0.007
415 0.007 0. 0.007
416 0.008 0. 0.008
417 0.007 0. 0.007
418 0.007 0. 0.007
419 0.007 0. 0.007
420 0.009 0. 0.009
421 0.007 0. 0.007
422 0.007 0. 0.007
423 0.007 0. 0.007
424 0.007 0. 0.007
425 0.007 0. 0.007
426 0.007 0. 0.007
427 0.008 0. 0.008
428 0.007 0. 0.007
429 0.008 0. 0.008
430 0.007 0. 0.007
431 0.007 0. 0.007
432 0.007 0. 0.007
433 0.008 0. 0.008
434 0.007 0. 0.007
435 0.007 0. 0.007
436 0.007 0. 0.007
437 0.008 0. 0.008
438 0.007 0. 0.007
439 0.007 0. 0.007
440 0.008 0. 0.008
441 0.008 0. 0.008
442 0.008 0. 0.008
443 0.008 0. 0.008
444 0.007 0. 0.007
445 0.008 0. 0.008
446 0.007 0. 0.007
447 0.008 0.002 0.005
448 0.008 0. 0.008
449 0.007 0. 0.007
450 0.008 0. 0.008
451 0.008 0. 0.008
452 0.009 0. 0.009
453 0.008 0. 0.008
454 0.007 0. 0.007
455 0.007 0. 0.007
456 0.009 0. 0.009
457 0.008 0.003 0.004
458 0.008 0. 0.008
459 0.008 0. 0.008
460 0.01 0. 0.01
461 0.008 0. 0.008
462 0.008 0. 0.008
463 0.008 0. 0.008
464 0.008 0. 0.008
465 0.008 0. 0.008
466 0.008 0. 0.008
467 0.008 0. 0.008
468 0.01 0. 0.01
469 0.008 0. 0.008
470 0.008 0. 0.008
471 0.01 0. 0.01
472 0.008 0. 0.008
473 0.008 0. 0.008
474 0.008 0. 0.008
475 0.012 0. 0.012
476 0.008 0. 0.008
477 0.008 0. 0.008
478 0.008 0. 0.008
479 0.009 0. 0.009
480 0.008 0. 0.008
481 0.008 0. 0.008
482 0.01 0. 0.01
483 0.008 0. 0.008
484 0.008 0. 0.008
485 0.008 0.002 0.006
486 0.009 0. 0.009
487 0.008 0. 0.008
488 0.008 0. 0.008
489 0.008 0. 0.008
490 0.01 0. 0.01
491 0.008 0. 0.008
492 0.009 0. 0.009
493 0.01 0. 0.01
494 0.008 0. 0.008
495 0.008 0. 0.008
496 0.008 0. 0.008
497 0.011 0. 0.011
498 0.009 0. 0.009
499 0.008 0. 0.008
500 0.01 0. 0.01
600 0.067 0.003 0.063
700 0.012 0. 0.012
800 0.018 0. 0.018
900 0.017 0. 0.017
1000 0.022 0. 0.022
1100 0.021 0. 0.021
1200 0.026 0. 0.026
1300 0.032 0. 0.032
1400 0.028 0. 0.028
1500 0.03 0. 0.03
1600 0.036 0. 0.036
1700 0.035 0. 0.035
1800 0.04 0. 0.04
1900 0.041 0. 0.041
2000 0.047 0. 0.047
2100 0.043 0. 0.043
2200 0.047 0.003 0.044
2300 0.055 0. 0.055
2400 0.051 0. 0.051
2500 0.064 0. 0.064
2600 0.063 0. 0.063
2700 0.059 0. 0.058
2800 0.061 0. 0.061
2900 0.072 0. 0.072
3000 0.076 0. 0.076
3100 0.069 0. 0.069
3200 0.066 0. 0.066
3300 0.069 0.003 0.065
3400 0.074 0. 0.074
3500 0.077 0. 0.077
3600 0.082 0. 0.082
3700 0.079 0. 0.079
3800 0.083 0.003 0.079
3900 0.081 0. 0.081
4000 0.082 0. 0.082
4100 0.095 0. 0.095
4200 0.099 0. 0.099
4300 0.099 0. 0.099
4400 0.109 0. 0.109
4500 0.1 0. 0.1
4600 0.117 0.007 0.109
4700 0.114 0. 0.114
4800 0.106 0.003 0.102
4900 0.144 0. 0.144
5000 0.124 0. 0.124
5100 0.138 0. 0.138
5200 0.108 0.003 0.104
5300 0.117 0. 0.117
5400 0.12 0. 0.12
5500 0.126 0. 0.126
5600 0.129 0. 0.129
5700 0.123 0.003 0.119
5800 0.127 0. 0.127
5900 0.14 0. 0.14
6000 0.118 0. 0.118
6100 0.147 0. 0.147
6200 0.144 0. 0.144
6300 0.149 0. 0.149
6400 0.148 0. 0.148
6500 0.147 0. 0.146
6600 0.146 0. 0.146
6700 0.145 0. 0.145
6800 0.142 0. 0.142
6900 0.146 0. 0.146
7000 0.145 0. 0.145
7100 0.145 0. 0.145
7200 0.145 0. 0.145
7300 0.143 0. 0.143
7400 0.159 0. 0.159
7500 0.156 0. 0.156
7600 0.162 0. 0.162
7700 0.165 0. 0.165
7800 0.166 0. 0.166
7900 0.169 0. 0.169
8000 0.176 0. 0.176
8100 0.182 0. 0.182
8200 0.185 0. 0.185
8300 0.195 0. 0.195
8400 0.198 0. 0.198
8500 0.206 0.004 0.202
8600 0.213 0. 0.213
8700 0.216 0. 0.216
8800 0.221 0. 0.221
8900 0.232 0. 0.231
9000 0.239 0. 0.239
9100 0.235 0. 0.235
9200 0.239 0. 0.239
9300 0.238 0. 0.238
9400 0.239 0. 0.239
9500 0.241 0. 0.241
9600 0.242 0. 0.242
9700 0.233 0. 0.233
9800 0.237 0. 0.237
9900 0.247 0. 0.247
10000 0.25 0. 0.25
10100 0.258 0. 0.258
10200 0.286 0. 0.286
10300 0.293 0. 0.293
10400 0.298 0. 0.298
10500 0.306 0. 0.306
10600 0.308 0. 0.308
10700 0.302 0. 0.302
10800 0.308 0. 0.308
10900 0.304 0. 0.304
11000 0.308 0. 0.308
11100 0.316 0. 0.316
11200 0.31 0. 0.31
11300 0.319 0. 0.319
11400 0.316 0.003 0.312
11500 0.322 0. 0.322
11600 0.319 0. 0.318
11700 0.323 0. 0.323
11800 0.327 0. 0.327
11900 0.328 0. 0.328
12000 0.331 0. 0.331
12100 0.332 0. 0.332
12200 0.347 0. 0.347
12300 0.351 0. 0.351
12400 0.359 0. 0.359
12500 0.36 0. 0.36
12600 0.359 0. 0.359
12700 0.349 0. 0.349
12800 0.349 0. 0.349
12900 0.358 0. 0.358
13000 0.354 0. 0.354
13100 0.355 0. 0.355
13200 0.352 0. 0.352
13300 0.352 0. 0.352
13400 0.355 0. 0.355
13500 0.355 0. 0.355
13600 0.342 0. 0.342
13700 0.338 0. 0.338
13800 0.332 0. 0.332
13900 0.327 0. 0.327
14000 0.321 0. 0.321
14100 0.319 0. 0.319
14200 0.359 0. 0.359
14300 0.334 0. 0.334
14400 0.324 0. 0.324
14500 0.314 0. 0.314
14600 0.298 0. 0.298
14700 0.295 0. 0.295
14800 0.313 0. 0.313
14900 0.317 0. 0.317
15000 0.321 0. 0.321
15100 0.328 0. 0.328
15200 0.33 0. 0.33
15300 0.334 0. 0.334
15400 0.338 0. 0.338
15500 0.343 0. 0.343
15600 0.347 0. 0.347
15700 0.352 0. 0.352
15800 0.356 0. 0.356
15900 0.359 0. 0.359
16000 0.365 0. 0.365
16100 0.371 0. 0.371
16200 0.38 0. 0.38
16300 0.386 0. 0.386
16400 0.393 0. 0.393
16500 0.4 0. 0.4
16600 0.407 0. 0.407
16700 0.412 0. 0.412
16800 0.419 0. 0.419
16900 0.427 0. 0.427
17000 0.434 0. 0.434
17100 0.441 0. 0.441
17200 0.448 0. 0.448
17300 0.455 0. 0.455
17400 0.461 0. 0.461
17500 0.47 0. 0.47
17600 0.475 0. 0.475
17700 0.483 0. 0.483
17800 0.492 0. 0.492
17900 0.499 0. 0.499
18000 0.503 0. 0.503
18100 0.507 0. 0.507
18200 0.511 0. 0.51
18300 0.517 0. 0.517
18400 0.518 0. 0.518
18500 0.515 0. 0.515
18600 0.481 0. 0.481
18700 0.481 0. 0.481
18800 0.48 0. 0.48
18900 0.48 0. 0.48
19000 0.48 0. 0.48
19100 0.48 0. 0.48
19200 0.478 0. 0.478
19300 0.48 0. 0.48
19400 0.479 0. 0.479
19500 0.479 0. 0.479
19600 0.48 0. 0.48
19700 0.481 0. 0.481
19800 0.516 0. 0.515
19900 0.519 0. 0.518
20000 0.521 0. 0.52
