param-a-n param-fact-n abstract-unify-beta-iota-fast-real abstract-unify-beta-iota-fast-sys abstract-unify-beta-iota-fast-user abstract-unify-beta-iota-slow-real abstract-unify-beta-iota-slow-sys abstract-unify-beta-iota-slow-user beta-iota-fast-real beta-iota-fast-sys beta-iota-fast-user beta-iota-slow-real beta-iota-slow-sys beta-iota-slow-user unify-beta-iota-fast-real unify-beta-iota-fast-sys unify-beta-iota-fast-user unify-beta-iota-slow-real unify-beta-iota-slow-sys unify-beta-iota-slow-user
3100 9 0.1 0. 0.1 1.802 0. 1.802 0.002 0. 0.002 0.002 0. 0.002 0.003 0. 0.003 0.002 0. 0.002
3200 9 0.106 0. 0.106 1.817 0. 1.817 0.003 0. 0.003 0.002 0. 0.002 0.003 0. 0.003 0.003 0. 0.003
3300 9 0.111 0. 0.111 1.825 0. 1.825 0.003 0. 0.003 0.002 0. 0.002 0.003 0. 0.003 0.003 0. 0.003
3400 9 0.113 0. 0.113 1.816 0. 1.816 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
3500 9 0.118 0. 0.118 1.814 0. 1.814 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
3600 9 0.121 0. 0.121 1.822 0. 1.822 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
3700 9 0.122 0. 0.122 1.823 0.003 1.819 0.003 0. 0.003 0.003 0. 0.003 0.004 0. 0.004 0.003 0. 0.003
3800 9 0.127 0. 0.127 1.83 0. 1.83 0.003 0. 0.003 0.003 0. 0.003 0.004 0. 0.004 0.003 0. 0.003
3900 9 0.13 0. 0.13 1.789 0. 1.789 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
4000 9 0.133 0. 0.133 1.775 0. 1.775 0.003 0. 0.003 0.003 0. 0.003 0.004 0. 0.004 0.003 0. 0.003
4100 9 0.137 0. 0.137 1.774 0. 1.774 0.003 0. 0.003 0.003 0. 0.003 0.004 0. 0.004 0.003 0. 0.003
4200 9 0.141 0. 0.141 1.803 0. 1.803 0.003 0. 0.003 0.003 0. 0.003 0.004 0. 0.004 0.004 0. 0.004
4300 9 0.143 0. 0.142 1.796 0. 1.796 0.004 0. 0.004 0.003 0. 0.003 0.004 0. 0.004 0.004 0. 0.004
4400 9 0.149 0. 0.149 1.743 0. 1.743 0.004 0. 0.004 0.003 0. 0.003 0.004 0. 0.004 0.004 0. 0.004
4500 9 0.149 0. 0.149 1.744 0. 1.744 0.004 0. 0.004 0.003 0. 0.003 0.005 0. 0.005 0.004 0. 0.004
4600 9 0.152 0. 0.152 1.738 0. 1.738 0.004 0. 0.004 0.003 0. 0.003 0.004 0. 0.004 0.004 0. 0.004
4700 9 0.162 0. 0.162 1.75 0. 1.75 0.004 0. 0.004 0.003 0. 0.003 0.005 0. 0.005 0.004 0. 0.004
4800 9 0.163 0. 0.163 1.744 0. 1.744 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004
4900 9 0.164 0. 0.164 1.758 0.003 1.754 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004
5000 9 0.17 0. 0.17 1.764 0. 1.764 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.004 0. 0.004
5100 9 0.174 0. 0.174 1.752 0. 1.752 0.005 0. 0.005 0.004 0. 0.004 0.005 0. 0.005 0.004 0. 0.004
5200 9 0.177 0. 0.177 1.767 0. 1.767 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.004 0. 0.004
5300 9 0.18 0. 0.18 1.758 0. 1.758 0.005 0. 0.005 0.004 0. 0.004 0.005 0. 0.005 0.004 0. 0.004
5400 9 0.184 0. 0.184 1.781 0. 1.781 0.005 0. 0.005 0.004 0. 0.004 0.006 0. 0.006 0.005 0. 0.005
5500 9 0.185 0. 0.185 1.77 0. 1.77 0.005 0. 0.005 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005
5600 9 0.194 0. 0.194 1.783 0. 1.783 0.005 0. 0.005 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005
5700 9 0.198 0. 0.198 1.78 0. 1.78 0.005 0. 0.005 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005
5800 9 0.196 0. 0.196 1.797 0. 1.797 0.005 0. 0.005 0.004 0. 0.004 0.006 0. 0.006 0.005 0. 0.005
5900 9 0.202 0. 0.202 1.786 0.003 1.782 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.005 0. 0.005
6000 9 0.21 0. 0.21 1.806 0. 1.806 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.005 0. 0.005
6100 9 0.207 0. 0.207 1.797 0. 1.797 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.005 0. 0.005
6200 9 0.214 0. 0.214 1.809 0. 1.809 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.005 0. 0.005
6300 9 0.213 0. 0.213 1.801 0. 1.801 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.005 0. 0.005
6400 9 0.218 0. 0.218 1.813 0. 1.813 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006
6500 9 0.222 0. 0.222 1.806 0. 1.806 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006
6600 9 0.223 0. 0.223 1.831 0.003 1.827 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006
6700 9 0.226 0. 0.226 1.827 0.004 1.823 0.005 0. 0.005 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006
6800 9 0.231 0. 0.231 1.833 0. 1.833 0.006 0. 0.006 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006
6900 9 0.232 0. 0.232 1.818 0. 1.818 0.006 0. 0.006 0.005 0. 0.005 0.006 0. 0.006 0.006 0. 0.006
7000 9 0.239 0. 0.239 1.837 0.003 1.833 0.006 0. 0.006 0.005 0. 0.005 0.006 0. 0.006 0.006 0.003 0.002
7100 9 0.24 0. 0.24 1.826 0. 1.826 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007 0.006 0. 0.006
7200 9 0.244 0. 0.244 1.847 0. 1.847 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007 0.006 0. 0.006
7300 9 0.25 0. 0.25 1.828 0.003 1.824 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007 0.006 0. 0.006
7400 9 0.251 0. 0.251 1.84 0. 1.84 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007 0.007 0. 0.007
7500 9 0.263 0. 0.263 1.867 0. 1.867 0.006 0. 0.006 0.006 0. 0.006 0.007 0. 0.007 0.007 0. 0.007
7600 9 0.265 0. 0.265 1.871 0. 1.871 0.007 0. 0.007 0.006 0. 0.006 0.007 0. 0.007 0.007 0. 0.007
7700 9 0.264 0. 0.264 1.849 0. 1.849 0.007 0. 0.007 0.006 0. 0.006 0.007 0. 0.007 0.007 0. 0.007
7800 9 0.267 0. 0.267 1.858 0.003 1.854 0.007 0. 0.007 0.006 0. 0.006 0.007 0. 0.007 0.007 0. 0.007
7900 9 0.263 0. 0.263 1.847 0. 1.847 0.007 0. 0.007 0.006 0. 0.006 0.007 0. 0.007 0.007 0. 0.007
8000 9 0.269 0. 0.269 1.851 0. 1.851 0.007 0. 0.007 0.006 0. 0.006 0.008 0. 0.008 0.007 0. 0.007
8100 9 0.275 0. 0.275 1.856 0. 1.856 0.007 0. 0.007 0.006 0. 0.006 0.008 0. 0.008 0.007 0. 0.007
8200 9 0.276 0. 0.276 1.868 0. 1.868 0.007 0. 0.007 0.007 0. 0.007 0.008 0. 0.008 0.007 0. 0.007
8300 9 0.282 0. 0.282 1.855 0. 1.855 0.007 0. 0.007 0.007 0. 0.007 0.008 0. 0.008 0.007 0. 0.007
8400 9 0.282 0. 0.282 1.865 0. 1.865 0.007 0. 0.007 0.007 0. 0.007 0.008 0. 0.008 0.007 0. 0.007
8500 9 0.322 0. 0.322 1.898 0. 1.898 0.007 0. 0.007 0.007 0. 0.007 0.008 0. 0.008 0.008 0. 0.008
8600 9 0.327 0. 0.327 1.911 0. 1.911 0.007 0. 0.007 0.007 0. 0.007 0.008 0. 0.008 0.008 0. 0.008
8700 9 0.33 0. 0.33 1.886 0.003 1.882 0.008 0. 0.008 0.007 0. 0.007 0.008 0. 0.008 0.008 0. 0.008
8800 9 0.334 0. 0.334 1.891 0. 1.891 0.008 0. 0.008 0.007 0. 0.007 0.009 0. 0.009 0.008 0. 0.008
8900 9 0.323 0. 0.323 1.901 0. 1.901 0.008 0. 0.008 0.007 0. 0.007 0.008 0. 0.008 0.008 0. 0.008
9000 9 0.333 0. 0.333 1.908 0. 1.908 0.008 0. 0.008 0.007 0. 0.007 0.009 0. 0.009 0.008 0. 0.008
9100 9 0.33 0. 0.33 1.915 0.007 1.907 0.008 0. 0.008 0.007 0. 0.007 0.008 0. 0.008 0.008 0. 0.008
9200 9 0.344 0. 0.344 1.923 0. 1.923 0.008 0. 0.008 0.008 0. 0.008 0.008 0. 0.008 0.008 0. 0.008
9300 9 0.343 0. 0.343 1.929 0. 1.928 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009 0.008 0. 0.008
9400 9 0.348 0. 0.348 1.928 0. 1.928 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009 0.009 0. 0.009
9500 9 0.354 0. 0.353 1.929 0.003 1.925 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009 0.009 0. 0.009
9600 9 0.348 0. 0.348 1.926 0. 1.926 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009 0.009 0. 0.009
9700 9 0.358 0. 0.358 1.923 0. 1.923 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009 0.009 0. 0.009
9800 9 0.356 0. 0.356 1.934 0. 1.934 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009 0.009 0. 0.009
9900 9 0.365 0. 0.365 1.949 0.003 1.945 0.009 0. 0.009 0.008 0. 0.008 0.01 0. 0.01 0.009 0. 0.009
10000 9 0.365 0. 0.365 1.934 0. 1.934 0.009 0. 0.009 0.008 0. 0.008 0.009 0. 0.009 0.009 0. 0.009
