param-n abstract-intros-real abstract-intros-sys abstract-intros-user close-abstract-real close-abstract-sys close-abstract-user intros-real intros-sys intros-user
48 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
49 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
50 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
51 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
52 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
53 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
54 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
55 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
56 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
57 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
58 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
59 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
60 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
61 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
62 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
63 0.002 0. 0.002 0.001 0. 0.001 0. 0. 0.
64 0.002 0. 0.002 0.001 0. 0.001 0. 0. 0.
65 0.002 0. 0.002 0.001 0. 0.001 0. 0. 0.
66 0.002 0. 0.002 0.001 0. 0.001 0. 0. 0.
67 0.002 0. 0.002 0.001 0. 0.001 0. 0. 0.
68 0.002 0. 0.002 0.001 0. 0.001 0. 0. 0.
69 0.004 0. 0.004 0.001 0. 0.001 0.002 0. 0.002
70 0.002 0. 0.002 0.001 0. 0.001 0.001 0. 0.001
71 0.002 0. 0.002 0.001 0. 0.001 0.001 0. 0.001
72 0.002 0. 0.002 0.001 0. 0.001 0.001 0. 0.001
73 0.002 0. 0.002 0.001 0. 0.001 0.001 0. 0.001
74 0.002 0. 0.002 0.001 0. 0.001 0.001 0. 0.001
75 0.002 0. 0.002 0.001 0. 0.001 0.001 0. 0.001
76 0.002 0. 0.002 0.001 0. 0.001 0.001 0. 0.001
77 0.002 0. 0.002 0.001 0. 0.001 0.001 0. 0.001
78 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
79 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
80 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
81 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
82 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
83 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
84 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
85 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
86 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
87 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
88 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
89 0.007 0. 0.007 0.001 0. 0.001 0.001 0. 0.001
90 0.004 0. 0.004 0.002 0. 0.002 0.001 0. 0.001
91 0.004 0. 0.004 0.002 0. 0.002 0.001 0. 0.001
92 0.004 0. 0.004 0.002 0. 0.002 0.001 0. 0.001
93 0.004 0. 0.004 0.002 0. 0.002 0.001 0. 0.001
94 0.004 0. 0.004 0.002 0. 0.002 0.001 0. 0.001
95 0.004 0. 0.004 0.002 0. 0.002 0.001 0. 0.001
96 0.004 0. 0.004 0.002 0. 0.002 0.002 0. 0.002
97 0.004 0. 0.004 0.002 0. 0.002 0.002 0. 0.002
98 0.004 0. 0.004 0.002 0. 0.002 0.002 0. 0.002
99 0.004 0. 0.004 0.002 0. 0.002 0.002 0. 0.002
100 0.006 0. 0.006 0.003 0. 0.003 0.002 0. 0.002
150 0.066 0.007 0.058 0.059 0.007 0.051 0.006 0. 0.006
200 0.017 0. 0.017 0.009 0. 0.009 0.007 0. 0.007
250 0.028 0. 0.028 0.016 0. 0.016 0.011 0. 0.011
300 0.044 0. 0.044 0.026 0. 0.026 0.016 0. 0.016
350 0.067 0.007 0.059 0.039 0.003 0.035 0.025 0.003 0.021
400 0.102 0.003 0.098 0.068 0.003 0.064 0.031 0. 0.031
450 0.126 0. 0.126 0.082 0. 0.082 0.04 0. 0.04
500 0.173 0.004 0.168 0.11 0. 0.11 0.057 0.003 0.053
550 0.237 0.003 0.233 0.147 0.003 0.143 0.084 0. 0.084
600 0.309 0. 0.309 0.22 0. 0.22 0.072 0. 0.072
650 0.346 0. 0.346 0.24 0. 0.24 0.097 0. 0.097
700 0.445 0.003 0.441 0.307 0.003 0.303 0.129 0. 0.129
750 0.496 0.004 0.492 0.375 0.003 0.37 0.111 0. 0.111
800 0.598 0.003 0.594 0.452 0.003 0.448 0.134 0. 0.134
850 0.79 0. 0.79 0.594 0. 0.594 0.181 0. 0.181
900 0.908 0.012 0.896 0.673 0. 0.673 0.218 0.011 0.206
950 1.054 0.008 1.046 0.798 0. 0.798 0.238 0.008 0.23
1000 1.17 0.003 1.166 0.925 0. 0.925 0.225 0.003 0.221
1050 1.379 0.008 1.371 1.108 0.004 1.104 0.249 0.003 0.245
1100 1.596 0.007 1.588 1.295 0.003 1.291 0.276 0.003 0.272
1150 1.817 0. 1.817 1.474 0. 1.474 0.316 0. 0.316
1200 2.106 0. 2.106 1.676 0. 1.676 0.346 0. 0.346
1250 2.342 0. 2.338 1.935 0. 1.931 0.361 0. 0.361
1300 2.704 0. 2.704 2.268 0. 2.268 0.38 0. 0.38
1350 3.044 0. 3.044 2.52 0. 2.52 0.475 0. 0.475
1400 3.331 0.003 3.327 2.844 0.003 2.84 0.433 0. 0.433
1450 3.78 0. 3.78 3.254 0. 3.254 0.484 0. 0.484
1500 4.309 0.004 4.305 3.683 0.004 3.679 0.58 0. 0.58
1550 4.709 0.007 4.701 4.106 0. 4.106 0.54 0. 0.54
1600 5.32 0. 5.319 4.605 0. 4.605 0.636 0. 0.636
1650 5.824 0. 5.824 5.159 0. 5.159 0.606 0. 0.606
1700 6.527 0.003 6.523 5.771 0.003 5.767 0.682 0. 0.682
1750 7.187 0.036 7.151 6.419 0.012 6.406 0.679 0.023 0.655
1800 8.076 0. 8.076 7.263 0. 7.263 0.726 0. 0.726
1850 8.764 0. 8.764 7.88 0. 7.88 0.799 0. 0.799
1900 9.847 0. 9.847 8.788 0. 8.788 0.978 0. 0.978
1950 10.604 0. 10.604 9.647 0. 9.647 0.862 0. 0.862
