param-n abstract-intros-real abstract-intros-sys abstract-intros-user close-abstract-real close-abstract-sys close-abstract-user intros-real intros-sys intros-user
48 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
49 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
50 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
51 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
52 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
53 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
54 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
55 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
56 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
57 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
58 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
59 0.002 0. 0.002 0.001 0. 0.001 0. 0. 0.
60 0.002 0. 0.002 0.001 0. 0.001 0. 0. 0.
61 0.002 0. 0.002 0.001 0. 0.001 0. 0. 0.
62 0.002 0. 0.002 0.001 0. 0.001 0. 0. 0.
63 0.002 0. 0.002 0.001 0. 0.001 0. 0. 0.
64 0.002 0. 0.002 0.001 0. 0.001 0. 0. 0.
65 0.002 0. 0.002 0.001 0. 0.001 0. 0. 0.
66 0.002 0. 0.002 0.001 0. 0.001 0. 0. 0.
67 0.004 0. 0.004 0.003 0. 0.003 0. 0. 0.
68 0.002 0. 0.002 0.001 0. 0.001 0.001 0. 0.001
69 0.002 0. 0.002 0.001 0. 0.001 0.001 0. 0.001
70 0.002 0. 0.002 0.001 0. 0.001 0.001 0. 0.001
71 0.002 0. 0.002 0.001 0. 0.001 0.001 0. 0.001
72 0.002 0. 0.002 0.001 0. 0.001 0.001 0. 0.001
73 0.002 0. 0.002 0.001 0. 0.001 0.001 0. 0.001
74 0.002 0. 0.002 0.001 0. 0.001 0.001 0. 0.001
75 0.002 0. 0.002 0.001 0. 0.001 0.001 0. 0.001
76 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
77 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
78 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
79 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
80 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
81 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
82 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
83 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
84 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
85 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
86 0.005 0. 0.005 0.003 0. 0.003 0.001 0. 0.001
87 0.003 0. 0.003 0.001 0. 0.001 0.001 0. 0.001
88 0.003 0. 0.003 0.002 0. 0.002 0.001 0. 0.001
89 0.003 0. 0.003 0.002 0. 0.002 0.001 0. 0.001
90 0.004 0. 0.004 0.002 0. 0.002 0.001 0. 0.001
91 0.004 0. 0.004 0.002 0. 0.002 0.001 0. 0.001
92 0.004 0.002 0.001 0.002 0. 0.001 0.001 0.001 0.
93 0.004 0. 0.003 0.002 0. 0.002 0.001 0. 0.001
94 0.004 0. 0.004 0.002 0. 0.002 0.001 0. 0.001
95 0.004 0. 0.004 0.002 0. 0.002 0.001 0. 0.001
96 0.004 0. 0.004 0.002 0. 0.002 0.001 0. 0.001
97 0.004 0. 0.004 0.002 0. 0.002 0.001 0. 0.001
98 0.004 0. 0.004 0.002 0. 0.002 0.001 0. 0.001
99 0.004 0. 0.004 0.002 0. 0.002 0.002 0. 0.002
100 0.007 0. 0.007 0.003 0. 0.003 0.003 0. 0.003
150 0.075 0.003 0.071 0.067 0.003 0.064 0.006 0. 0.006
200 0.018 0. 0.018 0.01 0. 0.009 0.007 0. 0.007
250 0.031 0. 0.031 0.017 0. 0.017 0.012 0. 0.012
300 0.048 0. 0.048 0.028 0. 0.028 0.018 0. 0.018
350 0.072 0. 0.072 0.042 0. 0.042 0.027 0. 0.027
400 0.111 0. 0.111 0.072 0. 0.072 0.034 0. 0.034
450 0.136 0. 0.136 0.086 0. 0.086 0.045 0. 0.045
500 0.185 0. 0.185 0.118 0. 0.118 0.061 0. 0.061
550 0.258 0.003 0.254 0.157 0. 0.157 0.094 0.003 0.09
600 0.326 0. 0.326 0.238 0. 0.238 0.081 0. 0.081
650 0.372 0.011 0.36 0.257 0. 0.257 0.106 0.011 0.094
700 0.489 0.008 0.481 0.315 0. 0.315 0.126 0.008 0.118
750 0.535 0.003 0.531 0.398 0.003 0.394 0.125 0. 0.125
800 0.663 0.007 0.655 0.478 0.007 0.47 0.172 0. 0.172
850 0.812 0. 0.812 0.605 0. 0.604 0.177 0. 0.177
900 0.994 0.01 0.984 0.741 0. 0.741 0.237 0.008 0.229
950 1.098 0. 1.098 0.826 0. 0.826 0.254 0. 0.254
1000 1.208 0.007 1.2 0.949 0.004 0.945 0.239 0.003 0.235
1050 1.449 0. 1.449 1.135 0. 1.135 0.275 0. 0.275
1100 1.662 0.011 1.65 1.314 0.003 1.31 0.306 0.007 0.298
1150 1.95 0. 1.95 1.572 0. 1.572 0.337 0. 0.337
1200 2.122 0.003 2.118 1.721 0.003 1.717 0.371 0. 0.371
1250 2.399 0. 2.399 1.977 0. 1.977 0.391 0. 0.391
1300 2.761 0. 2.761 2.289 0. 2.289 0.438 0. 0.438
1350 3.116 0. 3.116 2.55 0. 2.55 0.53 0. 0.53
1400 3.461 0. 3.461 2.914 0. 2.913 0.508 0. 0.508
1450 3.982 0. 3.982 3.382 0. 3.382 0.532 0. 0.532
1500 4.359 0. 4.359 3.743 0. 3.743 0.535 0. 0.535
1550 4.983 0. 4.983 4.336 0. 4.336 0.579 0. 0.579
1600 5.445 0. 5.445 4.741 0. 4.741 0.642 0. 0.642
1650 6.071 0. 6.071 5.332 0. 5.332 0.668 0. 0.668
1700 6.621 0.019 6.601 5.85 0.016 5.834 0.698 0.003 0.694
1750 7.343 0. 7.343 6.538 0. 6.538 0.734 0. 0.733
1800 7.999 0. 7.999 7.132 0. 7.131 0.775 0. 0.775
1850 8.919 0. 8.919 7.949 0. 7.948 0.894 0. 0.894
1900 9.763 0. 9.763 8.804 0. 8.804 0.876 0. 0.876
1950 10.748 0. 10.748 9.661 0. 9.661 0.992 0. 0.992
