param-n open-constr-True-1000-real open-constr-True-1000-sys open-constr-True-1000-user
2000 2.675 0.015 2.659
2100 2.568 0. 2.567
2200 2.213 0.059 2.153
2300 3.001 0.088 2.912
2400 3.28 0. 3.28
2500 2.56 0.044 2.516
2600 3.253 0. 3.253
2700 3.673 0.035 3.637
2800 3.029 0.04 2.989
2900 4.435 0.035 4.399
3000 3.361 0.051 3.309
