param-n build-real build-sys build-user build-and-typecheck-real build-and-typecheck-sys build-and-typecheck-user typecheck-real typecheck-sys typecheck-user
4000 0.024 0. 0.024 0.026 0. 0.026 0.001 0. 0.001
4100 0.023 0. 0.023 0.025 0. 0.025 0.002 0. 0.002
4200 0.03 0. 0.03 0.032 0. 0.032 0.002 0. 0.002
4300 0.03 0. 0.03 0.032 0. 0.032 0.002 0. 0.002
4400 0.028 0. 0.028 0.03 0. 0.03 0.002 0. 0.002
4500 0.025 0. 0.025 0.028 0. 0.028 0.002 0. 0.002
4600 0.028 0. 0.028 0.03 0. 0.03 0.002 0. 0.002
4700 0.031 0. 0.031 0.033 0. 0.033 0.002 0. 0.002
4800 0.03 0. 0.03 0.032 0. 0.032 0.002 0. 0.002
4900 0.029 0. 0.029 0.031 0. 0.031 0.001 0. 0.001
5000 0.028 0. 0.028 0.03 0. 0.03 0.002 0. 0.002
5100 0.029 0. 0.029 0.031 0. 0.031 0.002 0. 0.002
5200 0.029 0. 0.029 0.034 0. 0.034 0.005 0. 0.005
5300 0.034 0. 0.034 0.037 0. 0.037 0.002 0. 0.002
5400 0.032 0. 0.032 0.034 0. 0.034 0.002 0. 0.002
5500 0.035 0. 0.035 0.037 0. 0.037 0.002 0. 0.002
5600 0.038 0. 0.038 0.041 0. 0.041 0.002 0. 0.002
5700 0.032 0. 0.032 0.035 0. 0.035 0.003 0. 0.003
5800 0.037 0. 0.037 0.04 0. 0.04 0.002 0. 0.002
5900 0.046 0. 0.046 0.049 0. 0.049 0.002 0. 0.002
6000 0.045 0. 0.045 0.048 0. 0.048 0.002 0. 0.002
6100 0.036 0. 0.036 0.039 0. 0.039 0.002 0. 0.002
6200 0.041 0. 0.041 0.044 0. 0.044 0.003 0. 0.003
6300 0.037 0. 0.037 0.04 0. 0.04 0.002 0. 0.002
6400 0.045 0. 0.045 0.048 0. 0.048 0.003 0. 0.003
6500 0.036 0. 0.036 0.039 0. 0.039 0.003 0. 0.003
6600 0.039 0. 0.039 0.042 0. 0.042 0.003 0. 0.003
6700 0.041 0. 0.041 0.045 0. 0.045 0.003 0. 0.003
6800 0.042 0. 0.042 0.045 0. 0.045 0.003 0. 0.003
6900 0.043 0. 0.043 0.047 0. 0.047 0.003 0. 0.003
7000 0.045 0. 0.045 0.051 0. 0.049 0.003 0. 0.003
7500 0.046 0. 0.046 0.05 0. 0.05 0.003 0. 0.003
8000 0.055 0. 0.055 0.059 0. 0.059 0.003 0. 0.003
8500 0.054 0. 0.054 0.058 0. 0.058 0.003 0. 0.003
9000 0.06 0. 0.06 0.064 0. 0.064 0.004 0. 0.004
9500 0.058 0. 0.058 0.063 0. 0.063 0.004 0. 0.004
10000 0.065 0.004 0.061 0.07 0.004 0.066 0.004 0. 0.004
10500 0.068 0. 0.068 0.073 0. 0.073 0.005 0. 0.005
11000 0.066 0. 0.066 0.072 0. 0.072 0.005 0. 0.005
11500 0.09 0. 0.09 0.096 0. 0.096 0.005 0. 0.005
12000 0.087 0. 0.086 0.092 0. 0.092 0.005 0. 0.005
12500 0.085 0. 0.085 0.091 0. 0.091 0.006 0. 0.006
13000 0.092 0. 0.092 0.098 0. 0.098 0.006 0. 0.006
13500 0.102 0.003 0.098 0.109 0.004 0.105 0.006 0. 0.006
14000 0.101 0. 0.101 0.108 0. 0.108 0.006 0. 0.006
14500 0.096 0. 0.095 0.103 0. 0.103 0.007 0. 0.007
