param-n build-real build-sys build-user build-and-typecheck-real build-and-typecheck-sys build-and-typecheck-user typecheck-real typecheck-sys typecheck-user
3900 0.028 0. 0.028 0.034 0. 0.034 0.005 0. 0.005
4000 0.024 0. 0.024 0.029 0. 0.029 0.005 0. 0.005
4100 0.03 0. 0.03 0.036 0. 0.036 0.005 0. 0.005
4200 0.025 0. 0.025 0.034 0. 0.034 0.009 0. 0.009
4300 0.028 0. 0.028 0.034 0. 0.033 0.005 0. 0.005
4400 0.029 0. 0.029 0.035 0. 0.035 0.005 0. 0.005
4500 0.028 0. 0.028 0.033 0. 0.033 0.005 0. 0.005
4600 0.028 0. 0.028 0.034 0. 0.034 0.006 0. 0.006
4700 0.03 0. 0.03 0.037 0. 0.037 0.006 0. 0.006
4800 0.031 0. 0.031 0.037 0. 0.037 0.006 0. 0.006
4900 0.032 0. 0.032 0.038 0. 0.038 0.006 0. 0.006
5000 0.031 0. 0.031 0.038 0. 0.038 0.006 0. 0.006
5100 0.033 0. 0.033 0.044 0. 0.044 0.011 0. 0.011
5200 0.036 0. 0.036 0.043 0. 0.043 0.006 0. 0.006
5300 0.036 0.003 0.032 0.043 0.003 0.039 0.006 0. 0.006
5400 0.036 0. 0.036 0.043 0. 0.043 0.006 0. 0.006
5500 0.033 0. 0.033 0.04 0. 0.04 0.007 0. 0.007
5600 0.039 0. 0.039 0.046 0. 0.046 0.007 0. 0.007
5700 0.036 0. 0.036 0.047 0. 0.046 0.01 0. 0.01
5800 0.041 0. 0.041 0.048 0. 0.048 0.007 0. 0.007
5900 0.038 0. 0.038 0.045 0. 0.045 0.007 0. 0.007
6000 0.048 0. 0.048 0.056 0. 0.056 0.008 0. 0.008
6100 0.05 0. 0.05 0.058 0. 0.057 0.007 0. 0.007
6200 0.048 0. 0.048 0.056 0. 0.056 0.008 0. 0.008
6300 0.044 0. 0.044 0.052 0. 0.052 0.008 0. 0.008
6400 0.038 0. 0.038 0.046 0. 0.046 0.008 0. 0.007
6500 0.039 0. 0.039 0.048 0. 0.048 0.008 0. 0.008
6600 0.039 0. 0.039 0.047 0. 0.047 0.008 0. 0.008
6700 0.039 0. 0.039 0.048 0. 0.047 0.008 0. 0.008
6800 0.04 0. 0.04 0.048 0. 0.048 0.008 0. 0.008
6900 0.043 0. 0.043 0.052 0. 0.052 0.008 0. 0.008
7000 0.049 0. 0.049 0.059 0. 0.058 0.009 0. 0.009
7500 0.053 0.004 0.047 0.062 0.004 0.056 0.009 0. 0.009
8000 0.062 0. 0.062 0.071 0. 0.071 0.009 0. 0.009
8500 0.058 0. 0.058 0.07 0. 0.07 0.011 0. 0.011
9000 0.064 0. 0.064 0.088 0. 0.088 0.024 0. 0.024
9500 0.068 0. 0.068 0.08 0. 0.08 0.012 0. 0.012
10000 0.072 0. 0.072 0.089 0. 0.089 0.016 0. 0.016
10500 0.075 0. 0.075 0.089 0. 0.089 0.013 0. 0.013
11000 0.068 0. 0.068 0.09 0. 0.09 0.021 0. 0.021
11500 0.075 0. 0.075 0.095 0. 0.095 0.02 0. 0.02
12000 0.096 0.004 0.092 0.112 0.004 0.108 0.016 0. 0.016
12500 0.098 0.003 0.094 0.131 0.003 0.127 0.032 0. 0.032
13000 0.091 0.003 0.087 0.112 0.004 0.108 0.021 0. 0.021
13500 0.107 0. 0.106 0.124 0. 0.124 0.017 0. 0.017
14000 0.098 0. 0.098 0.13 0.003 0.126 0.032 0.003 0.028
14500 0.094 0. 0.094 0.13 0. 0.13 0.036 0. 0.036
