param-a-nevars param-ctx-size param-extra-binders beta-F-ev-real beta-F-ev-sys beta-F-ev-user beta-F-tt-real beta-F-tt-sys beta-F-tt-user beta-FX-ev-real beta-FX-ev-sys beta-FX-ev-user beta-FX-tt-real beta-FX-tt-sys beta-FX-tt-user deta-id-FX-ev-real deta-id-FX-ev-sys deta-id-FX-ev-user deta-id-FX-tt-real deta-id-FX-tt-sys deta-id-FX-tt-user make-evars-real make-evars-sys make-evars-user make-fun-ev-real make-fun-ev-sys make-fun-ev-user make-fun-tt-real make-fun-tt-sys make-fun-tt-user make-tts-real make-tts-sys make-tts-user open-constr-F-ev-real open-constr-F-ev-sys open-constr-F-ev-user open-constr-F-tt-real open-constr-F-tt-sys open-constr-F-tt-user open-constr-FX-ev-real open-constr-FX-ev-sys open-constr-FX-ev-user open-constr-FX-tt-real open-constr-FX-tt-sys open-constr-FX-tt-user prebeta-FX-ev-real prebeta-FX-ev-sys prebeta-FX-ev-user prebeta-FX-tt-real prebeta-FX-tt-sys prebeta-FX-tt-user
800 100 100 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0. 0. 0. 0.004 0. 0.004 0. 0. 0. 0.025 0. 0.025 0.012 0. 0.012 0.021 0. 0.021 0.035 0. 0.035 0. 0. 0. 0. 0. 0. 0.039 0. 0.039 0.007 0. 0.007 0.003 0. 0.003 0. 0. 0.
900 100 100 0. 0. 0. 0. 0. 0. 0.007 0.003 0.004 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.027 0. 0.027 0.012 0. 0.012 0.023 0. 0.023 0.038 0. 0.038 0. 0. 0. 0. 0. 0. 0.045 0. 0.045 0.008 0. 0.008 0.004 0. 0.004 0. 0. 0.
1000 100 100 0. 0. 0. 0. 0. 0. 0.008 0. 0.008 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.029 0. 0.029 0.012 0. 0.012 0.024 0. 0.024 0.041 0. 0.041 0. 0. 0. 0. 0. 0. 0.054 0. 0.054 0.01 0. 0.01 0.005 0. 0.005 0. 0. 0.
1100 100 100 0. 0. 0. 0. 0. 0. 0.006 0. 0.005 0. 0. 0. 0.045 0.003 0.041 0. 0. 0. 0.032 0. 0.032 0.012 0. 0.012 0.026 0. 0.026 0.047 0. 0.047 0. 0. 0. 0. 0. 0. 0.069 0.003 0.066 0.011 0. 0.011 0.01 0. 0.01 0. 0. 0.
1200 100 100 0. 0. 0. 0. 0. 0. 0.007 0. 0.007 0. 0. 0. 0.006 0. 0.006 0. 0. 0. 0.033 0. 0.033 0.012 0. 0.012 0.027 0. 0.027 0.049 0. 0.049 0. 0. 0. 0. 0. 0. 0.073 0. 0.073 0.011 0. 0.011 0.039 0. 0.039 0. 0. 0.
1300 100 100 0. 0. 0. 0. 0. 0. 0.009 0. 0.009 0. 0. 0. 0.007 0. 0.007 0. 0. 0. 0.035 0. 0.035 0.012 0. 0.012 0.03 0. 0.03 0.053 0. 0.053 0. 0. 0. 0. 0. 0. 0.116 0. 0.116 0.012 0. 0.012 0.008 0.003 0.004 0. 0. 0.
1400 100 100 0. 0. 0. 0. 0. 0. 0.009 0. 0.009 0. 0. 0. 0.008 0. 0.008 0. 0. 0. 0.036 0.003 0.032 0.012 0. 0.012 0.031 0. 0.031 0.056 0. 0.056 0. 0. 0. 0. 0. 0. 0.122 0. 0.122 0.013 0. 0.013 0.008 0. 0.008 0. 0. 0.
1500 100 100 0. 0. 0. 0. 0. 0. 0.01 0. 0.01 0. 0. 0. 0.009 0. 0.009 0. 0. 0. 0.038 0. 0.038 0.012 0. 0.012 0.032 0. 0.032 0.06 0. 0.06 0. 0. 0. 0. 0. 0. 0.129 0. 0.129 0.014 0. 0.014 0.009 0. 0.009 0. 0. 0.
1600 100 100 0. 0. 0. 0. 0. 0. 0.01 0. 0.01 0. 0. 0. 0.009 0. 0.009 0. 0. 0. 0.04 0. 0.04 0.012 0. 0.012 0.034 0. 0.034 0.062 0. 0.062 0. 0. 0. 0. 0. 0. 0.135 0. 0.134 0.015 0. 0.015 0.009 0. 0.009 0. 0. 0.
1700 100 100 0. 0. 0. 0. 0. 0. 0.011 0. 0.011 0. 0. 0. 0.01 0. 0.01 0. 0. 0. 0.042 0. 0.042 0.012 0. 0.012 0.037 0. 0.037 0.066 0. 0.066 0. 0. 0. 0. 0. 0. 0.142 0. 0.142 0.016 0. 0.016 0.01 0. 0.01 0. 0. 0.
1800 100 100 0. 0. 0. 0. 0. 0. 0.07 0. 0.07 0. 0. 0. 0.011 0. 0.011 0. 0. 0. 0.044 0. 0.044 0.012 0. 0.012 0.036 0. 0.036 0.069 0. 0.069 0. 0. 0. 0. 0. 0. 0.151 0. 0.151 0.017 0. 0.017 0.011 0. 0.011 0. 0. 0.
1900 100 100 0. 0. 0. 0. 0. 0. 0.013 0. 0.013 0. 0. 0. 0.071 0. 0.071 0. 0. 0. 0.045 0. 0.045 0.012 0. 0.012 0.038 0. 0.038 0.073 0. 0.073 0. 0. 0. 0. 0. 0. 0.157 0. 0.157 0.017 0. 0.017 0.011 0. 0.011 0. 0. 0.
2000 100 100 0. 0. 0. 0. 0. 0. 0.013 0. 0.013 0. 0. 0. 0.011 0. 0.011 0. 0. 0. 0.047 0. 0.047 0.012 0. 0.012 0.039 0. 0.039 0.075 0. 0.075 0. 0. 0. 0. 0. 0. 0.168 0. 0.168 0.018 0. 0.018 0.063 0. 0.063 0.005 0. 0.005
