Params: a-n= 1100 , fact-n= 9
Params: a-n= 9000 , fact-n= 9
Tactic call beta-iota-slow ran for 0.01 secs (0.01u,0.s)
Tactic call unify-beta-iota-slow ran for 0.011 secs (0.011u,0.s) (success)
Params: a-n= 9100 , fact-n= 9
Tactic call beta-iota-slow ran for 0.01 secs (0.01u,0.s)
Tactic call unify-beta-iota-slow ran for 0.011 secs (0.011u,0.s) (success)
Params: a-n= 9200 , fact-n= 9
Tactic call beta-iota-slow ran for 0.01 secs (0.01u,0.s)
Tactic call unify-beta-iota-slow ran for 0.012 secs (0.012u,0.s) (success)
Params: a-n= 9300 , fact-n= 9
Tactic call beta-iota-slow ran for 0.01 secs (0.01u,0.s)
Tactic call unify-beta-iota-slow ran for 0.011 secs (0.011u,0.s) (success)
Params: a-n= 9400 , fact-n= 9
Tactic call beta-iota-slow ran for 0.01 secs (0.01u,0.s)
Tactic call unify-beta-iota-slow ran for 0.012 secs (0.012u,0.s) (success)
Params: a-n= 9500 , fact-n= 9
Tactic call beta-iota-slow ran for 0.01 secs (0.01u,0.s)
Tactic call unify-beta-iota-slow ran for 0.012 secs (0.012u,0.s) (success)
Params: a-n= 9600 , fact-n= 9
Tactic call beta-iota-slow ran for 0.01 secs (0.01u,0.s)
Tactic call unify-beta-iota-slow ran for 0.012 secs (0.012u,0.s) (success)
Params: a-n= 9700 , fact-n= 9
Tactic call beta-iota-slow ran for 0.011 secs (0.011u,0.s)
Tactic call unify-beta-iota-slow ran for 0.012 secs (0.012u,0.s) (success)
Params: a-n= 9800 , fact-n= 9
Tactic call beta-iota-slow ran for 0.01 secs (0.01u,0.s)
Tactic call unify-beta-iota-slow ran for 0.012 secs (0.012u,0.s) (success)
Params: a-n= 9900 , fact-n= 9
Tactic call beta-iota-slow ran for 0.012 secs (0.012u,0.s)
Tactic call unify-beta-iota-slow ran for 0.015 secs (0.015u,0.s) (success)
Params: a-n= 10000 , fact-n= 9
Tactic call beta-iota-slow ran for 0.011 secs (0.011u,0.s)
Tactic call unify-beta-iota-slow ran for 0.014 secs (0.014u,0.s) (success)
Params: a-n= 10100 , fact-n= 9
Tactic call beta-iota-slow ran for 0.012 secs (0.012u,0.s)
Tactic call unify-beta-iota-slow ran for 0.013 secs (0.013u,0.s) (success)
Params: a-n= 10200 , fact-n= 9
Tactic call beta-iota-slow ran for 0.012 secs (0.012u,0.s)
Tactic call unify-beta-iota-slow ran for 0.014 secs (0.014u,0.s) (success)
Params: a-n= 10300 , fact-n= 9
Tactic call beta-iota-slow ran for 0.013 secs (0.013u,0.s)
Tactic call unify-beta-iota-slow ran for 0.016 secs (0.016u,0.s) (success)
Params: a-n= 10400 , fact-n= 9
Tactic call beta-iota-slow ran for 0.012 secs (0.012u,0.s)
Tactic call unify-beta-iota-slow ran for 0.013 secs (0.013u,0.s) (success)
Params: a-n= 10500 , fact-n= 9
Tactic call beta-iota-slow ran for 0.012 secs (0.012u,0.s)
Tactic call unify-beta-iota-slow ran for 0.015 secs (0.015u,0.s) (success)
Params: a-n= 10600 , fact-n= 9
Tactic call beta-iota-slow ran for 0.012 secs (0.012u,0.s)
Tactic call unify-beta-iota-slow ran for 0.013 secs (0.013u,0.s) (success)
Params: a-n= 10700 , fact-n= 9
Tactic call beta-iota-slow ran for 0.013 secs (0.013u,0.s)
Tactic call unify-beta-iota-slow ran for 0.014 secs (0.014u,0.s) (success)
Params: a-n= 10800 , fact-n= 9
Tactic call beta-iota-slow ran for 0.012 secs (0.012u,0.s)
Tactic call unify-beta-iota-slow ran for 0.014 secs (0.014u,0.s) (success)
Params: a-n= 10900 , fact-n= 9
Tactic call beta-iota-slow ran for 0.013 secs (0.013u,0.s)
Tactic call unify-beta-iota-slow ran for 0.016 secs (0.016u,0.s) (success)
Params: a-n= 11000 , fact-n= 9
Tactic call beta-iota-slow ran for 0.013 secs (0.013u,0.s)
Tactic call unify-beta-iota-slow ran for 0.014 secs (0.014u,0.s) (success)
Params: a-n= 11100 , fact-n= 9
Tactic call beta-iota-slow ran for 0.013 secs (0.013u,0.s)
Tactic call unify-beta-iota-slow ran for 0.014 secs (0.014u,0.s) (success)
Params: a-n= 11200 , fact-n= 9
Tactic call beta-iota-slow ran for 0.014 secs (0.014u,0.s)
Tactic call unify-beta-iota-slow ran for 0.017 secs (0.017u,0.s) (success)
Params: a-n= 11300 , fact-n= 9
Tactic call beta-iota-slow ran for 0.013 secs (0.013u,0.s)
Tactic call unify-beta-iota-slow ran for 0.014 secs (0.014u,0.s) (success)
Params: a-n= 11400 , fact-n= 9
Tactic call beta-iota-slow ran for 0.014 secs (0.014u,0.s)
Tactic call unify-beta-iota-slow ran for 0.017 secs (0.017u,0.s) (success)
Params: a-n= 11500 , fact-n= 9
Tactic call beta-iota-slow ran for 0.013 secs (0.013u,0.s)
Tactic call unify-beta-iota-slow ran for 0.014 secs (0.014u,0.s) (success)
Params: a-n= 11600 , fact-n= 9
Tactic call beta-iota-slow ran for 0.013 secs (0.013u,0.s)
Tactic call unify-beta-iota-slow ran for 0.015 secs (0.015u,0.s) (success)
Params: a-n= 11700 , fact-n= 9
Tactic call beta-iota-slow ran for 0.013 secs (0.013u,0.s)
Tactic call unify-beta-iota-slow ran for 0.017 secs (0.017u,0.s) (success)
Params: a-n= 11800 , fact-n= 9
Tactic call beta-iota-slow ran for 0.013 secs (0.013u,0.s)
Tactic call unify-beta-iota-slow ran for 0.017 secs (0.017u,0.s) (success)
Params: a-n= 11900 , fact-n= 9
Tactic call beta-iota-slow ran for 0.015 secs (0.015u,0.s)
Tactic call unify-beta-iota-slow ran for 0.019 secs (0.019u,0.s) (success)
Params: a-n= 12000 , fact-n= 9
Tactic call beta-iota-slow ran for 0.014 secs (0.014u,0.s)
Tactic call unify-beta-iota-slow ran for 0.018 secs (0.018u,0.s) (success)
Params: a-n= 12100 , fact-n= 9
Tactic call beta-iota-slow ran for 0.014 secs (0.014u,0.s)
Tactic call unify-beta-iota-slow ran for 0.018 secs (0.018u,0.s) (success)
Params: a-n= 12200 , fact-n= 9
Tactic call beta-iota-slow ran for 0.015 secs (0.015u,0.s)
Tactic call unify-beta-iota-slow ran for 0.018 secs (0.018u,0.s) (success)
Params: a-n= 12300 , fact-n= 9
Tactic call beta-iota-slow ran for 0.014 secs (0.014u,0.s)
Tactic call unify-beta-iota-slow ran for 0.018 secs (0.018u,0.s) (success)
Params: a-n= 12400 , fact-n= 9
Tactic call beta-iota-slow ran for 0.014 secs (0.014u,0.s)
Tactic call unify-beta-iota-slow ran for 0.016 secs (0.016u,0.s) (success)
Params: a-n= 12500 , fact-n= 9
Tactic call beta-iota-slow ran for 0.014 secs (0.014u,0.s)
Tactic call unify-beta-iota-slow ran for 0.017 secs (0.017u,0.s) (success)
Params: a-n= 12600 , fact-n= 9
Tactic call beta-iota-slow ran for 0.015 secs (0.015u,0.s)
Tactic call unify-beta-iota-slow ran for 0.018 secs (0.018u,0.s) (success)
Params: a-n= 12700 , fact-n= 9
Tactic call beta-iota-slow ran for 0.014 secs (0.014u,0.s)
Tactic call unify-beta-iota-slow ran for 0.018 secs (0.018u,0.s) (success)
Params: a-n= 12800 , fact-n= 9
Tactic call beta-iota-slow ran for 0.015 secs (0.015u,0.s)
Tactic call unify-beta-iota-slow ran for 0.019 secs (0.019u,0.s) (success)
Params: a-n= 12900 , fact-n= 9
Tactic call beta-iota-slow ran for 0.015 secs (0.015u,0.s)
Tactic call unify-beta-iota-slow ran for 0.019 secs (0.019u,0.s) (success)
Params: a-n= 13000 , fact-n= 9
Tactic call beta-iota-slow ran for 0.015 secs (0.015u,0.s)
Tactic call unify-beta-iota-slow ran for 0.02 secs (0.02u,0.s) (success)
Params: a-n= 13100 , fact-n= 9
Tactic call beta-iota-slow ran for 0.015 secs (0.015u,0.s)
Tactic call unify-beta-iota-slow ran for 0.018 secs (0.018u,0.s) (success)
Params: a-n= 13200 , fact-n= 9
Tactic call beta-iota-slow ran for 0.015 secs (0.015u,0.s)
Tactic call unify-beta-iota-slow ran for 0.018 secs (0.018u,0.s) (success)
Params: a-n= 13300 , fact-n= 9
Tactic call beta-iota-slow ran for 0.017 secs (0.017u,0.s)
Tactic call unify-beta-iota-slow ran for 0.021 secs (0.021u,0.s) (success)
Params: a-n= 13400 , fact-n= 9
Tactic call beta-iota-slow ran for 0.015 secs (0.015u,0.s)
Tactic call unify-beta-iota-slow ran for 0.019 secs (0.019u,0.s) (success)
Params: a-n= 13500 , fact-n= 9
Tactic call beta-iota-slow ran for 0.016 secs (0.016u,0.s)
Tactic call unify-beta-iota-slow ran for 0.021 secs (0.021u,0.s) (success)
Params: a-n= 13600 , fact-n= 9
Tactic call beta-iota-slow ran for 0.016 secs (0.016u,0.s)
Tactic call unify-beta-iota-slow ran for 0.02 secs (0.02u,0.s) (success)
Params: a-n= 13700 , fact-n= 9
Tactic call beta-iota-slow ran for 0.016 secs (0.016u,0.s)
Tactic call unify-beta-iota-slow ran for 0.019 secs (0.019u,0.s) (success)
Params: a-n= 13800 , fact-n= 9
Tactic call beta-iota-slow ran for 0.015 secs (0.015u,0.s)
Tactic call unify-beta-iota-slow ran for 0.018 secs (0.018u,0.s) (success)
Params: a-n= 13900 , fact-n= 9
Tactic call beta-iota-slow ran for 0.018 secs (0.018u,0.s)
Tactic call unify-beta-iota-slow ran for 0.019 secs (0.019u,0.s) (success)
Params: a-n= 14000 , fact-n= 9
Tactic call beta-iota-slow ran for 0.016 secs (0.016u,0.s)
Tactic call unify-beta-iota-slow ran for 0.019 secs (0.019u,0.s) (success)
Params: a-n= 14100 , fact-n= 9
Tactic call beta-iota-slow ran for 0.018 secs (0.018u,0.s)
Tactic call unify-beta-iota-slow ran for 0.019 secs (0.019u,0.s) (success)
Params: a-n= 14200 , fact-n= 9
Tactic call beta-iota-slow ran for 0.016 secs (0.016u,0.s)
Tactic call unify-beta-iota-slow ran for 0.019 secs (0.019u,0.s) (success)
Params: a-n= 14300 , fact-n= 9
Tactic call beta-iota-slow ran for 0.016 secs (0.016u,0.s)
Tactic call unify-beta-iota-slow ran for 0.019 secs (0.019u,0.s) (success)
Params: a-n= 14400 , fact-n= 9
Tactic call beta-iota-slow ran for 0.018 secs (0.018u,0.s)
Tactic call unify-beta-iota-slow ran for 0.021 secs (0.021u,0.s) (success)
Params: a-n= 14500 , fact-n= 9
Tactic call beta-iota-slow ran for 0.016 secs (0.016u,0.s)
Tactic call unify-beta-iota-slow ran for 0.021 secs (0.021u,0.s) (success)
Params: a-n= 14600 , fact-n= 9
Tactic call beta-iota-slow ran for 0.017 secs (0.017u,0.s)
Tactic call unify-beta-iota-slow ran for 0.022 secs (0.022u,0.s) (success)
Params: a-n= 14700 , fact-n= 9
Tactic call beta-iota-slow ran for 0.017 secs (0.017u,0.s)
Tactic call unify-beta-iota-slow ran for 0.023 secs (0.023u,0.s) (success)
Params: a-n= 14800 , fact-n= 9
Tactic call beta-iota-slow ran for 0.017 secs (0.017u,0.s)
Tactic call unify-beta-iota-slow ran for 0.022 secs (0.022u,0.s) (success)
Params: a-n= 14900 , fact-n= 9
Tactic call beta-iota-slow ran for 0.018 secs (0.018u,0.s)
Tactic call unify-beta-iota-slow ran for 0.021 secs (0.021u,0.s) (success)
Params: a-n= 15000 , fact-n= 9
Tactic call beta-iota-slow ran for 0.017 secs (0.017u,0.s)
Tactic call unify-beta-iota-slow ran for 0.022 secs (0.022u,0.s) (success)
Params: a-n= 15100 , fact-n= 9
Tactic call beta-iota-slow ran for 0.018 secs (0.018u,0.s)
Tactic call unify-beta-iota-slow ran for 0.024 secs (0.024u,0.s) (success)
Params: a-n= 15200 , fact-n= 9
Tactic call beta-iota-slow ran for 0.019 secs (0.019u,0.s)
Tactic call unify-beta-iota-slow ran for 0.024 secs (0.024u,0.s) (success)
Params: a-n= 15300 , fact-n= 9
Tactic call beta-iota-slow ran for 0.02 secs (0.02u,0.s)
Tactic call unify-beta-iota-slow ran for 0.024 secs (0.024u,0.s) (success)
Params: a-n= 15400 , fact-n= 9
Tactic call beta-iota-slow ran for 0.018 secs (0.018u,0.s)
Tactic call unify-beta-iota-slow ran for 0.023 secs (0.023u,0.s) (success)
Params: a-n= 15500 , fact-n= 9
Tactic call beta-iota-slow ran for 0.018 secs (0.018u,0.s)
Tactic call unify-beta-iota-slow ran for 0.023 secs (0.023u,0.s) (success)
Params: a-n= 15600 , fact-n= 9
Tactic call beta-iota-slow ran for 0.018 secs (0.018u,0.s)
Tactic call unify-beta-iota-slow ran for 0.023 secs (0.023u,0.s) (success)
Params: a-n= 15700 , fact-n= 9
Tactic call beta-iota-slow ran for 0.019 secs (0.019u,0.s)
Tactic call unify-beta-iota-slow ran for 0.025 secs (0.025u,0.s) (success)
Params: a-n= 15800 , fact-n= 9
Tactic call beta-iota-slow ran for 0.018 secs (0.018u,0.s)
Tactic call unify-beta-iota-slow ran for 0.022 secs (0.022u,0.s) (success)
Params: a-n= 15900 , fact-n= 9
Tactic call beta-iota-slow ran for 0.019 secs (0.019u,0.s)
