Params: a-n= 1100 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.222 secs (0.222u,0.s) (success)
Params: a-n= 2700 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.255 secs (0.255u,0.s) (success)
Params: a-n= 2800 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.255 secs (0.255u,0.s) (success)
Params: a-n= 2900 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.26 secs (0.26u,0.s) (success)
Params: a-n= 3000 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.263 secs (0.263u,0.s) (success)
Params: a-n= 3100 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.265 secs (0.265u,0.s) (success)
Params: a-n= 3200 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.263 secs (0.264u,0.s) (success)
Params: a-n= 3300 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.27 secs (0.27u,0.s) (success)
Params: a-n= 3400 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.285 secs (0.285u,0.s) (success)
Params: a-n= 3500 , fact-n= 8
Tactic call beta-iota-slow ran for 0.002 secs (0.002u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.288 secs (0.288u,0.s) (success)
Params: a-n= 3600 , fact-n= 8
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.286 secs (0.286u,0.s) (success)
Params: a-n= 3700 , fact-n= 8
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.295 secs (0.295u,0.s) (success)
Params: a-n= 3800 , fact-n= 8
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.297 secs (0.297u,0.s) (success)
Params: a-n= 3900 , fact-n= 8
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.301 secs (0.301u,0.s) (success)
Params: a-n= 4000 , fact-n= 8
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.3 secs (0.3u,0.s) (success)
Params: a-n= 4100 , fact-n= 8
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.004 secs (0.004u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.305 secs (0.305u,0.s) (success)
Params: a-n= 4200 , fact-n= 8
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.003 secs (0.u,0.003s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.295 secs (0.295u,0.s) (success)
Params: a-n= 4300 , fact-n= 8
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.004 secs (0.004u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.33 secs (0.33u,0.s) (success)
Params: a-n= 4400 , fact-n= 8
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.004 secs (0.004u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.33 secs (0.33u,0.s) (success)
Params: a-n= 4500 , fact-n= 8
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.004 secs (0.004u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.332 secs (0.332u,0.s) (success)
Params: a-n= 4600 , fact-n= 8
Tactic call beta-iota-slow ran for 0.003 secs (0.003u,0.s)
Tactic call unify-beta-iota-slow ran for 0.004 secs (0.004u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.335 secs (0.335u,0.s) (success)
Params: a-n= 4700 , fact-n= 8
Tactic call beta-iota-slow ran for 0.004 secs (0.004u,0.s)
Tactic call unify-beta-iota-slow ran for 0.004 secs (0.004u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.338 secs (0.338u,0.s) (success)
Params: a-n= 4800 , fact-n= 8
Tactic call beta-iota-slow ran for 0.004 secs (0.004u,0.s)
Tactic call unify-beta-iota-slow ran for 0.004 secs (0.004u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.342 secs (0.342u,0.s) (success)
Params: a-n= 4900 , fact-n= 8
Tactic call beta-iota-slow ran for 0.004 secs (0.004u,0.s)
Tactic call unify-beta-iota-slow ran for 0.004 secs (0.004u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.347 secs (0.347u,0.s) (success)
Params: a-n= 5000 , fact-n= 8
Tactic call beta-iota-slow ran for 0.004 secs (0.004u,0.s)
Tactic call unify-beta-iota-slow ran for 0.004 secs (0.004u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.346 secs (0.346u,0.s) (success)
Params: a-n= 5100 , fact-n= 8
Tactic call beta-iota-slow ran for 0.004 secs (0.004u,0.s)
Tactic call unify-beta-iota-slow ran for 0.004 secs (0.004u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.352 secs (0.352u,0.s) (success)
Params: a-n= 5200 , fact-n= 8
Tactic call beta-iota-slow ran for 0.004 secs (0.004u,0.s)
Tactic call unify-beta-iota-slow ran for 0.005 secs (0.005u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.356 secs (0.356u,0.s) (success)
Params: a-n= 5300 , fact-n= 8
Tactic call beta-iota-slow ran for 0.004 secs (0.004u,0.s)
Tactic call unify-beta-iota-slow ran for 0.005 secs (0.005u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.362 secs (0.362u,0.s) (success)
Params: a-n= 5400 , fact-n= 8
Tactic call beta-iota-slow ran for 0.004 secs (0.004u,0.s)
Tactic call unify-beta-iota-slow ran for 0.005 secs (0.005u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.358 secs (0.358u,0.s) (success)
Params: a-n= 5500 , fact-n= 8
Tactic call beta-iota-slow ran for 0.004 secs (0.004u,0.s)
Tactic call unify-beta-iota-slow ran for 0.005 secs (0.005u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.362 secs (0.362u,0.s) (success)
Params: a-n= 5600 , fact-n= 8
Tactic call beta-iota-slow ran for 0.004 secs (0.004u,0.s)
Tactic call unify-beta-iota-slow ran for 0.005 secs (0.005u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.367 secs (0.367u,0.s) (success)
Params: a-n= 5700 , fact-n= 8
Tactic call beta-iota-slow ran for 0.005 secs (0.005u,0.s)
Tactic call unify-beta-iota-slow ran for 0.005 secs (0.005u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.366 secs (0.366u,0.s) (success)
Params: a-n= 5800 , fact-n= 8
Tactic call beta-iota-slow ran for 0.005 secs (0.005u,0.s)
Tactic call unify-beta-iota-slow ran for 0.005 secs (0.005u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.373 secs (0.373u,0.s) (success)
Params: a-n= 5900 , fact-n= 8
Tactic call beta-iota-slow ran for 0.005 secs (0.005u,0.s)
Tactic call unify-beta-iota-slow ran for 0.005 secs (0.005u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.381 secs (0.381u,0.s) (success)
Params: a-n= 6000 , fact-n= 8
Tactic call beta-iota-slow ran for 0.005 secs (0.005u,0.s)
Tactic call unify-beta-iota-slow ran for 0.005 secs (0.005u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.382 secs (0.382u,0.s) (success)
Params: a-n= 6100 , fact-n= 8
Tactic call beta-iota-slow ran for 0.005 secs (0.005u,0.s)
Tactic call unify-beta-iota-slow ran for 0.006 secs (0.006u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.386 secs (0.386u,0.s) (success)
Params: a-n= 6200 , fact-n= 8
Tactic call beta-iota-slow ran for 0.005 secs (0.005u,0.s)
Tactic call unify-beta-iota-slow ran for 0.005 secs (0.005u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.417 secs (0.417u,0.s) (success)
Params: a-n= 6300 , fact-n= 8
Tactic call beta-iota-slow ran for 0.005 secs (0.005u,0.s)
Tactic call unify-beta-iota-slow ran for 0.006 secs (0.002u,0.003s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.419 secs (0.419u,0.s) (success)
Params: a-n= 6400 , fact-n= 8
Tactic call beta-iota-slow ran for 0.005 secs (0.005u,0.s)
Tactic call unify-beta-iota-slow ran for 0.006 secs (0.006u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.425 secs (0.425u,0.s) (success)
Params: a-n= 6500 , fact-n= 8
Tactic call beta-iota-slow ran for 0.005 secs (0.005u,0.s)
Tactic call unify-beta-iota-slow ran for 0.006 secs (0.006u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.424 secs (0.424u,0.s) (success)
Params: a-n= 6600 , fact-n= 8
Tactic call beta-iota-slow ran for 0.005 secs (0.005u,0.s)
Tactic call unify-beta-iota-slow ran for 0.006 secs (0.006u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.43 secs (0.43u,0.s) (success)
Params: a-n= 6700 , fact-n= 8
Tactic call beta-iota-slow ran for 0.005 secs (0.005u,0.s)
Tactic call unify-beta-iota-slow ran for 0.006 secs (0.006u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.435 secs (0.435u,0.s) (success)
Params: a-n= 6800 , fact-n= 8
Tactic call beta-iota-slow ran for 0.005 secs (0.005u,0.s)
Tactic call unify-beta-iota-slow ran for 0.006 secs (0.006u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.436 secs (0.436u,0.s) (success)
Params: a-n= 6900 , fact-n= 8
Tactic call beta-iota-slow ran for 0.005 secs (0.005u,0.s)
Tactic call unify-beta-iota-slow ran for 0.006 secs (0.006u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.439 secs (0.439u,0.s) (success)
Params: a-n= 7000 , fact-n= 8
Tactic call beta-iota-slow ran for 0.005 secs (0.005u,0.s)
Tactic call unify-beta-iota-slow ran for 0.006 secs (0.006u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.444 secs (0.444u,0.s) (success)
Params: a-n= 7100 , fact-n= 8
Tactic call beta-iota-slow ran for 0.006 secs (0.006u,0.s)
Tactic call unify-beta-iota-slow ran for 0.006 secs (0.006u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.447 secs (0.447u,0.s) (success)
Params: a-n= 7200 , fact-n= 8
Tactic call beta-iota-slow ran for 0.006 secs (0.006u,0.s)
Tactic call unify-beta-iota-slow ran for 0.006 secs (0.006u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.45 secs (0.45u,0.s) (success)
Params: a-n= 7300 , fact-n= 8
Tactic call beta-iota-slow ran for 0.006 secs (0.006u,0.s)
Tactic call unify-beta-iota-slow ran for 0.007 secs (0.007u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.424 secs (0.424u,0.s) (success)
Params: a-n= 7400 , fact-n= 8
Tactic call beta-iota-slow ran for 0.006 secs (0.006u,0.s)
Tactic call unify-beta-iota-slow ran for 0.007 secs (0.007u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.426 secs (0.426u,0.s) (success)
Params: a-n= 7500 , fact-n= 8
Tactic call beta-iota-slow ran for 0.006 secs (0.006u,0.s)
Tactic call unify-beta-iota-slow ran for 0.007 secs (0.007u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.437 secs (0.437u,0.s) (success)
Params: a-n= 7600 , fact-n= 8
Tactic call beta-iota-slow ran for 0.006 secs (0.006u,0.s)
Tactic call unify-beta-iota-slow ran for 0.007 secs (0.007u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.438 secs (0.438u,0.s) (success)
Params: a-n= 7700 , fact-n= 8
Tactic call beta-iota-slow ran for 0.006 secs (0.006u,0.s)
Tactic call unify-beta-iota-slow ran for 0.007 secs (0.007u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.442 secs (0.442u,0.s) (success)
Params: a-n= 7800 , fact-n= 8
Tactic call beta-iota-slow ran for 0.006 secs (0.006u,0.s)
Tactic call unify-beta-iota-slow ran for 0.007 secs (0.007u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.444 secs (0.444u,0.s) (success)
Params: a-n= 7900 , fact-n= 8
Tactic call beta-iota-slow ran for 0.007 secs (0.007u,0.s)
Tactic call unify-beta-iota-slow ran for 0.007 secs (0.007u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.419 secs (0.419u,0.s) (success)
Params: a-n= 8000 , fact-n= 8
Tactic call beta-iota-slow ran for 0.006 secs (0.006u,0.s)
Tactic call unify-beta-iota-slow ran for 0.007 secs (0.007u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.424 secs (0.424u,0.s) (success)
Params: a-n= 8100 , fact-n= 8
Tactic call beta-iota-slow ran for 0.007 secs (0.007u,0.s)
Tactic call unify-beta-iota-slow ran for 0.008 secs (0.008u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.426 secs (0.426u,0.s) (success)
Params: a-n= 8200 , fact-n= 8
Tactic call beta-iota-slow ran for 0.007 secs (0.007u,0.s)
Tactic call unify-beta-iota-slow ran for 0.007 secs (0.007u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.431 secs (0.431u,0.s) (success)
Params: a-n= 8300 , fact-n= 8
Tactic call beta-iota-slow ran for 0.007 secs (0.007u,0.s)
Tactic call unify-beta-iota-slow ran for 0.008 secs (0.008u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.434 secs (0.434u,0.s) (success)
Params: a-n= 8400 , fact-n= 8
Tactic call beta-iota-slow ran for 0.007 secs (0.007u,0.s)
Tactic call unify-beta-iota-slow ran for 0.008 secs (0.008u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.437 secs (0.437u,0.s) (success)
Params: a-n= 8500 , fact-n= 8
Tactic call beta-iota-slow ran for 0.007 secs (0.007u,0.s)
Tactic call unify-beta-iota-slow ran for 0.008 secs (0.008u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.467 secs (0.467u,0.s) (success)
Params: a-n= 8600 , fact-n= 8
Tactic call beta-iota-slow ran for 0.007 secs (0.007u,0.s)
Tactic call unify-beta-iota-slow ran for 0.008 secs (0.008u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.474 secs (0.474u,0.s) (success)
Params: a-n= 8700 , fact-n= 8
Tactic call beta-iota-slow ran for 0.007 secs (0.007u,0.s)
Tactic call unify-beta-iota-slow ran for 0.008 secs (0.008u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.476 secs (0.476u,0.s) (success)
Params: a-n= 8800 , fact-n= 8
Tactic call beta-iota-slow ran for 0.008 secs (0.008u,0.s)
Tactic call unify-beta-iota-slow ran for 0.009 secs (0.009u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.479 secs (0.479u,0.s) (success)
Params: a-n= 8900 , fact-n= 8
Tactic call beta-iota-slow ran for 0.008 secs (0.008u,0.s)
Tactic call unify-beta-iota-slow ran for 0.009 secs (0.009u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.481 secs (0.481u,0.s) (success)
Params: a-n= 9000 , fact-n= 8
Tactic call beta-iota-slow ran for 0.008 secs (0.008u,0.s)
Tactic call unify-beta-iota-slow ran for 0.009 secs (0.009u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.484 secs (0.484u,0.s) (success)
Params: a-n= 9100 , fact-n= 8
Tactic call beta-iota-slow ran for 0.008 secs (0.008u,0.s)
Tactic call unify-beta-iota-slow ran for 0.009 secs (0.009u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.489 secs (0.489u,0.s) (success)
Params: a-n= 9200 , fact-n= 8
Tactic call beta-iota-slow ran for 0.008 secs (0.008u,0.s)
Tactic call unify-beta-iota-slow ran for 0.009 secs (0.009u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.491 secs (0.491u,0.s) (success)
Params: a-n= 9300 , fact-n= 8
Tactic call beta-iota-slow ran for 0.008 secs (0.008u,0.s)
Tactic call unify-beta-iota-slow ran for 0.009 secs (0.009u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.496 secs (0.496u,0.s) (success)
Params: a-n= 9400 , fact-n= 8
Tactic call beta-iota-slow ran for 0.008 secs (0.008u,0.s)
Tactic call unify-beta-iota-slow ran for 0.009 secs (0.009u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.501 secs (0.501u,0.s) (success)
Params: a-n= 9500 , fact-n= 8
Tactic call beta-iota-slow ran for 0.008 secs (0.008u,0.s)
Tactic call unify-beta-iota-slow ran for 0.009 secs (0.009u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.506 secs (0.505u,0.s) (success)
Params: a-n= 9600 , fact-n= 8
Tactic call beta-iota-slow ran for 0.009 secs (0.009u,0.s)
Tactic call unify-beta-iota-slow ran for 0.009 secs (0.009u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.508 secs (0.508u,0.s) (success)
Params: a-n= 9700 , fact-n= 8
Tactic call beta-iota-slow ran for 0.008 secs (0.008u,0.s)
Tactic call unify-beta-iota-slow ran for 0.009 secs (0.009u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.542 secs (0.542u,0.s) (success)
Params: a-n= 9800 , fact-n= 8
Tactic call beta-iota-slow ran for 0.008 secs (0.008u,0.s)
Tactic call unify-beta-iota-slow ran for 0.009 secs (0.009u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.52 secs (0.52u,0.s) (success)
Params: a-n= 9900 , fact-n= 8
Tactic call beta-iota-slow ran for 0.008 secs (0.008u,0.s)
Tactic call unify-beta-iota-slow ran for 0.009 secs (0.009u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.547 secs (0.547u,0.s) (success)
Params: a-n= 10000 , fact-n= 8
Tactic call beta-iota-slow ran for 0.008 secs (0.008u,0.s)
Tactic call unify-beta-iota-slow ran for 0.01 secs (0.01u,0.s) (success)
Tactic call abstract-unify-beta-iota-slow ran for 0.552 secs (0.552u,0.s) (success)
