Params: a-extra-binders= 1100 , nevars= 1000 , ctx-size= 100
Tactic call make_fun-ev ran for 1.528 secs (1.5u,0.027s)
Tactic call beta-F-ev ran for 0. secs (0.u,0.s)
Tactic call prebeta-FX-ev ran for 0.007 secs (0.007u,0.s)
Tactic call deta-id-FX-ev ran for 0.006 secs (0.006u,0.s)
Tactic call beta-FX-ev ran for 0.006 secs (0.006u,0.s)
Tactic call make_fun-tt ran for 3.741 secs (3.661u,0.079s)
Tactic call make_tts ran for 0.046 secs (0.046u,0.s)
Tactic call open_constr_F-tt ran for 0.046 secs (0.046u,0.s)
Tactic call open_constr_FX-tt ran for 0.059 secs (0.059u,0.s)
Tactic call beta-F-tt ran for 0.001 secs (0.001u,0.s)
Tactic call prebeta-FX-tt ran for 0.001 secs (0.001u,0.s)
Tactic call deta-id-FX-tt ran for 0.001 secs (0.001u,0.s)
Tactic call beta-FX-tt ran for 0.001 secs (0.001u,0.s)
Params: a-extra-binders= 1700 , nevars= 1000 , ctx-size= 100
Tactic call make_fun-ev ran for 3.761 secs (3.717u,0.043s)
Tactic call make_evars ran for 0.032 secs (0.032u,0.s)
Tactic call open_constr_F-ev ran for 0.052 secs (0.052u,0.s)
Tactic call open_constr_FX-ev ran for 0.136 secs (0.132u,0.004s)
Tactic call beta-F-ev ran for 0. secs (0.u,0.s)
Tactic call prebeta-FX-ev ran for 0.006 secs (0.006u,0.s)
Tactic call deta-id-FX-ev ran for 0.006 secs (0.006u,0.s)
Tactic call beta-FX-ev ran for 0.005 secs (0.005u,0.s)
Tactic call make_fun-tt ran for 4.284 secs (4.228u,0.055s)
Tactic call make_tts ran for 0.045 secs (0.045u,0.s)
Tactic call open_constr_F-tt ran for 0.052 secs (0.052u,0.s)
Tactic call open_constr_FX-tt ran for 0.068 secs (0.068u,0.s)
Tactic call beta-F-tt ran for 0.001 secs (0.001u,0.s)
Tactic call prebeta-FX-tt ran for 0.001 secs (0.001u,0.s)
Tactic call deta-id-FX-tt ran for 0.001 secs (0.001u,0.s)
Tactic call beta-FX-tt ran for 0.001 secs (0.001u,0.s)
Params: a-extra-binders= 1800 , nevars= 1000 , ctx-size= 100
Tactic call make_fun-ev ran for 4.192 secs (4.096u,0.095s)
Tactic call make_evars ran for 0.031 secs (0.031u,0.s)
Tactic call open_constr_F-ev ran for 0.059 secs (0.058u,0.s)
Tactic call open_constr_FX-ev ran for 0.14 secs (0.136u,0.004s)
Tactic call beta-F-ev ran for 0. secs (0.u,0.s)
Tactic call prebeta-FX-ev ran for 0.006 secs (0.006u,0.s)
Tactic call deta-id-FX-ev ran for 0.007 secs (0.007u,0.s)
Tactic call beta-FX-ev ran for 0.006 secs (0.006u,0.s)
Tactic call make_fun-tt ran for 4.746 secs (4.662u,0.083s)
Tactic call make_tts ran for 0.044 secs (0.044u,0.s)
Tactic call open_constr_F-tt ran for 0.057 secs (0.057u,0.s)
Tactic call open_constr_FX-tt ran for 0.074 secs (0.074u,0.s)
Tactic call beta-F-tt ran for 0.001 secs (0.001u,0.s)
Tactic call prebeta-FX-tt ran for 0.001 secs (0.001u,0.s)
Tactic call deta-id-FX-tt ran for 0.001 secs (0.001u,0.s)
Tactic call beta-FX-tt ran for 0.006 secs (0.006u,0.s)
Params: a-extra-binders= 1900 , nevars= 1000 , ctx-size= 100
Tactic call make_fun-ev ran for 4.61 secs (4.502u,0.107s)
Tactic call make_evars ran for 0.031 secs (0.031u,0.s)
Tactic call open_constr_F-ev ran for 0.065 secs (0.065u,0.s)
Tactic call open_constr_FX-ev ran for 0.159 secs (0.159u,0.s)
Tactic call beta-F-ev ran for 0. secs (0.u,0.s)
Tactic call prebeta-FX-ev ran for 0.007 secs (0.007u,0.s)
Tactic call deta-id-FX-ev ran for 0.006 secs (0.006u,0.s)
Tactic call beta-FX-ev ran for 0.005 secs (0.005u,0.s)
Tactic call make_fun-tt ran for 5.18 secs (5.084u,0.095s)
Tactic call make_tts ran for 0.044 secs (0.044u,0.s)
Tactic call open_constr_F-tt ran for 0.066 secs (0.066u,0.s)
Tactic call open_constr_FX-tt ran for 0.083 secs (0.083u,0.s)
Tactic call beta-F-tt ran for 0.006 secs (0.006u,0.s)
Tactic call prebeta-FX-tt ran for 0. secs (0.u,0.s)
Tactic call deta-id-FX-tt ran for 0. secs (0.u,0.s)
Tactic call beta-FX-tt ran for 0. secs (0.u,0.s)
Params: a-extra-binders= 2000 , nevars= 1000 , ctx-size= 100
Tactic call make_fun-ev ran for 5.177 secs (5.081u,0.096s)
Tactic call make_evars ran for 0.031 secs (0.031u,0.s)
Tactic call open_constr_F-ev ran for 0.075 secs (0.075u,0.s)
Tactic call open_constr_FX-ev ran for 0.151 secs (0.151u,0.s)
Tactic call beta-F-ev ran for 0. secs (0.u,0.s)
Tactic call prebeta-FX-ev ran for 0.006 secs (0.006u,0.s)
Tactic call deta-id-FX-ev ran for 0.006 secs (0.006u,0.s)
Tactic call beta-FX-ev ran for 0.005 secs (0.005u,0.s)
Tactic call make_fun-tt ran for 5.713 secs (5.621u,0.092s)
Tactic call make_tts ran for 0.044 secs (0.044u,0.s)
Tactic call open_constr_F-tt ran for 0.074 secs (0.074u,0.s)
Tactic call open_constr_FX-tt ran for 0.097 secs (0.097u,0.s)
Tactic call beta-F-tt ran for 0. secs (0.u,0.s)
Tactic call prebeta-FX-tt ran for 0.001 secs (0.001u,0.s)
Tactic call deta-id-FX-tt ran for 0.001 secs (0.001u,0.s)
Tactic call beta-FX-tt ran for 0.001 secs (0.001u,0.s)
